全场最高能：306:50	好  支持

其他高能：
 1:11 - 1:32	主播晚上好[比心][比心]	(比心,饼,])
 3:21 - 3:35	蒙的	(蒙,666,的)
 6:56 - 7:05	难[花]	(难,倒闭,花)
 7:34 - 10:35	胖哥打不过就堵人，主播打不过就拉黑，都是忠臣，没有奸臣	(啊啊啊,走马灯,])
 12:04 - 12:22	小蓝在对角线上	(奔,大奔,对角线)
 12:59 - 13:54	蒙的[哇]	(],[,比心)
 14:59 - 16:45	你认错主播了，主播辛辛苦苦直播一晚上分币没有，还老提别人，多伤心啊	(走马灯,啊,，)
 16:56 - 17:41	大戾士	(这人图,能防,看戏)
 20:00 - 20:48	来不及了	(不好,差一点,几局)
 23:54 - 24:28	差点输了[哇]	(],[,差点)
 24:39 - 25:26	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(50,么,-)
 25:37 - 25:46		()
 26:13 - 27:28	讨厌主播的可以走马灯爱熊金河田搞黄主播可以加入胖哥粉丝群	(删除,不让,了)
 29:08 - 30:10	蒙的	(蒙,的,？)
 32:06 - 32:57	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(就,可以,他)
 39:10 - 41:17	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(),(,￣)
 43:42 - 43:47		()
 44:02 - 44:13	该讲故事了	(讲故事,该,了)
 44:27 - 44:34	熊哥来早过了	(环节,居然,耗)
 44:43 - 45:21	晚上好啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,晚上,早)
 49:48 - 50:03	这不开一手拖半小时	(这不开,半小时,一手)
 50:48 - 51:13		()




 54:41 - 54:59	笑死了小蓝	(分奴,严重,蓝)
 55:39 - 56:25	卡bug少跑是什么	(。,什么,比喻)
 58:39 - 58:50		(彩蛋,名落孙山,门里)
 59:08 - 59:29	感觉不如link	(舰长,link,垃圾)
 60:10 - 62:37	读图能力行	(开,蒙,了)
 63:21 - 64:03	等等，Target6000	(开课,等等,Target6000)
 65:47 - 68:20	听懂了，确实是蒙的[dog]	(？,了,的)
 70:32 - 71:22	雅阁了	(雅阁,大肠,大笑)
 72:32 - 73:56	讨厌主播的可以走马灯卖电脑支持[哇]搞黄直播间可以进胖哥粉丝群[比心]	(纪晓岚,],[)
 74:31 - 74:35	就这	(这能,不开,救)
 74:39 - 75:04	这波确实厉害	(真快,反应,这波)
 78:36 - 81:50	又要走马灯了吗	(了,咋,那)
 82:04 - 82:46	路易逼的[哇]	(走马灯,喝汤,])
 83:48 - 85:43	主播的花呗还在使用吗	(还,主播,你)
 87:09 - 87:17	最不聪明的连考场都没进	(舰长,没进,聪明)
 87:29 - 87:39	不聪明的在外面呢	(＝,一胶,外面)
 90:23 - 91:14	牛六不开	(蒙,666,的)
 91:32 - 91:43	还差21分灯顶[哇]	(必开,分灯,21)
 92:50 - 93:18	没事，我见过一个主播进管子触发开关，出管子也触发然后被夹死的	(触发,管子,，)
 95:09 - 95:29	狗熊来就过了	(选,就,哈哈哈哈)
 95:46 - 97:40	主播就是白胖 需要挂走马灯	(走马灯,他,卡)
 101:32 - 104:06	都别过了  你的时间是时间我的不是吗	(士,大戾,主播)
 104:10 - 106:11	300人和200人有什么区别，反正没人刷礼物	(不开,6,牛)
 111:37 - 112:17	终于又要七千了吗	(吗,狗熊,主播)




 114:38 - 115:33	讨厌主播的可以走马灯卖电脑支持[哇]搞黄直播间可以进胖哥粉丝群[比心]	(走马灯,，,雅阁)
 115:38 - 117:13	主播 我要爆料 甜心战士92年属猴的 一直骗观众98的[花]	(个,的,])
 122:25 - 124:16	讨厌主播的可以走马灯和找同事搞黄一下哦，送火箭可进粉丝群体验十周年爆料喵[比心]	(可以,主播,])
 124:32 - 129:46	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(],[,可以)
 130:51 - 132:03	讨厌主播的可以走马灯和找同事搞黄一下哦，送火箭可进粉丝群体验十周年爆料喵[比心]	(的,蒙,])
 141:24 - 141:32	Joe fayday shady	(画风,shady,Joe)
 142:26 - 143:44	讨厌主播的可以走马灯和找同事搞黄一下哦，送火箭可进粉丝群体验十周年爆料喵[比心]	(？,666,的)
 144:59 - 145:07	这车	(车,技不如人,这)
 146:53 - 147:52	就fayday杀第一	(第一,杀,fayday)
 148:01 - 148:06		(吴迪,狗熊,就是)
 150:02 - 151:00	坏了，6999	(6999,假仁假义,，)
 154:21 - 155:18	主播打公平图一直赢，这是不是对其他玩家不公平	(公平,主播,，)
 155:34 - 156:09	开始装起来了[哇]	(了,？,起来)
 158:04 - 160:37	讨厌主播的可以走马灯和找同事搞黄一下哦，送火箭可进粉丝群体验十周年爆料喵[比心]	(嗯,同事,公平)
 169:05 - 169:44	因为被惠惠普连赢两把 就不等汤了 假仁假义 你是真的很垃圾	(不好意思,抢,了)
 169:52 - 169:58	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,喵,十周年)
 171:43 - 172:00	主播还说以后不走马灯了呢	(不,了,可见)




 178:03 - 178:15		()
 183:09 - 183:42	有isun	(了,卡住,有)
 196:58 - 198:20	流鼻涕的赢了	(骑耀西,HOW,打工)
