全场最高能：144:59	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]

其他高能：
 1:42 - 2:03	全世界都在欺负我的男孩[委屈]	(很,真的,全世界)
 2:18 - 2:23	主播是金河田炸了吗	(了,才播,晚罚)
 2:45 - 3:01	主播被雅阁制裁了吗	(制裁,早,！)
 10:14 - 12:07	雅阁了	(比心,],[)
 12:15 - 12:58	哇 走马灯[哇]	(走马灯,哇,零秒)
 13:06 - 15:32	这是同事的保护费，不要搞他了好吗主播	(么,同事,])
 17:27 - 19:04	雅阁做得好啊，这样b站就能独占主播了[花]	(？,雅阁,举报)
 20:28 - 20:32	三个流星	(比心,],[)
 21:33 - 23:42	鼓励给了个不好[哇]	(不好,岁,])
 26:41 - 27:24	看看裤子	(裤子,？,看看)
 31:48 - 32:43	我是中南大学金河田系毕业的	(的,是,金河田)
 42:12 - 43:33	pjbsb ×11	(手柄,买,pjbsb)
 44:13 - 46:10	主播接广了	(ꮇ,᠐,Ꮯ)
 50:43 - 50:56	不是玩过千百遍的图吗，还能死吗	(吗,千百遍,差不多)
 58:02 - 58:12		()
 58:26 - 59:49	好菜哦	(非得,杀,第三)
 60:17 - 60:59	就这 我要当老公的吸分车	(喝,满,钵)
 62:57 - 63:11	给灵堂留一个	(降,天,拉旗)
 70:38 - 70:58	现在什么水果好吃	(抓不住,柿子,水果)
 74:00 - 74:34	1分还不如输	(1,牛柳,蒙)
 76:20 - 77:07	抖那边被雅阁举办了吗 咋没播	(尿,人性,咋)
 78:55 - 80:04	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(走马灯,-,方)
 80:28 - 81:07	语文老师vs英语老师，你们知道吗	(路易,HOW,三缺一)




 84:08 - 84:12		(2,-)
 84:22 - 84:48	欺负白名	(晚上,好,胖哥)
 86:56 - 88:18	技不如英语老师	(语文,英语老师,输)
 89:05 - 89:14	666	(666,？)
 91:00 - 93:28	卡比找到了	(卡比,卡,找到)
 98:02 - 98:14	隔壁被拿下了吗	(委屈,],[)
 98:23 - 99:33	倒闭了，开牛车	(],[,倒闭)
 108:19 - 109:23	好图	(好图,∠,灯灯)
 109:37 - 110:15	飞吧，技术图我们打不过[撇嘴]	(飞,吧,曲儿)
 118:08 - 119:04	挺好的，不是我一个人吃宵夜了[花]	(饼,玩过,])
 119:45 - 119:47	团长	(团长)
 119:53 - 120:10	你死的好惨	(？,类型,同)
 120:40 - 123:24	来了	(啊啊啊,了,？)
 123:42 - 123:49	刚才那个图不打完吗	(刚才,完,那个)
 129:34 - 129:48	怎么可能打出来	(这鞋,优化,礼物)
 138:13 - 140:14	主播能讲讲走马灯的故事吗 视频都被下架了 搜不到具体走马灯是怎么产出的	(说,的,，)
 140:29 - 140:36		()
 142:42 - 148:37	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(可以,],[)
 151:26 - 151:37		(技巧,可怕,这)
 155:59 - 156:08	搞黄了	(黄,搞,养生)
 168:30 - 168:38	嗯嗯嗯	(嗯)
 170:34 - 173:06	那咋了	(了,咋,，)
 173:19 - 174:08	被做成雅阁的人一报警他就老实了	(的,了,666)
 176:23 - 176:25	你认错主播了	(认错,孬,你)
 178:51 - 179:27	回顾雅阁的种种事迹，我感觉把他bili也给举报了也不过分	(了,认错,也)




 210:01 - 212:31	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(⚡,来,])
 218:19 - 219:07	喜欢吸	(吸,你,撞)
 220:17 - 222:41	今天本来想在隔壁给主播开9980的会员呢，可惜了	(],[,了)
 230:57 - 231:42	555啊	(！,555,LOSE)
 232:32 - 233:23	真人局	(咳,刚才,大佬)
 241:17 - 244:44	超超宝宝[哇]	(！,的,666)
 246:59 - 248:10	花上飘着无敌星 撞了就掉下来	(无敌,着,吹)
 248:38 - 249:17	么么	(么,大局观,爱)
 249:28 - 249:38	反派笑	(笑,。,反派)
 252:04 - 253:39	哇登顶	(！,666,哇)
 254:20 - 255:45	555电他	(可以,555,还)
 256:31 - 257:35	那你去玩跑圈的	(玩,生存,赛)
