全场最高能：65:54	斗地主了

其他高能：
 0:55 - 2:18	主播是被关雅阁了吗	(啊啊啊,雅阁,好好)
 3:31 - 4:07	主播是要帮胖哥上分，所以放出来了吗	(啊啊啊,疯五好,帮)
 5:46 - 5:53	松饼[比心][比心][比心]孩子王	(比心,],[)
 9:26 - 10:18	我奶奶来都吃鸡了	(怎来,孙,技不如人)
 13:10 - 13:14		()
 14:34 - 14:48	别人消除了方块就会攒	(攒,哦哦哦,消除)
 17:43 - 18:35	这下jbrr了	(觀眾,是,了)
 28:01 - 29:19	蒙的	(！,灯顶,?)
 33:06 - 33:25	鱼不多	(饼,儿童,三岁)
 40:39 - 42:43	灯顶[大笑]	(！,灯顶,哇)
 44:00 - 47:33	主播我想你了	(你,了,])
 48:21 - 48:31		()
 48:38 - 50:48	我去这声音不是林克吗，隔了好几天没看你直播，今天又刷到了	(了,你,我)
 52:49 - 53:25	发送技不如人和主播对角线	(平局,技不如人,发送)
 54:56 - 55:58	主播有人问你RT6是什么[哇]	(666,],[)
 57:32 - 57:50	蒙的	(蒙,的,后来居上)
 58:10 - 58:38	蒙的	(舰长,HOW,送礼物)
 58:59 - 59:28	不如同事	(同事,不如,雅阁)
 65:00 - 68:16	斗地主了	(666,蒙,?)
 71:28 - 72:28	那不是你自己选的	(这样,做,那)
 74:23 - 75:26	一到公平图就卡，主播还天天念叨多来点公平图，那是谁开的呢	(公平,图,赢)
 77:27 - 78:14	累了就去睡觉，变形了都	(该,变形,哈哈哈哈)
 79:28 - 81:11	跟主播借30不就醒了	(就,哇,])
 81:50 - 82:06	+2	(2,+)
 83:13 - 83:20	小银币	(屎,阴出,银币)
 83:41 - 84:19	开天眼了[哇]	(蒙,狗熊,了)




 86:47 - 88:43	这段惊天地泣鬼神的跨国恋爱有结果吗	(妙不可言,妙,？)
 88:50 - 88:55	那咋了	(西,送到,送佛)
 89:52 - 90:09	把对手都打退啦	(孙翘,对手,起来)
 91:57 - 91:59	可惜主包爱鬼子	(鬼子,主包,可惜)
 92:34 - 93:04	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(？,舰长,喵)
 94:08 - 96:26	还会走马灯	(笑,金河田,的)
 96:54 - 97:42	主播这段时间离开北京去哪了	(走马灯,沉淀,还)
 99:18 - 99:45	卡比找到了吗	(666,卡比,蒙)
 103:39 - 103:49	大戾士	(士,大戾,多动症)
 106:44 - 107:06	胖哥来早赢了	(马灯,都,惠)
 107:49 - 108:27	技不如人了吧	(了,技不如人,吧)
 108:36 - 109:34	技不如人 x7	(技不如人,8000,胖哥)
 109:52 - 110:01	Joe fayday	(倒霉,Joe,真)
 110:15 - 110:18		()
 112:29 - 112:34	就等孙	(等,孙,技不如人)
 117:54 - 118:30	蒙的	(蒙,的,666)
 121:24 - 121:46	那咋了	(咋,了,那)
 122:50 - 123:13	胖哥来顶着卡也能赢	(四圈,马拉松,好图)
 126:54 - 127:37	狗熊来早赢了	(能力,读图,合影)
 131:02 - 133:10	这图都题库了怎么可能有人进	(了,笑,图)
 138:22 - 138:52	这代没有官方编辑器，作图的以为自己藏得东西别人找不到	(不到,zuan,初见)
 139:03 - 139:12	路易想赢想的抓狂	(GG,想,的)
 139:32 - 140:50	门上有个弹簧，顶了p才下得来	(走马灯,了,弹簧)
 146:24 - 147:39	主播你能把这个松饼拉黑吗 都怪松饼	(松饼,哈哈哈,合影)




 148:17 - 149:00	欧美区	(欧美,现成,坏事)
 149:07 - 149:23	说tm什么呢[吃瓜]	(说,什么,欧美片)
 151:38 - 152:41	几岁了哈哈哈	(哈哈哈,ta,惠普)
 153:53 - 155:12	那主播为什么还没登顶	(登顶,主播,了)
 155:14 - 155:47	大圣比胖哥早好几年8000	(en,teacher,写)
 156:20 - 157:28	那咋了	(那,咋,了)
 160:32 - 161:45	那很妙不可言了	(啊啊啊,？,妙不可言)
 163:24 - 163:46	就非得吃状态吗[鼻子]	(吆西有,金光闪闪,为啥)
 171:41 - 172:47	耀西的作用是啥	(作用,耀西,-)
 186:51 - 188:56	蒙的	(的,666,蒙)
 189:24 - 191:46	那你不得不佩服他开的很精准	(开,英语老师,卡)
 192:39 - 193:56	脸最白的赢了	(？,HOW,nmlg)
 195:32 - 196:24	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(赛季,白胖,舰长)
 198:41 - 201:23	顶了就喝不到汤	(顶,？,了)
 202:38 - 204:02	小粉从管子那头出去了	(藤,出去,俩)
 207:34 - 207:53	老任可能觉得这图做的很用心	(用心,任,觉得)
 215:00 - 216:05	被马里奥逼的	(马里奥,了,开关)
 220:12 - 222:37	isun:再bb让你吃肉	(你,isun,等)
 229:18 - 229:24		()
 229:28 - 229:53	没上过初中咋办	(咋办,没上,初中)
 230:28 - 232:35	马灯不是转，是走	(转,是,技)
 235:31 - 236:35	孙孙晚上好	(哈哈哈,了,比)
 240:03 - 241:38	拥有偷鸡的意识，就能避免打工	(的,就是,不同)




 241:47 - 242:15	这些你到底是怎么知道的	(开蒙,总的来说,到底)
 247:55 - 248:57	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(一页,走马灯,，)
 250:11 - 251:05	孙宝你可算回来了	(舰长,了,你)
 251:35 - 253:44	不是你自己的问题吗	(你,],[)
 265:18 - 266:05	b站独家早就饿死了	(独家,站,b)
 266:28 - 266:31		()
 267:07 - 268:25	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(主播,舰长,可以)
 268:58 - 269:14	林克咋变成通宵播了	(通宵,变成,播)
 269:25 - 271:02	很好，牛车	(了,茱萸,插)
