全场最高能：229:13	蒙的

其他高能：
 0:16 - 0:40	早上好	(早上好,？)
 1:21 - 2:39	有试各种办法，想一个比较好的最终解，目前想的是用专门的软件自动截取	(早上好,么,想)
 10:01 - 12:32	一进来就看见登顶了	(666,晚上,比心)
 18:53 - 20:28	哇，灯顶	(么,！,灯顶)
 21:27 - 22:22	又是掉100分的一天	(走马灯,舰长,一天)
 22:46 - 26:07	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(],[,比心)
 26:20 - 28:36	我只用得惯yb了[花]不是新玩家[花]	(],[,老板)
 30:18 - 33:23	多人也能听见叮咚，也是好起来了	(走马灯,],[)
 34:32 - 36:29	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(走马灯,，,？)
 36:36 - 36:54	但是真雅阁来了	(合影,分侠,但是)
 40:24 - 40:50	找个档口一起卖电脑吧	(受惊,休息,档口)
 40:56 - 41:17	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,7000,睡觉)
 42:38 - 42:54	碍事	(走马灯,碍事)
 44:41 - 45:03	你不愧是互相抹屎的游戏	(的,那个,你)
 48:00 - 49:51	走马灯了	(走马灯,哈哈哈,😅)
 54:12 - 55:11	这个赞是你点的吗	(你,赞是,赞)
 57:01 - 61:30	发送那咋了让主播看到我们的支持	(那,一样,了)
 64:13 - 64:37	谁说的，你已经从白胖那里见到人类最恶心的了	(走马灯,你,见到)
 66:10 - 67:23	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(胖哥,，,？)
 71:01 - 72:26	小蓝是英语老师啊	(是,？,路易吉)




 88:31 - 89:33	你认错主播了[吃瓜]	(主播,嘚,费)
 93:53 - 94:21	技不如陕西人	(牙哥,陕西人,得)
 96:43 - 97:50	主播这个英语老师太厉害了，你能把他拉黑吗	(？,啊,牙哥)
 98:27 - 99:55	技不如人罢了	(技不如人,不同,那条)
 100:33 - 101:17	走一下英语老师赛道看看	(对,最快,一格)
 104:20 - 105:12	不如对角线	(对角线,不算,不如)
 106:16 - 107:00	就fayday杀第一	(第一,抢肉,这不杀)
 108:23 - 109:00	技不如老师	(老师,不如,技)
 111:38 - 112:44	技不如人 ×47	(技不如人,谢谢,俩)
 117:26 - 118:40	技不如钢铁侠	(。,技不如人,输)
 120:50 - 123:07	卖电脑的来了	(金河田,的,炸)
 125:17 - 125:53	么么	(么,羞辱,ddj)
 126:19 - 127:35	变异了	(变异,了,宝宝)
 129:26 - 130:55	技不如英语老师	(英语老师,不如,，)
 133:08 - 134:44	分都让英语老师吃完了	(了,英语老师,都)
 136:21 - 137:21	钢铁侠不削没法玩[dog]	(？,舰长,侠不削)
 138:37 - 139:37	钢铁侠又吃分了	(钢铁,侠,舒服)
 144:59 - 145:20	得 名最白的赢	(名,最白,赢)
 146:57 - 148:02	不如isun	(不如,isun,技)
 149:35 - 149:40		()
 153:22 - 154:26	倒闭了	(不好,大家,倒闭)
 154:28 - 154:40	英语老师	(英语老师,单挑)
 155:49 - 160:03	you lose	(了,哈哈哈,？)
 160:42 - 162:50	技不如英语老师	(合影,英语老师,极限)
 163:06 - 163:15	孙子被英语老师吃分吃麻了	(麻,吃分,孙子)




 163:18 - 163:58	让了	(语文,让,舰长)
 165:04 - 166:06	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(偷笑,睡觉,LOSE)
 168:48 - 169:52	哇，灯顶7000	(！,7000,了)
 172:22 - 172:35	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,可,查)
 174:26 - 174:56	技不如isun	(不如,技,爱孙)
 175:32 - 177:42	py交易	(❤,️,偷)
 188:03 - 189:19	技不如人[dog]	(技不如人,pjbsb,悲哀)
 190:41 - 194:00	惠普秒换[花]	(哞,，,小时)
 199:55 - 200:37	这圈没雷特别难追	(好,第一,出事)
 209:42 - 209:49		()
 209:59 - 210:33	555干得好啊	(H,好样,好)
 210:43 - 211:55	这主播负能量太多戾气重举报了，看白胖去了	(了,，,大戾)
 216:25 - 216:38	等着isun上来当第二做你的护菊	(护菊,上来,当)
 217:04 - 217:11	奔奔爹来了	(奔,臂膀,铁)
 219:01 - 219:37	乐[偷笑]	(技不如人,LOSE,陨落)
 223:22 - 223:55	卖电脑的	(电脑,的,杰哥)
 224:20 - 225:11	我还记得以前他在直播间吹嘘帮鱼老板写了什么东西 怎么怎么样 好牛逼的样子	(什么,主播,怎么样)
 225:46 - 227:03	该 ×66	(该,学历,高)
 228:02 - 231:25	蒙的	(？,的,蒙)
 232:22 - 232:27		()
 233:27 - 233:41	我看到有个名字跟你很像的牛	(像,名字,6)
 233:50 - 234:09	sc啥的	(ID,sc,啥)




 235:58 - 236:55	记得以前主播用林克跑森林图把把第一，鱼丸十赌九赢	(dog,跑,ztmex)
 238:33 - 239:20	主播把黑名单的所有人放出来早9000了[dog]	(大笑,该,])
 246:22 - 247:30	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(好,],[)
 249:33 - 250:30	上把表现一般系统不给匹配分高的了[哇]	(分高,后面,了)
 252:58 - 254:15	不日柱子就过了[哇]	(了,笑,push)
 262:35 - 262:44		()
 262:49 - 263:38	喜欢吃蓝龟	(fayday,蓝龟,LOSE)
 268:42 - 268:56	大戾士	(大戾,士,索敌)
 269:30 - 271:10	主播主播，这个汉堡是用自己人做的吗	(了,^,汉堡)
 272:00 - 272:27		(后视,不看,一次)
 277:19 - 277:34	不看地图	(地图,不看,哈哈)
 277:44 - 278:05	欺负惠惠普	(欺负,惠,惠普)
 281:28 - 283:53	蒙的	(！,灯顶,哇)
 285:05 - 285:10		()
 285:19 - 286:07	劈水里元素反应了	(了,嫌,劈准)
 286:24 - 289:48	大淘汰	(大,了,继续)
 293:07 - 295:06	你反思一下	(反思,了,现在)
