全场最高能：114:42	哇，灯顶

其他高能：
 4:52 - 7:14	早[比心][比心][比心]	(啊啊啊,比心,])
 12:09 - 13:05	孙老二	(技不如人,搭,胃)
 14:57 - 16:27	孙怎早	(怎早,孙,孙怎早)
 16:37 - 17:24	松饼姐姐早上好	(姐姐,过雨宫,孙孙排)
 26:50 - 26:59		()
 30:03 - 31:15	只欠蒙的了	(了,欠,点半)
 32:24 - 33:53	孙认真	(认真,孙转,AC)
 34:18 - 34:32	提前技不如人	(孙做,T,提前)
 35:58 - 37:03	不知道[花]	(技不如人,键,您好)
 38:39 - 38:55		()
 39:55 - 40:59	你宝宝半小时没说话正常吗	(正常,半小时,发财)
 44:54 - 45:35	技不如人	(技不如人)
 46:44 - 49:25	早[比心]	(比心,],[)
 50:05 - 50:11		()
 50:50 - 50:58	孫暴斃	(孫暴斃,LOSE)
 51:37 - 53:34	就这些忠，颜色还够用吗，是不是要文艺复兴到汉朝的时候那些单字表示颜色去	(颜色,忠,我)
 54:33 - 55:41	孙怎块	(灭紫忠,一任,孙怎块)
 57:59 - 58:06		()
 58:24 - 60:49	怎么还在方块，是因为技不如人吗[dog]	(技不如人,就要,灭)
 61:46 - 62:17	孙无麦	(孙无麦)
 62:29 - 62:55	不會吧一個小時普通場一把沒燈	(技播,這還,沒燈)
 68:15 - 68:39	雅阁建筑师	(建筑师,雅阁)
 69:03 - 70:03	技不如机	(？,登底,孙胡)
 74:03 - 74:36	走马灯	(走马灯)
 80:28 - 83:26	偷吃松饼[比心]	(比心,],[)
 87:33 - 88:20	这居然没有开骂	(骂,居然,没有)




 92:19 - 95:36	早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,看不清,啦)
 97:37 - 98:33	主播拿不到人头没有发育啊	(啊,发育,没单)
 99:26 - 101:11	还在方块啊，登顶了吗	(了,啊,何物)
 102:20 - 104:03	主播jbrr	(大笑,技不如人,方块)
 104:06 - 104:41		()
 107:27 - 109:16	为什么不等顶，是不喜欢吗	(不,环节,方块)
 111:50 - 116:52	哇，灯顶	(！,灯顶,了)
 125:54 - 128:02	上陕西找EN Teacher	(陕西,技不如人,Teacher)
 128:18 - 131:15	这就倒闭了	(英语,了,陕西)
 131:37 - 131:39		()
 131:47 - 135:27	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(?,主播,的)
 137:18 - 138:03	同事重回红名之路有点漫长	(走马灯,同事,回忆)
 138:28 - 138:57	技不如人导致的	(1,亡者,导致)
 139:05 - 139:31	大家早上好[比心][比心][比心]	(比心,],[)
 141:18 - 141:29	舒服了	(终害己,舒服,害人)
 142:39 - 146:11	雅阁里放出来几位吧，不然倒闭了	(哞,倒闭,出来)
 146:22 - 147:43	路易：凭什么啊，非得打工	(凭,什么,呀)
 147:48 - 147:55		()
 151:14 - 151:33	蒙的	(蒙,666,钮祜禄)
 152:11 - 152:15		()
 154:52 - 155:41	说不定藏了一个，其他的全是陷阱	(了,藏,开眼)
 160:33 - 161:21	老板大气[比心][比心][比心]	(技不如人,比心,找)
 163:31 - 164:50	雅阁了	(雅阁,-,10)




 171:56 - 172:10	牛哇牛哇	(技不如人,牛哇,扣分)
 174:21 - 174:55	可惜了，让这坏比喝上汤了	(。,士,大戾)
 177:12 - 177:46	笑死	(嘴里,喂,B)
 179:30 - 180:47	技不如走马灯	(有库,…,走马灯)
 181:55 - 182:23	这车只会害了你	(只会害,这车,你)
 186:57 - 189:06	希望是极限图	(666,的,极限)
 189:53 - 193:16	直播间不许发ztmex，否则补水套伺候	(吼吼,哈哈哈,加油)
 196:11 - 196:41	直接吧机子砸了呢[傲娇]	(home,直接,胖哥)
 197:16 - 197:56	也没嘲讽你啊 主播心眼好小	(干巴,爹,捏)
 200:00 - 202:21	好，运气不错	(选,公平,了)
 202:27 - 202:59	蒙的	(1up,顺手,て)
 205:58 - 210:28	快进到不敌走马灯	(胖哥,？,到)
 211:17 - 215:50	父子局走马灯	(你好,了,你)
 218:30 - 219:18	那你怎么不去日本上8000	(日本,不去,怎么)
 221:18 - 221:31	主播去日本是为了八千吗[哇]	(为了,日本,是)
 229:19 - 229:25	大蘑菇5237	(5237,汉堡,大)
 230:25 - 230:44	人脉	(脉,人)
 240:38 - 242:37	那开800个直播间是不是320000人	(老师,人,？)
 242:47 - 243:08	开8000个直播间就是32万人	(龟壳,万人,32)
 253:02 - 253:20	无敌了这孬图	(加油,吧,库巴)
