全场最高能：169:44	雅阁了

其他高能：
 0:46 - 1:33	主播能再啵一吗	(啵,再,吗)
 3:36 - 4:13	公平图也这么顺就好了	(孬,就,这小蓝)
 9:29 - 9:48		()
 12:33 - 13:49	主播别开了[傲娇]	(∠,],[)
 14:36 - 17:58	建议牛车启动	(啊啊啊,哞,倒闭)
 20:33 - 21:16	哪个洞 前还是后	(饼,比心,])
 21:32 - 21:44	七千分[哇]	(七千,分,哇)
 23:31 - 25:43	感动了	(uu,舰长,哦)
 27:00 - 27:55	还挺谨慎的	(谨慎,舰长,哦)
 28:29 - 28:45	倒闭了，睡了	(睡,了,倒闭)
 29:46 - 30:27	又切割	(切割,金河田,是)
 31:36 - 32:52	什么是 噔噔噔噔噔噔噔噔	(噔,登登,灯灯)
 40:28 - 41:14	你明明抢的马里奥的	(抢,马里奥,的)
 42:01 - 43:28	好似喵	(好似,非得,主播)
 44:10 - 44:47	技术确实比主播好	(好,比主播,悲哀)
 46:54 - 47:55	喜欢主播的话可以送礼物和舰长支持一下哦，今日送舰长有300%亲密度加成哦[比心]	(比心,],[)
 48:02 - 53:11	又在走马灯	(的,？,流鼻涕)
 54:17 - 57:44	超级技不如人	(技不如人,7300,和)
 59:21 - 60:39	主播30多已经是退役的年纪了，要体谅电竞老人	(技不如人,了,7400)
 64:54 - 65:16	空帮哇[比心][比心][比心]	(比心,],[)
 69:11 - 69:43	不愧是7300	(不愧,7300,是)
 73:57 - 74:58	蒙的	(的,蒙,猫)
 76:34 - 77:47	国人爱牛	(哈哈哈,卡,小粉)
 85:07 - 85:49	这游戏4个会玩的都留汤 能上一个8000吗	(哈哈哈,哈哈哈哈,的)
 88:21 - 88:30	组队上分举报了	(上分,组队,举报)




 88:42 - 89:23	难得组队上分	(孙,跟,笑)
 90:05 - 91:22	明明是技不如人	(技不如人,主播,抽)
 95:34 - 98:00	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心	(主播,不如,技不如人)
 98:38 - 101:15	倒闭了	(？,-,了)
 102:13 - 103:52	你自己玩都能死了	(自己,哈哈哈,杀)
 106:28 - 107:40	主播被拉黑了，所以排不到人	(被,了,黑)
 115:35 - 117:21	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(饼,楞,噔)
 117:48 - 118:18	我付费过了我可以看吗[哇]	(付费,我,内容)
 121:14 - 121:28	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(可以,主播,])
 130:33 - 130:58	孙孙你的游戏做的怎么样了	(的,怎么样,事儿)
 131:14 - 134:05	胖哥飞鼠玩的比你好多了	(了,，,樱)
 136:40 - 137:54	重活一次 我一个都不吃 改吃酸萝卜[dog]	(吃,死,了)
 138:06 - 138:16	主播不会龟壳跳可以去请教dy510541的技术主播	(dy510541,主播,噎)
 138:41 - 139:28	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,一下,喜欢)
 152:16 - 153:46	牛车启动	(哈哈哈,],[)
 155:29 - 155:49	蒙的	(的,11,秒)
 158:42 - 160:43	你动次打次喊的不一样啊	(的,跳,打次)
 162:46 - 163:01	挂是什么样的	(挂,什么样,飞天)
 164:59 - 166:02	就算坐上车了，怎么吃币呢	(怎么,呢,了)
 166:52 - 167:57	正常就是用壳打蘑菇下来，不会被隐藏砖雅阁	(蘑菇,隐藏,砖)




 168:29 - 172:25	雅阁了	(的,蒙,了)
 178:39 - 179:14	玩曹森图	(dr,呢,牛批)
 180:11 - 181:18	主播和ddj都哥们[花]	(炸弹,DDJ,看见)
 188:41 - 189:20	555被你贵死到了	(了,死,555)
 199:12 - 199:23	车技不如人	(车,技不如人)
 200:03 - 200:38	岩田聪小时候见到的乌龟都会扔锤子	(乌龟,见到,锤子)
 202:13 - 203:25	飞了吧	(好图,吧,车)
 204:05 - 206:42	这图够你玩了	(大戾,士,了)
 206:47 - 207:26	灯冷灯冷也过不去	(送分,灯冷灯,冷)
 208:49 - 208:52	不好	(不好)
 209:25 - 209:58	感觉主播技术太差了，还是8000分水平的白胖好看	(变形,了,好看)
 215:41 - 216:16	狗熊来就找到藏着的无敌了	(71,70,69)
 221:41 - 222:09	这图过完，只有200个人了[dog]	(五格,这次,200)
 227:11 - 229:00	不知道金河田你可以问问你长沙的同事	(金河田,同事,主播)
 232:38 - 235:13	不会又被同事打压了吧[傲娇]	(大戾,士,哞)
 235:41 - 235:50		(光照,有关,跟)
 236:28 - 236:55	第一把登顶率最高说是[花]	(率,第一把,最高)
 237:06 - 237:19	卡电源不行换个	(换个,电源,卡)
 240:24 - 240:39	鬼探头	(探头,鬼,小栗)
 241:43 - 242:22	三个绿龟打不中，何尝不是一种背身三枪呢	(三枪,背身,一种)
 242:26 - 243:00	第一超你们三个马灯了	(喜欢,好接,第十二)
 245:29 - 249:10	是啊，主播说的金河田是什么[哇]	(了,的,666)
 249:39 - 250:04	蘑菇大王	(大王,蘑菇,该)
 250:37 - 250:42		()




 251:08 - 251:51	给我看饿了 我去拿包瓜子[花]	(花,我,别饿)
 257:24 - 259:15	惠普偷走了主播的人生	(！,惠普,了)
 259:32 - 259:37		()
 260:15 - 260:34	那这种道具 我奶奶来我奶奶都登顶了	(奶奶,我,那)
 269:22 - 271:59	也就欺负欺负bot了[傲娇]	(三连灯,666,！)
 276:41 - 278:16	第一名的马灯都看不见了	(马灯,打,第一名)
 280:19 - 281:52	主播我可以當愛牛的 只要你說一聲[比心]	(LOSE,！,bot)
 287:50 - 290:07	无信息极限回防成功，主播你是不是开了	(了,可惜,极限)
 291:54 - 294:04	哇，灯顶	(！,的,666)
 306:18 - 308:12	这种局前两轮是不是不用打了	(8888,，,了)
 308:52 - 310:23	自己沒把握好	(的,你,bot)
 310:44 - 311:19	前狼假寐	(假寐,狼,前)
 315:51 - 317:48	-20[哇]	(20,-,！)
 327:26 - 329:41	哇还有抗日	(！,咋,那)
 332:13 - 332:30	原来如此	(原来如此)
 332:55 - 333:52	主播都可以远程和isun双排，本地双排咋了嘛	(?,双排,？)
 339:53 - 342:02	早[委屈]	(],[,LOSE)
 342:14 - 342:44	刚才一把四个活人，主播排第三	(主播排,第三,四个)
 344:24 - 345:34	松饼给他的bot小弟交代过了，就打孙子	(bot,花,])
