全场最高能：183:00	哇，登顶

其他高能：
 1:54 - 2:04	晚上好[比心][比心]	(比心,],[)
 2:15 - 2:57	饼饼晚上好[比心][比心]	(啊啊啊,饼,比心)
 3:54 - 4:24	听他骂一句我就走	(一句,骂,听)
 7:35 - 8:30	晚上好	(],[,比心)
 11:02 - 13:53	让英语老师来给你补习数学[吃瓜]	(数学,],[)
 14:16 - 15:11	这也能死，该怪网络还是手柄[哇]	(技不如人,能,舰长)
 18:56 - 19:50	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(主播,对,，)
 20:02 - 20:19	狗熊好像是女的[dog]	(女,好像,狗熊)
 20:30 - 20:39	又要走马灯了吗	(要,又,走马灯)
 20:48 - 23:33	胖哥略微出手就是主播一辈子跨不过的极限	(胖哥,的,你)
 24:03 - 24:19	英语老师速来制裁孙子[哇]	(速来,制裁,英语老师)
 30:34 - 30:54	別人就看得見	(看,見,別人)
 32:46 - 33:56	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(],[,傲娇)
 39:33 - 39:49	下回弄个IT teacher就可以卖电脑了	(绕路,进管,IT)
 41:50 - 43:25	苦瓜味的是隐藏吗	(的,味,吗)
 44:27 - 45:34	那你为什么捏个黑衣服瘦子 是小桀吗	(？,那,评价)
 48:11 - 48:33	敲碎就喝不了汤了	(孙桑,条件,敲碎)
 53:39 - 53:52	华为不卡	(华为,不卡)
 58:11 - 59:09	那么大一个单向板你还回去	(你,],[)
 61:02 - 61:57	喜欢为什么给不好[dog]	(喜欢,不好,给)
 63:03 - 63:19		()
 65:07 - 67:28	还有数学老师	(了,狗熊,开)
 68:55 - 69:44	小粉cfb	(加油,吧,！)




 73:48 - 74:02		()
 75:15 - 77:04	他都不是第一次了，你还不注意点	(加油,吧,了)
 79:35 - 81:14	还等什么他们都在玩了	(等,他们,还)
 82:00 - 83:26	好结局	(哈哈哈哈,哈哈哈,了)
 85:18 - 86:37	没猫的赢了	(大笑,],[)
 91:31 - 91:51	那咋了	(技不如人,变形,操作)
 93:15 - 94:58	胖哥早过了	(了,过,。)
 95:08 - 95:13	Jenny mrr bee ex	(bee,mrr,Jenny)
 100:02 - 100:53	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(走马灯,白胖,，)
 102:45 - 103:11	流鼻涕了	(流鼻涕,了,治好)
 105:03 - 106:34	玩麦麦的还了	(的,，,粉丝)
 111:23 - 113:42	这集看过了	(看过,这集,图)
 115:23 - 115:35	会不会啊，不会就让桀哥来教你，桀哥晚上在编程做游戏还没睡	(桀哥,不会,编程)
 115:45 - 115:54	这个bug的炮有碰撞体积，撞屏幕最上方就会炸	(上方,屏幕,体积)
 120:26 - 122:05	蒙的	(?,意味,何)
 123:48 - 123:56	国际声望	(声望,国际)
 124:24 - 124:54	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,说,不好)
 126:42 - 127:32	杂技[花]	(杂技,才艺,舰长)
 128:36 - 130:39	7200都比主播强这么多，不敢想胖哥8000得有多强	(人家,],[)
 131:26 - 133:05	那主播当年在日本当上门女婿的时候，怎么没8000	(日本,不是,，)
 133:17 - 134:09	又要被7200吃分了	(谁,菜,怎么)
 141:55 - 144:49	早[比心]	(阿饼,啊啊啊,])




 151:52 - 152:53	怎么公平图还能最慢啊	(技不如人,最慢,倒数)
 159:56 - 159:58		()
 160:15 - 161:19	赢了是技术输了是运气	(运气,了,蒙)
 170:36 - 173:57	技不如人怪ddj	(？,],[)
 182:11 - 184:30	哇，登顶	(！,666,9000)
 191:21 - 192:27	出bug了又是闪炮	(？,脸,不要)
 194:10 - 195:11	不嘻嘻	(！,LOSE,技不如人)
 195:32 - 195:34		()
 195:58 - 196:24	蹭杆子侧跳命中率高	(陌生,草地,蹭)
 196:32 - 198:08	哼，欺负我555不在  不然寻你了	(的,，,高)
 205:00 - 205:46	来卖电脑了	(Hp,Up,电脑)
 211:06 - 211:19	乐	(乐)
 214:19 - 216:38	金蘑菇过了道具点再冲风险太大了，早用会好一点[花]	(LOSE,大,蘑菇)
 224:55 - 228:43	+1哈哈哈哈哈哈	(！,技不如人,了)
 229:50 - 230:35	没有爱孙输的一塌糊涂 哈哈	(哈哈,一塌糊涂,爱孙输)
 235:07 - 237:06	雷倒数第二个用就好了，撞了个地上绿龟也很可惜[花]	(庐山,望,该)
 238:52 - 239:39	差点腾空	(基本,腾空,])
 245:36 - 248:32	技不如人x3	(技不如人,555,9300)
 249:22 - 249:39	太坏了	(阿哲,太坏,了)
 254:10 - 254:48	LOSE	(LOSE,好)
 259:11 - 259:56	好[哇]	(HOW,好,查询)
 260:34 - 261:44	乐景称哀情	(无望,灯顶,气值)
 265:33 - 266:22	哪个游戏没有牛	(落孙坡,加三体,哪个)
 267:31 - 269:54	该x3	(该,走马灯,了)
 275:15 - 276:05	主播一会就切割bilibili了	(切割,了,”)




 276:49 - 280:45	主播直播有延迟，下次打雷你提前说	(大戾,士,了)
 281:04 - 281:49	一下子带走3个	(氣沒,燈頂,带走)
 288:13 - 289:56	怎么 每次进来就刚好登顶呢 好厉害孙老师	(？,黑哨,！)
 290:48 - 290:51		(高手,局,没)
 299:23 - 300:05	主播有一次这样，然后空放淘汰	(空放,淘汰,然后)
 300:19 - 302:54	最近开始有惩罚道具了，如果故意落后太多就给和第一名一样的道具	(^,，,道具)
 303:46 - 305:31	盯着搞很难得啦，我有时候报复心上来了根本找不到人，也没有合适道具	(了,惠普,闪电)
 310:05 - 311:17	未必，前面差太远了	(大笑,],[)
 317:50 - 318:20	涨分的关键就是用黑恶势力打压555	(关键,黑恶势力,涨分)
 321:53 - 323:06	上过一天掉下来了	(LOSE,吃,了)
 326:16 - 327:33	你看[大笑][大笑][大笑][大笑]你不打，别人打你[大笑][大笑]	(大笑,],[)
 328:21 - 329:28	又是fant，这孙子一直领先一个身位	(大笑,],[)
 333:20 - 336:44	无敌就好在防了雷，还不占道具槽	(爱不释手,该,LOSE)
 336:49 - 336:55		()
 338:56 - 339:13	先去吃满币[dog]	(满币,先去,使劲)
 345:19 - 349:36	反了吧，无敌星可以叠大蘑菇不行	(加纳,无敌,蘑菇)

