全场最高能：84:44	那咋了

其他高能：
 0:47 - 0:56	饼饼晚上好[比心][比心]	(饼,比心,])
 1:44 - 2:09	梦到什么了	(梦到,什么,了)
 4:25 - 4:35		()
 8:05 - 8:11	走马灯	(走马灯)
 8:18 - 9:17	伤心 感觉被背叛了	(],[,比心)
 14:04 - 15:46	截图名为：登顶者和雅阁孙	(大戾,士,雅阁)
 16:50 - 16:55	居然没被举，不科学	(科学,举,居然)
 18:06 - 18:37	挫败感这么强怎么玩的下去的	(感,挫败,下去)
 19:12 - 20:51	就fayday	(没汤,差点,fayday)
 22:55 - 23:34	技如pange	(pange,技如,蒙)
 25:36 - 29:28	主播电脑的电源是什么[哇]	(什么,],[)
 31:45 - 32:44	有的，我就做过这种图[dog]	(你,有,我)
 34:05 - 36:51	我发现一个问题，每次卡的时候都有孙子，也许孙子才是那个卡比	(卡,的,卡比)
 37:29 - 37:43		()
 39:04 - 39:16		()
 39:44 - 39:48		(技不如人)
 40:07 - 40:38	我印象里大的只有红的小的只有绿的	(只有,的,绿)
 41:28 - 41:39	粉忠	(见过,二代,一代)
 43:24 - 45:51	我是新来的，请问弹幕发的ztmex，pjbsb和jofayday是什么意思啊	(的,，,是)
 46:54 - 47:08	小蓝干哈去了	(全聚德,干哈去,合集)
 47:36 - 48:06	还有暗广	(舰长,暗广,还有)
 52:35 - 52:40	九折	(喝水,老牛,九折)
 54:56 - 55:00		()
 56:09 - 57:51	再来	(再,来,了)
 57:58 - 59:19	孙孙晚上好	(技不如人,],[)
 60:52 - 61:14		()




 64:40 - 67:04	光速从dy切换bili，孙孙我是有多爱你	(],[,十周年)
 67:11 - 69:10	小主播是这样的，天天故事会做大做强就不会封你了	(你,哔哩,。)
 75:23 - 77:47	雅阁了	(雅阁,了,虎牙)
 79:48 - 80:01	太强了吧 马灯都看不到	(太强,看不到,遥遥领先)
 80:19 - 80:32		(哈哈哈哈,哈哈哈)
 82:08 - 82:35	小馋猫	(故事,馋猫,骗吃骗喝)
 82:50 - 83:22	听故事找卖电脑去吧 别刷屏了	(爱,故事,])
 83:42 - 86:37	那咋了	(咋,那,了)
 90:31 - 92:06	主播喜欢胖哥	(胖哥,你,！)
 96:53 - 98:57	拄拐的赢了	(哞,公平,图)
 107:53 - 107:59		(特有,作图,新手)
 108:22 - 109:09	灯顶7000了	(7000,舰长,了)
 111:57 - 112:37	不是不打了	(舰长,哦,和)
 113:37 - 113:55	没有游戏理解	(技不如人,懦,勇气)
 114:44 - 116:28	主播这个图是叫 飞翔的猪肉吗	(？,差点,的)
 117:07 - 117:38	蒙的	(蒙,的,肉饼)
 119:30 - 121:39	大主播了，sc不屑的	(sc,？,不读)
 125:24 - 125:53	看不清啦	(看不清,啦,kaizolink)
 132:31 - 132:36	不太行啊作者还给旗子	(还给,太行,旗子)
 138:01 - 139:19	这图不开天眼得玩多久	(的,图,饼)
 146:00 - 146:39	喜欢跳	(跳,喜欢,郭敬明)
 149:25 - 149:54	孙子我已经完整的看完走马灯大电影并且发表评论了[dog]	(多好,引导,评论)
 152:01 - 153:25	玩什麼圖都噴刪了吧 非得在這邊嫌邊癲癇	(八百,花,吧)
 156:56 - 157:11	多人许可证被胖哥回收了吗	(回收,许可证,多人)




 158:21 - 158:28	灯冷灯冷	(帽子,乌龟,冷)
 159:29 - 160:10	跳右上	(暂停,绕,pow)
 170:20 - 170:23		()
 176:19 - 178:09	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(早,，,士)
 181:02 - 181:13	这图没视频[花]	(视频,这图,花)
 182:05 - 183:54	当这图不给指引就知道这作者的尿性了	(咋,那,了)
 186:37 - 188:23	那无敌了	(了,胡子,那)
 203:11 - 205:10	主播，我刚才没看清，这么简单再过一次吧	(666,裤子,换条)
 205:38 - 208:25	以后粉忠都不发录播了	(？,?,的)
 209:12 - 209:27	开车图	(开车,图)
 212:58 - 213:03	、	(、,爽快,超)
 214:25 - 216:04	玩得没美美的白胖好	(胖好,美白,玩得)
 217:26 - 218:20	我老看主播直播间有人说什么去以六月息，这是什么意思啊	(，,我,什么)
 220:02 - 221:39	还在狗熊，人家只是犯了闸总都会犯的错	(犯,很,狗熊)
 221:49 - 222:19	雅阁了	(吃,蓝龟,雅阁)
 224:00 - 225:13	主播快悟，把我从黑名单里放出来	(主播,悟,走马灯)
 226:54 - 226:58	谢谢关注[比心]	(谢谢,关注,比心)
 227:48 - 228:13	主播是被玩的	(飞,被,玩)
 229:41 - 230:18	开天眼也得等	(便是,开,那)
 230:27 - 234:34	那你买了吗	(了,你,那)
 234:45 - 236:50	主播为什么干涉粉丝的私人生活，你是真的比不上胖哥啊	(过,你,哞)
 237:11 - 238:05	卖电脑的来了早过了	(卖,的,早过)
 239:56 - 240:52	嘿嘿x3	(嘿嘿,亲亲,哈哈哈)




 241:45 - 242:48	要是做走马灯切片看的人多，就是举报也多	(看,没人,切片)
 243:54 - 244:10	能卡单向板中间偷鸡吗	(吗,惠普,回来)
 255:35 - 257:22	现在有很多人养猫养着养着就丢了，一堆野猫野狗，吓人呐	(丢,，,里)
 267:05 - 267:25	那是有编辑器好还是没编辑器好	(编辑器,好,好玩)
 273:37 - 273:41		()
 273:43 - 275:05	睡觉去了，期待明天早上起来还是这图	(。,点,去)

