全场最高能：342:19	玩过这种地狱图，才知道平地摸终点7的好

其他高能：
 0:00 - 1:19	早上好[比心]	(怎早,孙,比心)
 2:22 - 2:55	早[花]	(堵住,普,昨晚)
 5:45 - 7:12	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,饼,早)
 9:47 - 9:48		()
 14:02 - 15:25	哇，登顶	(！,登顶,哇)
 15:48 - 16:33	么么	(],[,比心)
 17:49 - 19:02	饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼饼	(饼,],[)
 21:57 - 26:11	好久没看孙了 怎么来这直播了呀 最近好吗	(],[,！)
 26:33 - 29:23	怎么不玩多人了	(！,多人,])
 29:53 - 30:17	我怀疑这游戏还有些bug没被发现	(有些,怀疑,发现)
 30:41 - 30:52	能不能别再说灯哥的事	(咋啦,？,再说)
 32:05 - 32:17	主播啥时候玩卡比啊	(卡比,啥时候,节奏)
 32:49 - 32:59	次郎想看🐮车，孙孙满足一下	(满足,🐮,车)
 34:29 - 35:58	蒙的	(的,666,了)
 36:22 - 37:12	孙怎早，多人这么早就倒闭了吗	(没玩多,大哭,段公子)
 41:54 - 43:14	太花了不好	(么,不好,HOW)
 43:49 - 45:32	紫蝴蝶是什么	(卖,紫蝴蝶,也)
 47:09 - 48:04	铁工艺	(大戾,士,哈哈哈哈)
 48:23 - 48:56	全网最有素质的直播间	(素质,全网,最有)
 49:56 - 51:38	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(],[,比心)
 54:14 - 54:45	你tm说啥呢	(啥,说,tm)
 55:27 - 55:41	紫蝴蝶	(蒙,的,紫蝴蝶)
 55:52 - 56:08	这么耐久	(人寿,香,睡得)




 56:55 - 57:25	这图费眼睛	(眼花,这图费,看不清)
 61:55 - 61:57		()
 62:18 - 62:25	可以换小号，不在乎分数的，直接放弃	(巴图鲁,大清,不在乎)
 63:01 - 63:49	我都怀疑是不是哪天漏看孙孙破防不玩了🤔	(],[,比心)
 66:54 - 71:21	条件不要了	(条件,了,？)
 88:21 - 91:03	7000分就是没有8000的强啊，换胖哥早过了	(玩玩,不,了)
 91:36 - 93:03	当新观众还在下午两点的时候，老观众已经把午饭买好了	(主播,！,牛车)
 95:37 - 96:55	算你过了行不	(了,过,你)
 99:12 - 99:26		(？)
 102:39 - 103:43	该换手柄了，那么买了新的手柄旧的怎么处理	(了,ztmex,手柄)
 106:15 - 107:10	这图真的小杰玩3遍都过了	(！,],[)
 107:17 - 107:24		()
 110:05 - 111:08	不打海南人就寻你了	(能力,不行,团)
 113:12 - 114:06	蒙的	(蒙,的,奔)
 116:37 - 120:20	该[哇]	(该,？,🚀)
 121:23 - 122:03	读图能力不行	(？,14,最高)
 135:15 - 135:50	壳儿不是放中间么	(堵,狗,脱壳)
 136:06 - 136:46	主播心乱了	(了,心乱,咋)
 138:02 - 138:48	蒙的	(？,蒙,的)
 144:43 - 146:05	补给线，辣鸡图	(技不如人,补给线,了)
 150:08 - 150:16		()
 151:37 - 151:44	黔驴技穷	(黔驴技穷,花掉,状态)
 153:04 - 153:32	给他夹一下	(夹,一下,提示)
 155:50 - 156:17	好久没这么经典的图了	(等会儿,敬明,好久没)
 157:25 - 159:46	鱼的记忆	(记忆,？,的)
 160:17 - 160:39	笑死了	(变红,了,笑)




 161:07 - 161:24	非得看	(有,拔,tm)
 162:07 - 163:30	流口水的过了	(蹲,哈哈哈哈,了)
 164:12 - 164:27		()
 164:52 - 166:26	做这图的IQ甩孙子十条街[妙]	(大笑,],[)
 167:08 - 167:56	发现了新的区域哦	(？,的,这是)
 170:19 - 171:07	雅阁了	(雅阁,胖哥,了)
 172:07 - 173:52	雅阁+胖哥	(胖哥,雅阁,的)
 174:17 - 175:49	智力完全被拿捏了，这图是胖哥做的吧	(全错,是,了)
 176:53 - 177:50	你刚刚左边不是有钥匙门吗	(门,钥匙,？)
 177:57 - 180:19	钥匙门在左边，盲人主播	(左边,钥匙,不吃)
 187:43 - 188:17	这图作者是真牛怎么做的图	(666,好图,20min)
 197:09 - 197:12		()
 200:08 - 201:15	团长nb	(的,蒙,？)
 212:11 - 212:30	主播你现在这个症状叫狗熊综合症	(综合症,症状,孬飞)
 212:55 - 213:31	这图是不是玩过	(玩过,是不是,这图)
 215:49 - 217:10	不极限	(技不如人,3,])
 226:45 - 226:53		()
 227:06 - 228:31	明示直接开走	(开走,跑,大戾)
 228:39 - 228:48	封面是松子	(走,！,松子)
 228:58 - 230:14	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(松饼,舰长,哦)
 230:19 - 230:54	什么破troll图，一点都没技术	(troll,一点,破)
 231:58 - 232:08	紫蝴蝶	(紫蝴蝶)
 238:03 - 238:19		()
 238:32 - 240:56	这猫在这睡几天了	(了,睡,的)
 242:17 - 243:51	不仅有dr，还能听故事，第二天还可以飞猪飞走呢	(还,dr,能)




 245:06 - 245:18		()
 245:48 - 247:15	以后太鼓引进不了那可全靠主播了，感觉可以投个20w继续开发[哇]	(可以,卖,还)
 251:27 - 251:50	你们常说的什么金和田，是镶金和田玉的意思吗	(抓狂,],[)
 252:03 - 252:48	金和田是和田文旅的宣传方式	(和田,方式,宣传)
 253:39 - 254:38	这不刷了	(来,了,舰长)
 254:40 - 254:54	来了	(kaizo,来,走马灯)
 255:05 - 257:52	因为主播被风寻了	(了,雅阁,主播)
 258:51 - 259:26	没把	(徐,认识,下播)
 259:43 - 259:54	不然呢	(现在,多人灯,多少)
 260:13 - 261:53	太可悲了，主播已经沦落到和卖电脑的对比[撇嘴]	(撇嘴,电脑,比卖)
 263:02 - 264:35	主播不牛车吗今天	(不,主播,今天)
 265:35 - 265:44		()
