全场最高能：324:06	但是第二个自己吃折返跑也感觉有点慢了

其他高能：
 1:01 - 2:48	早[比心]	(比心,],[)
 10:53 - 12:18	主播这么播身体抗的住吗，最近关注的好多都病了	(技不如人,了,慌)
 18:04 - 18:23	直播封面谁画的[撇嘴]	(饼,撇嘴,画)
 18:28 - 22:45	我以为认错主播了	(],[,，)
 29:54 - 31:17	登顶只要一波幸运几连条	(！,666,登顶)
 31:35 - 31:56		()
 34:36 - 35:18	封面我已经偷了[dog]	(],[,比心)
 35:36 - 35:42		(、,哈哈哈)
 37:10 - 37:21	角度清奇[笑哭]	(清奇,角度,哭)
 38:55 - 41:07	其实和梦醒才是苦命鸳鸯[笑哭]	(哭,笑,的)
 41:17 - 42:58	饼饼早啊[哇]	(],[,比心)
 46:07 - 47:25	孙老二	(技不如人,玩玩,LOSE)
 54:39 - 55:00	主播开播前不要奖励自己	(奖励,前,开播)
 57:09 - 61:00	哇，登顶	(！,哞,灯顶)
 61:15 - 63:00	只要心中有马灯，天天都是马灯节	(不好,吗,电脑)
 63:04 - 63:22		(心想,黄,成)
 66:12 - 67:32	雅阁了	(准,？,雅阁)
 69:08 - 73:17	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(了,热,雅阁)
 74:17 - 78:31	太准了	(主播,准,了)
 80:04 - 80:57	其实就是蒙的	(不了,哈哈哈哈,你)
 81:52 - 82:05	那咋了	(咋,那,了)
 82:40 - 83:10	这个卡比这么被放出来了	(被,卡比,泉水)
 86:17 - 89:09	封面你画的吗	(啊啊啊,饼,])
 89:24 - 91:17	主播你怎么知道我本科戾学的	(？,喝彩,])
 92:22 - 93:10	点赞让作者看到他被偷了啊	(作者,还,，)




 93:15 - 93:32	么么	(么,精神,30)
 93:43 - 94:24	举报了	(的,还,不)
 97:32 - 98:20	主播跟胖哥和解了吗	(了,胖哥,谁)
 109:29 - 109:31		()
 109:40 - 110:48	灯冷灯冷	(等,冷,，)
 111:48 - 112:33	就这	(蒙,的,妙)
 112:50 - 112:59	还在流向	(流向,在,还)
 113:55 - 113:59		()
 114:17 - 116:59	海南人是主播的好朋友吗	(海南,？,人)
 122:14 - 126:13	痔疮犯了，主播可以用大蘑菇顶住帮我止个血吗	(大哭,么,的)
 126:29 - 126:36	kazelink边抽耳光边卖电脑	(抽,边卖,耳光)
 126:40 - 128:42	不懂就问，马造什么会这是一个组织吗	(什么,？,主播)
 128:51 - 129:12	现在的人都不喜欢太长吗	(都,关系,宣言)
 129:27 - 129:41	实力下滑太多了	(这谣,干吗,竖)
 132:50 - 133:34	胖哥来了早过了，我去胖哥那了	(了,胖哥,来)
 151:59 - 152:49	这把打完打几个超爽快的图好吗	(打,爽快,超)
 152:54 - 153:13	多人倒闭了吗	(没夺,大家,倒闭)
 155:32 - 155:57	马灯笑传之蹭吃币	(秒,👍,姚明)
 156:03 - 156:11	接最后一个壳的时候要高一格	(格,高一,卡住)
 156:18 - 157:18	过了是不是还得再来个无暂停版本的	(是不是,得,么)
 164:08 - 164:51	十周年了	(封面,十周年,了)
 166:49 - 169:02	蒙的	(666,蒙,的)
 174:52 - 175:03		()
 176:27 - 179:10	技术盲区了，去找胖哥敏而好学一下吧	(了,的,蒙)
 183:26 - 184:19	卖电脑的来都早过了	(早过,不准,了)




 185:33 - 188:53	跳了吧，胖哥也在直播间，别浪费他时间	(过,了,吧)
 189:02 - 189:11	左边帽檐齐了的时候是偏右	(屏幕,了,前主播)
 189:36 - 189:44		()
 190:19 - 190:41	主播别搁这整节目效果了，我真不信你不行	(真不信,效果,这整)
 191:11 - 191:16	我看有下蹲滑步找位置的，靠谱吗	(谱,位置,滑步)
 194:08 - 194:17	作者有奇技淫巧	(奇技淫巧,?,作者)
 194:26 - 195:28	好，运气不错	(蒙,？,的)
 204:15 - 206:21	9WB-N50-KLG想看你打一打	(蒙,的,-)
 207:29 - 208:24	170s的跑酷图为什么要打[花]	(咋,那,了)
 208:48 - 209:57	这么好的作者你上哪找去	(的,你,])
 211:46 - 213:53	思考牛魔呢，拿命是不就好了	(d,像素,了)
 214:05 - 214:18	海南人	(危险,海南,爱牛)
 215:36 - 215:52	工艺图	(工艺,图)
 217:02 - 218:30	这不是掉了个砖块把海南人砸死了吗	(掉,金河田,上面)
 219:23 - 220:30	好跑	(哈哈哈,结束,先跑)
 222:01 - 223:46	上面是风寻,下面是胖哥	(风寻,下面,了)
 225:05 - 225:56	还吹口哨，一会就寄了[哇]	(哈哈哈,？,哈哈)
 226:57 - 228:08	鱼x3	(鱼,忘,了)
 228:51 - 229:47	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,可以,荧光棒)
 232:19 - 233:16	这图季小麦做的吗	(麦早,过,小麦)
 233:37 - 234:52	大戾士	(士,大戾,解读)
 238:13 - 238:31	吓死了	(吓死,被,了)
 238:43 - 239:24	蒙的	(蒙,的,666)




 246:09 - 247:18	过了说是	(逃兵,？,过)
 251:18 - 251:57	飞了算了又臭又长	(HOW,又臭又长,流鼻涕)
 258:18 - 259:01	好图啊	(好,圈,甜甜)
 259:58 - 261:46	再进门啊	(了,进门,哈哈哈)
 261:56 - 262:02		()
 264:16 - 266:16	主播戾气世界第一	(第一,世界,主播)
 267:58 - 269:59	美食是好朋友，那卖电脑的呢	(是,哈哈哈,的)
 270:40 - 271:03		()
 273:18 - 273:38	主播被没收多人许可证了	(没收,许可证,三段)
 276:47 - 277:42	蒙的	(你,蒙德,蒙)
 281:55 - 282:12	白白的幽灵	(火眼金睛,白白的,幽灵)
 282:23 - 283:06	你用奶牛你就是爱牛了	(跳,你,这样)
 286:03 - 286:12	以前读书的时候经常半夜看你直播睡觉	(读书,半夜,睡觉)
 286:21 - 287:24	喜欢主播的话可以送礼物和舰长支持一下哦，上舰可进粉丝群体验十周年企划喵[比心]	(忘,了,走马灯)
 289:30 - 289:53	好图	(道歉,好图)
 290:12 - 290:17	不公平图	(能力差,道,一条)
 291:32 - 293:37	之前看金河田玩过一个会无限重复的里世界表世界的图	(道歉,的,点)
 294:27 - 297:19	不会真跑了吧	(],[,跑)
 298:16 - 300:13	牛逼，真过了	(的,蒙,666)
 300:18 - 302:19	主播6800分能排到8000分的胖哥吗，疑似有点臆想症了	(吗,主播,胖哥)
 302:41 - 302:45	玩币	(玩币,关注,谢谢)
 302:59 - 303:19	应该是马里奥制造把	(制造,马里奥,应该)
 315:09 - 315:18	晚班垃圾是什么	(灵,四起,晚班)
 318:38 - 318:49	全是10秒图	(全是,秒,10)




 323:02 - 325:12	但是第二个自己吃折返跑也感觉有点慢了	(吃,，,的)
 332:42 - 333:42	搜了一下，是team power up	(team,了,胖哥)
 335:37 - 336:41	主播好菜，我去看国服第一了	(，,可爱,好)
 337:35 - 338:47	打喷喷心情好	(打,喷喷,一个月)
 339:05 - 339:47	芜湖	(xp1400,虎,我鱼)
 339:52 - 339:55	小嘴抹了蜜	(蜜,抹,小嘴)
 342:36 - 342:44		()
 342:50 - 344:59	那白胖老板给多少让他请演员上8000	(8000,给,块)
 348:10 - 348:51	问好那里是干嘛的	(想,过关,帮忙)
 356:16 - 356:22		()
 359:09 - 359:38	那咋了	(咋,那,了)
 361:58 - 362:18	换55555吧	(55555,小,踩)
 364:49 - 364:57	隔壁马车都已经上10000分了，主播什么时候能上	(上,马车,隔壁)
 365:58 - 366:11	大象叫卖电脑	(叫卖,大象,电脑)
 366:23 - 367:01	大象叫利润-0.5	(香蕉,尾灯,磕)

