全场最高能：103:17	这图几年前就玩过[妙]

其他高能：
 2:47 - 3:03	走马灯	(走马灯)
 3:06 - 3:27		()
 6:02 - 6:39	怎么没有多人了	(黄了,那么,多人)
 7:18 - 8:34	主播晚上好[比心][比心]饼饼晚上好[比心][比心]	(比心,饼,])
 8:52 - 10:00	0.15通过率的图别投[花]	(比心,],[)
 10:26 - 12:02	主播你的腱鞘還好嗎	(？,的,-)
 12:18 - 13:27	孙怎准	(sun,次郎,孙怎准)
 14:12 - 14:20		()
 22:54 - 24:13	主播技不如人状态下滑心态爆炸操作变形多人玩多了	(状态,系列,一盘)
 26:32 - 27:23	我草，帧极限	(蒙,比心,的)
 28:53 - 29:12	好图	(飞克,二连,开眼)
 31:08 - 32:03	雅阁了	(雅阁,就,能进)
 32:53 - 34:14	点不好会降低别人遇到这图的概率吗	(咋,那,了)
 38:42 - 40:25	喜欢主播的话可以送礼物和舰长支持一下哦，上舰可进粉丝群体验十周年企划喵[比心]	(赛跑,补给线,？)
 40:39 - 40:46	和马灯赛跑	(赛跑,马灯,和)
 43:41 - 45:02	主播早[比心][比心][比心]	(],[,比心)
 45:38 - 46:01		()
 50:53 - 54:20	季小麦早过了	(啊啊啊,了,速度)
 54:25 - 54:47	喜欢主播的话可以送礼物和舰长支持一下哦，上舰可进粉丝群体验十周年企划喵[比心]	(0.27,盲区,技术)
 55:20 - 57:18	多人模式早过了	(过,了,樱)
 58:40 - 60:24	喜欢主播的话可以送礼物和舰长支持一下哦，上舰可进粉丝群体验十周年企划喵[比心]	(666,蒙,的)
 61:39 - 62:11	没发现	(pjbyx,6666,听不懂)
 62:21 - 63:01	大戾士	(士,大戾,呢)




 63:45 - 64:28	bug图不冲来了吗	(图不冲,作图,这集)
 65:29 - 69:04	这个主播怎么放任bug图，看我举报直播间端了他的老窝	(的,bug,蒙)
 70:53 - 73:16	确实是极限图	(哈哈哈,智者,过)
 86:06 - 87:35	这图名字就叫极端动保模拟器，然后条件是杀狗	(怎么,过去,了)
 92:16 - 92:44	主播废了，近视还残	(残,近视,废)
 97:32 - 99:09	读图能力不行	(？,条件,哈哈哈)
 99:54 - 101:37	背板消耗了主播所有智力是吧	(哈哈哈,哈哈,？)
 101:49 - 104:39	这图几年前就玩过[妙]	(？,蒙,的)
 105:40 - 106:44	来一下就飞	(来,！,走灯)
 109:24 - 109:42		()
 110:02 - 110:19	证明技术主播的时候到了	(顶级,工艺,吃)
 113:33 - 114:02	蒙的	(愣,灯,楞)
 123:02 - 124:39	有天眼你也死了	(有,死,也)
 127:44 - 131:19	胖哥寻你来了	(胖哥,你,了)
 131:35 - 133:35	好 下去了	(下去,了,好)
 133:58 - 136:22	这个团说明了胖哥毁了主播事业	(胖哥,了,车会)
 136:47 - 137:32	么么	(么,看一遍,灯友会)
 137:47 - 137:56	这里	(专业术语,太多,你们)
 148:07 - 148:54	标了全部	(全部,回头,技术)
 150:12 - 150:31	有没有可能停下来打了再回去过[dog]	(再,结构,停下来)
 151:12 - 151:28	666	(tlkd,0.03,666)
 151:52 - 152:31	开tas吧	(爱,],[)
 153:14 - 155:28	胖哥来了全过了	(了,],[)
 156:58 - 157:50	主播你的食人花砍伐证呢	(季,小麦,了)
 158:02 - 158:13	飞吧	(飞,吧)




 171:21 - 171:26	什么是马灯[哇]	(马灯,什么,哇)
 171:34 - 173:16	白胖之前一直解释人脉上分，后来被揭穿了	(，,了,抗日)
 177:40 - 179:19	0.12%有点不太拟人了	(蒙,的,？)
 179:55 - 180:15		()
 183:48 - 184:23	感谢灯哥	(感谢,灯哥,祭)
 188:56 - 189:03		()
 189:26 - 189:40	ztmex	(ztmex,哈哈,哈哈哈)
 190:30 - 190:36		()
 192:29 - 193:32	卖电脑是什么	(😁,听,故事)
 195:16 - 200:43	主播你的那个马灯什么时候走啊	(你,的,白)
 205:03 - 205:44	那是一段刻骨铭心的往事	(妙不可言,是,往事)
 208:09 - 210:51	那你打多人为什么不开[dog]	(],[,震)
 216:25 - 216:38	看不懂的游戏溜了溜了	(溜,看不懂,灯灯)
 227:50 - 228:55	因为主播不会按照你的想法去玩游戏	(投,主播,想法)
 234:32 - 235:32	rank是比谁的蛐蛐更强吗还是	(rank,司马,还是)
