全场最高能：77:29	妙不可言了

其他高能：
 4:41 - 6:12	大家早[比心][比心][比心]我今天没时间挨个早了	(啊啊啊,比心,])
 6:31 - 6:40	时间过得真快这么早就11点了吗[dog]	(👍,早就,真快)
 7:02 - 9:51	主播今天走马灯了吗	(],[,今晚)
 10:23 - 10:30		()
 11:01 - 11:56	今天心情格外好啊 这图都不跳[看]	(比心,],[)
 16:13 - 18:15	慧娟来了[dog]	(了,来,天眼)
 18:38 - 20:55	胖哥来了	(了,来,喽)
 29:00 - 31:44	妙子来了吗	(喽,哈,see)
 32:32 - 34:33	你手机给他发个定位不就好了	(地道,了,他)
 37:48 - 42:24	雅乐x18	(胖哥,可爱,了)
 45:11 - 46:51	雅阁了	(？,比心,雅乐)
 47:29 - 48:12	这柠檬是海南人种的吗	(],[,吗)
 50:42 - 52:16	哇，灯顶	(可爱,],[)
 60:45 - 62:01	巧了我也认识[哇]	(认识,我,也)
 62:39 - 62:42	没有边下边播吗[看]	(下边,边,播)
 65:29 - 67:03	初中时的孙子有这画质不赖了	(？,哈哈哈,哈哈哈哈)
 67:27 - 68:48	会有去以六月息吗，我当时还在现场呢	(回头,王八,有)
 69:09 - 69:14	我看出来了，今天必有千本樱	(黄忠,必有,房管)
 72:20 - 74:10	火箭来了 有爆料吗	(🚀,蒙,的)
 74:41 - 74:43	在现场	(现场,在)
 75:34 - 81:06	妙不可言了	(💃,🏻,😭)
 112:16 - 113:00	植原磊[dog]	(？,?,植原)
 124:32 - 124:55	@闲的发慌添个乱 我给你比心了	(记仇,@,哈哈哈)
 130:31 - 132:40	忠哥要加纳了么	(？,好,好好)
 135:15 - 136:31	风扇哥加纳了	(加纳,走,了)




 146:05 - 146:14	懂你意思	(原谅,小栗旬,主播)
 146:17 - 146:28	主播，555说你看视频就帮你打除你之外分最高的人到8000	(视频,你,，)
 170:35 - 170:54	又被你偷到了	(能力,读图,花)
 174:05 - 174:40	多人好图	(九折,图,多人图)
 177:27 - 178:50	那个花那里 哪里来的火[捂脸]	(补给线,],[)
 182:54 - 183:21	刚才那带个炮过来能3段翻过去吗	(该,牛车,翻过去)
 183:45 - 184:31	实在不行我让雅阁把我放出来我帮你问问胖哥怎么过	(我,实在,问问)
