全场最高能：39:24	哇 灯顶

其他高能：
 1:39 - 2:58	主播最近怎么不挂马造小手柄了	(又,！,这么晚)
 6:51 - 6:59		()
 9:46 - 9:56	拉黑这个就真看不清啦[哇]	(拉黑,看不清,啦)
 10:07 - 11:28	对啊，主播为啥不玩抗日模式	(比心,],[)
 14:32 - 15:01	bubu是谁，我只认识饼饼[dog]	(爱心,],[)
 15:22 - 17:16	还没打完字就GG	(了,],[)
 17:20 - 17:35	方块之夜	(战士,喷射,装进去)
 19:28 - 20:16	表达了作者对牛车的思念之情[看]	(看,说,多久)
 28:27 - 30:28	对面好像也是快死了救回来了	(技不如人,🟣,pj)
 35:28 - 35:29		()
 37:27 - 37:34	孙等棍	(孙等,棍)
 37:52 - 38:15	bot有牌子的话不会再把bot的消息转发过去一遍吗	(啊啊啊,bot,吗)
 38:24 - 41:04	哇 灯顶	(！,灯顶,舔)
 41:46 - 42:04	抗日吗	(以后,马车,2)
 42:23 - 42:28	主播可以选择玩RT6-PP2-M3G	(-,选择,主播)
 42:35 - 42:42	沒有多人，沒有戾氣，沒有破防，ztmex	(沒有,，,氣)
 43:01 - 43:40	胖哥还没有把多人许可证还给你吗	(多,哇,白胖)
 45:28 - 47:26	三选一，看视频放动画还是玩P3LJDNGCG	(爱心,一,])
 47:59 - 48:34	被胖哥包围了	(楞,。,wwk)
 48:45 - 51:50	我看有个叫奶油松饼bot的一直刷屏，把他峰了吧[dog]	(bot,],[)
 62:37 - 62:43		()
 63:02 - 64:12	是早了，不过还行，只有一两个点需要噔楞[妙]	(钻洞,过,太空)
 70:13 - 72:02	蒙的	(的,蒙,])
 79:47 - 79:55	卖个电脑不能白卖，里外都得炸	(白卖,卖个,里外)




 80:01 - 81:35	杀pjbsb	(男,的,pjbsb)
 82:01 - 82:42	白胖早过了	(孙喜,能,；)
 85:03 - 85:38	这pjb图死了一次就没人玩了	(了,图死,pjb)
 85:46 - 89:17	屏幕一闪一闪的是主播设了吗	(的,蒙,？)
