全场最高能：146:22	蒙的

其他高能：
 4:42 - 5:42	蒙了4个也正常	(],[,dog)
 8:46 - 9:30	是的	(微笑,牙,呲)
 12:10 - 12:21	那咋了	(骗子,咋,那)
 14:43 - 16:34	主播为什么不玩多人了	(了,吗,自用)
 16:54 - 17:12	饼早过	(一周,一年,饼)
 17:42 - 18:42	@クリーム松饼 那我人亏券还挺划算的，有段时间没玩游戏，还特意买了个会员把券用了	(买,，,会员)
 20:20 - 22:24	你不算技术主播，我认识一个8000的技播比你厉害	(主播,？,打)
 23:47 - 24:40	要不把游戏删了呢，你还天天玩	(小人,了,比心)
 30:15 - 30:30	地裂命中一击秒杀	(地震,地裂,秒杀)
 34:58 - 35:44	糊涂，回去偷啊	(比心,],[)
 36:44 - 36:59	明日考四级，深夜看孙播，裸考能否过	(能否,看孙播,深夜)
 38:32 - 38:45	那咋了	(晃晃,屏幕,咋)
 39:17 - 39:33	看主包玩牛车好欢乐[捂脸]	(哈哈哈哈,捂脸,被)
 48:17 - 49:18	最速怎么过的	(？,666,])
 51:05 - 53:38	抓了三次都是ddj  这就是你俩的缘分[dog]	(抓,了,胖哥)
 54:27 - 55:49	好的，高级弹幕[哇]	(弹幕,高级,帽子)
 56:09 - 56:24	花他拿不到[看]	(拿,没本事,不到)
 56:33 - 59:14	卡比找到了	(卡比,了,花早)
 60:02 - 61:10	哟 这不是钻小洞吗	(哈哈哈,🤣,捂脸)
 62:03 - 62:39	我要给主播开皇帝	(🤣,哈哈哈,60)
 78:04 - 79:10	有十个号换着嘬	(嘬,生日快乐,我)
 82:39 - 83:12	你的意思他是虫草寄生了吗	(是,1,真)
 90:37 - 92:44	对	(？,对,啊)
 93:19 - 95:09	6666还能被音符挤死	(哈哈哈,？,哈哈哈哈)




 95:14 - 97:18	哈气了	(。,了,哈哈哈)
 99:00 - 99:43	满了还刷什么	(？,刷,满)
 99:47 - 100:20	[666][666]	(],[,666)
 110:20 - 113:34	你认错主播了	(认错,蒙,的)
 114:41 - 114:43		()
 115:01 - 115:15	@丛心的世界你不懂 那个图冲肯定比卡时间快	(试,刚上,比卡)
 120:53 - 122:05	人吃了无敌星就会本能的往前冲	(？,！,哈哈哈)
 123:47 - 124:15	放着玩的，自己加难度	(的,难度,用)
 125:45 - 125:53	哦哦，火灾[妙]	(哦,火灾,妙)
 142:08 - 142:41	这不还还你一条命	(还,蒙,不)
 142:46 - 142:52	蒙的	(团长,得,还)
 145:11 - 148:18	蒙的	(蒙,的,，)
 153:09 - 153:35	姓植原	(万一,姓,封)
 153:58 - 154:26	主播自己会把直播搞倒闭	(搞,把,意见)
 157:40 - 159:04	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(夹死,他,夹)
 160:20 - 163:05	补给线图	(咋,那,了)
 163:30 - 166:06	你问我了吗就给我看	(下雪,打雷, )
 169:09 - 169:21	#极端see粉	(一大堆,bb,极端)
 170:06 - 170:47	买电脑的会戴耳机	(电脑,？,的)
 173:47 - 175:18	@不想回的信息不用回了我吃拼好饭猝死了 什么名字[看]	(了,拼好,饭)
 176:05 - 176:57	怎么了，你会吃醋吗[哇]	(学姐,拉,可以)
 191:43 - 192:02	要拿一个P	(像素,移动,式)
 194:55 - 197:11	当然好找，有985不好找工作的吗	( ,考公,工作)
 202:47 - 204:15	漏出暴暴牙了	(暴,暴牙,牙牙)




 204:23 - 204:33	改了	(改了,差不多,我们)
 205:16 - 208:30	三级就是专科的统一英语考试，高考英语及格的都不用考	(三级,我,高考)
 208:43 - 210:25	北京学校外地的也很难进去啊	(北京,不是,，)
 212:04 - 213:55	多人就不需要灯冷了	(冷,灯冷灯,哞)
 219:19 - 220:21	怎么变青蛙站上去开门不算落地了呢孙孙	(？,第四次,主播)
 220:38 - 220:47	松饼终于收回斯普拉遁3卡带了吗	(3,啊,cd)
 220:55 - 222:13	那还是没我快，我吃完就来了	(小时,什么,辣椒素)
 229:26 - 229:35	大戾士	(哪,一家,眼睛)
 229:41 - 231:18	那咋了	(士,大戾,锁图)
 233:30 - 234:30	刚刚里世界出来的地方有个门	(门,有个,死)
 237:40 - 238:06	往左上飞	(小菜,男色,不近)
 246:26 - 246:46	啥是年度竞速游戏	(竞速,我待会,不出)
 249:45 - 251:00	知道了说是	(知道,了,哈哈哈)
 252:09 - 252:42	主播的技术 延迟下落了	(技术,的,蒙)
 254:08 - 257:28	因为走马灯就是在古代发明的[哇]	(古代,的,是)
 261:09 - 261:52	也就是说前期的让梨是为了最后的拿梨	(梨,让,tga)
 262:23 - 262:54	留着让梨呢	(扔,梨,没有)
 266:41 - 266:51	不整你嫌简单，整了你又不乐意[看]	(整了,嫌,不整)
 289:21 - 290:00	重启一下bot	(大哭,],[)
 290:19 - 290:39	主播请不要怪叫	(怪叫,tm,不要)
 290:46 - 291:09	猫舌吃不了热的，猫猫舔暖气是不是会烫伤	(舌,猫,吃)
 292:35 - 293:19	难怪宝宝的头发这么多，原来是过冬啊[看]	(的,就是,啊)




 293:29 - 294:18	现在主播欺负它了	(了,现在,大寿)
 294:59 - 295:50	完了，今天晚上就这图了	(麦神,这图,说)
 300:57 - 301:31	蒙的	(爱心,牛牛,蒙)
 305:18 - 308:01	我给你看看我现在电脑是啥样的	(电脑,毛,电费)
 308:44 - 309:36	@クリーム松饼 我记得西南地区是分用电时间的，应该也就比平时最多贵100吧	(嘬,吧,100)
 312:19 - 314:28	误区了，看过几篇论文，都说空调用的压缩机是最节能的冷热转换方式	(，,卖,蜂窝煤)
 314:59 - 316:55	含硫化合物是吧 这煤的质量有点堪忧啊	(啊啊啊,的,臭)
 317:18 - 319:03	我觉得没吃习惯之前都是臭的	(味,的,臭)
 319:11 - 319:33	里面的硫化物烧起来就是臭的	(臭,的,全屋)
 322:07 - 322:39	你把王八踩高了他不就碰不到了吗	(了,极致,结构)
 325:05 - 325:48	胖哥来过8000遍了	(@,¹,039)
 326:29 - 328:02	所以我充分洞察了游戏制作者的恶意，不玩游戏了	(小帅,了,一个)
 330:19 - 331:35	脑干挖了都写不出来那么ZZ的剧情	(剧情,游戏,网瘾)
 334:27 - 335:21	你车后面挂着的鈿和路上的大鈿碰一起炸了	(了,炸,鈿)
 340:54 - 342:29	蓝龟躲闪电，学会了吗	(蓝龟,比心,])
 345:39 - 345:42		()
 347:48 - 349:01	这就是复仇吗	(],[,复仇)
 357:16 - 357:25	蒙的	(的,蒙,三体)
 358:10 - 359:42	哇，登顶	(！,了,蒙)
 364:44 - 364:52	这下怪不了555了[看]	(这下,怪,555)
 364:53 - 366:41	是啊，不输的话就赢了	(了,],[)
 369:48 - 372:22	好[滑稽]	(了,哈哈哈,打雷)




 372:37 - 372:45	什么时候八千	(八千,热,时候)
 374:00 - 375:51	可惜主播太菜了[捂脸]不会使用羽毛躲蓝龟	(],[,羽毛)
 381:07 - 382:18	@凡凡就是凡凡 555来了主播就跑了[看]	(凡凡,主播,控分)
 388:20 - 389:19	主播就挺像那个小丑	(🤡,],[)
 399:22 - 400:39	这金龟子好菜啊	(！,贴,])
 401:45 - 402:58	主播的最后一局是虚数	(bubuisun,一局,最后)
 403:21 - 403:26	反正不赢是不会跑的	(反正,跑,赢)
 407:56 - 410:01	你先关注着，去看主播的置顶视频补补课	(士,大戾,卸载)
 414:00 - 414:46	可以技不如人但不能嘴不如人	(出不来,雪地,电影明星)
 415:56 - 416:08		()
 417:00 - 417:31	打金河田打的	(LOSE,打,好)
 418:43 - 418:53	上把左上角你没留意[dog]	(留意,左上角,上)
 419:06 - 421:34	其实我觉得你有些策略有问题，比如费劲道具拿到暂时第一，被蓝龟干趴下	(],[,，)
 425:20 - 426:58	你只能看555第一 加纳	(555,你,看)
 428:13 - 430:36	不如555了	(了,不如,的)

