全场最高能：22:36	爱牛都买了胖哥不买

其他高能：
 1:33 - 2:21	我都以为不来了呢	(怎晚,孙,孙怎晚)
 9:36 - 13:07	开不过的[捂脸]我胖哥要是玩这游戏早就登顶全球第一了[捂脸]	(了,],[)
 20:49 - 24:13	爱牛都买了胖哥不买	(？,胖哥,啊啊啊)
 24:25 - 25:02	真有那钱我多刷几个火箭听爆料不好吗	(啊啊啊,我,吗)
 26:13 - 26:54	妙子会买ns2吗	(️,⚡,咋)
 29:40 - 30:06	这个bubuline是真的菜，比不上kazelink一根毛[看]	(菜,LOSE,看)
 32:30 - 33:18	都学会了主播怎么上分	(️,⚡,羽毛)
 40:28 - 43:04	这车适合有爱牛开第二的局	(？,！,蒙)
 44:32 - 47:49	所以现在这个版本有加速的时候就能蓄力是吧	(️,⚡,了)
 52:43 - 55:05	主播我是爱牛车队的 给我从黑名单放出来我帮你上分	(你,金河田,我)
 62:37 - 66:27	因为美食是主播的好朋友	(美食,？,的)
 66:55 - 67:18	等于说食品的爆发力比蘑菇差	(b,坏,的)
 67:22 - 68:15	差点没打过bot	(️,⚡,差点)
 73:57 - 74:45	孙这是请了几个牛[dog]	(了,],[)
 94:59 - 96:11	马灯都看不见了	(马灯,都,了)
 96:32 - 98:02	马车分区都被b站删了还能签合同吗	(了,被,贴)
 98:55 - 99:32	主播尿在裤子里的	(裤子,的,主播)
 99:41 - 99:46	见过主播上厕所的才是老观众[dog]	(见过,观众,厕所)
 105:07 - 106:27	你咋上来了 我要打第二名的	(你,欧卡,盖)
 109:19 - 110:45	来了	(来,了,你)
 116:45 - 116:55	那咋了	(咋,那,了)
 117:00 - 118:56	有能耐你也扔个壳给他啊	(你,扔,士)




 119:26 - 119:37	可惜了	(下雪,北京,了)
 123:08 - 125:07	从来没见过全白的样子，我只在东京见过一点[看]	(逼,牛,不)
 127:50 - 129:02	胖哥被打压了	(胖哥,！,爱不释手)
 129:20 - 130:54	只能在胖哥不玩的游戏里面作威作福了	(],[,比心)
 131:12 - 131:21	明明是主播不会，学会的都上万分了	(上,万分,了)
 142:16 - 142:50	没少看，孙孙注意身体	(没少,冷,捂脸)
 146:13 - 147:01	开了	(？,的,了)
 150:17 - 153:39	我两次雷主播全躲过去了[dog]一次是我盯着打的[dog]	(],[,了)
 158:26 - 159:08	好了	(了,？,好)
 159:23 - 159:40	还以为吃了呢 原来观众吃饱了	(负面,开过,吃饱)
 166:48 - 168:03	主播还真试过第一打雷，然后立马淘汰了[花]	(？,了,真试)
 168:09 - 168:36	[懵]开了	(开,雷军,py)
 169:56 - 170:08	悲哀啊	(第四,悲哀,金)
 174:54 - 174:55		()
 175:03 - 176:23	确实没抢，说到做到啊	(抢,LOSE,宠粉)
 176:58 - 177:03		()
 177:29 - 177:33	原来主播是一元硬币	(一元,硬币,原来)
 184:05 - 185:36	你给555看死了	(555,你,一名)
 186:57 - 187:12	乐[看]	(～,咦,乐)
 187:34 - 188:35	达克莱伊又是什么故事	(达克,莱伊,你)
 193:35 - 195:10	@クリーム松饼 我除了dlc的还没刷 其他都闪了[看]	(看,啊,ム)
 195:17 - 195:24		()
 195:32 - 196:54	金蛋藏好了	(小巷子,胡同,弄堂)
 197:57 - 198:47	那你得弄一堆高级甜甜圈啊	(？,想要,遇到)




 199:30 - 199:34		()
 199:40 - 200:07		(打,还,重复)
 200:15 - 200:47	在我心目中你可是先知的存在[看]	(看,存在,先知)
 203:50 - 203:55		()
 215:15 - 216:47	我刚发现dlc还能刷其他颜色的菜粉蝶 刷全颜色闪光感觉要吐血	(衣服,颜色,的)
 217:04 - 217:46	支线有卡娜莉乌羽啥的套装	(鬼,打击,摔投)
 217:54 - 218:30	又不是那个不被发现捕捉	(五个,买到,捕捉)
 218:55 - 219:16		()
 224:36 - 226:20	哈哈哈哈哈，我看到了，达克的超进化既然是头伸出来，笑死了	(？,楞,，)
 228:02 - 228:13	没有大量出现和闪闪力三明治不得行	(拳,三明治,闪闪)
 229:26 - 231:20	看到了最爱的司马鱼	(司马,鱼,的)
 233:16 - 233:22		()
 233:52 - 235:34	你这是一般属性闪耀力 司马鱼要水闪耀力啊	(力,闪耀,3)
 241:00 - 241:18	裸刷得刷多久[看]	(裸刷,多久,得)
 243:23 - 244:07	因为你传送了 就备份存档了	(备份,传送,了)
 248:09 - 249:25	你这光完成任务就花这么长时间	(@,没,长时间)
 258:28 - 259:14	你的基格尔德不是已经高达状态了吗	(状态,达,尔德)
 260:22 - 261:27	飞机的	(石头,飞机,给)
 272:03 - 272:52	这么对待宝可梦[看]	(对待,逛,有个)
 273:57 - 274:25	主播你带的这个马真好看	(又帅,马真,强)
 281:54 - 288:35	不是得在附近才灯冷吗	(灯,了,吗)
 290:28 - 293:37	应该吃 但是词条跟闪符单独计算	(吃,计算,能)
 300:56 - 302:04	最难的任务就是不被发现，其次是捡垃圾20个	(不,其次,最难)




 310:51 - 312:56	难以想象主播是怎么坚持玩这个破游戏的	(是,溜达,周围)
 313:02 - 313:08	真不是刷没了	(拐角,真,个)
 313:22 - 313:35	在墙后面	(墙,后面,在)
 313:37 - 316:18	你走路就到了	(了,走路,读图)
 318:37 - 318:51	真是鱼，刚才知道没球了还不买	(没球,真是,刚才)
 319:48 - 320:45	右手楼梯啊，	(楼,从,是非)
 321:09 - 321:29	换白天	(号区,飞过去,白天)
 324:53 - 325:05	因为是丰缘产的神兽	(复读机,丰缘产,因为)
 325:13 - 326:43	抓这俩的时候有一个巨能藏，找了十分钟没找到	(这,巨能,完在)
 327:29 - 327:33		()
 332:51 - 333:50	钱那么多为什么不一次买个几百个	(右边,二十,五点)
 340:17 - 341:33	酸的和道具有关	(道具,有关,酸)
 344:13 - 346:15	dlc好玩吗，之前看别的主播玩得破防了	(lv3,树果,力)
 346:35 - 346:41	这个金球真的是司马设计	(设计,不好,运气)
 346:58 - 350:38	不会，每次一个，还不一定出你要的，完了以后还要在刷25000	(的,你,，)
 350:57 - 352:19	就是普通的五星坑，不一定每次给神兽的	(神兽,一定,每次)
 353:05 - 354:07	进洞有自动存档 你得读备份的那个	(备份,高等级,要读)
 360:40 - 360:47	卡墙了	(三炮,够打,卡墙)
 369:19 - 370:20	捞波大果	(，,种,十字路口)
 371:06 - 373:59	8个扁樱果的“闪耀力3 进洞必定给1闪	(力,“,8)
 374:52 - 375:33	蒙的	(唉,切割,委屈)
 375:58 - 379:07	不行 闪耀力稳定出的闪必定是进门刷新范围之内的	(的,力,闪耀)




 379:56 - 380:54	只要你每次把图里的球清个差不多就用不完，把95甜留着，其他的用就完事了	(把,的,就)
