全场最高能：24:57	主播能只用tspin和长条消除赢一把普通吗 赢了上舰

其他高能：
 1:50 - 2:52	早[比心][比心][比心]	(比心,],[)
 10:05 - 15:15	@天空灰的像哭过 是的[爱心]可以看看主播的置顶视频哦，有详细说明为什么...	(！,],[)
 21:41 - 23:20	这个要求的反应速度真的好高啊落一个就得看下一个不然根本反应不过来[捂脸]	(落,过来,得)
 23:40 - 27:34	主播能只用tspin和长条消除赢一把普通吗 赢了上舰	(],[,！)
 28:51 - 30:05	看炮台发射什么	(炮台,发射,弹簧)
 34:21 - 34:37		()
 36:54 - 38:54	真的有搓手的吗[花]	(],[,搓手)
 43:31 - 43:44	胖哥初见过了	(门后,竹轮,要是)
 46:13 - 49:31	四人图直接过不了了	(大戾,士,了)
 50:23 - 51:31	天天钻洞，这就是水管工的生活啊	(噔,楞,不好)
 56:59 - 60:34	卖电脑的来了早过了	(了,过,比心)
 62:51 - 63:39	ztmex(1/100))	(吧,),钻)
 64:10 - 64:55	看来很多主播对钻洞有疑问啊，明天来季小麦直播间解答，哈哈	(小麦,来季,ztm)
 66:32 - 66:51	孬，飞，ztmex	(孬,ztmex,飞飞飞)
 67:08 - 69:31	卖电脑的发的动态，你去他动态搜一下哈哈就看到了	(哈哈,，,爱心)
 70:48 - 71:29	不对 你认错主播了	(紫蝴蝶,蒙,赛文)
 76:07 - 77:19	我至今不知道江浦的原型是啥	(江浦,蘑菇,李光洙)
 79:30 - 82:59	卖手柄的图	(手柄,的,卖)
 83:31 - 84:20	主播最爱的钻都跳过了	(最爱,钻,图)
 85:49 - 87:11	买硬件的也有软件服务	(软件,的,卖)
 87:43 - 87:53		()




 88:08 - 89:42	同样都是玩马里奥的，有人就能8000分	(有人,，,同样)
 93:26 - 96:10	卖手柄的：上当了[哇]	(pjbsb,大戾,士)
 99:06 - 101:10	胖哥串子弹幕还能博我一笑 不看这个看你那pjbsb吗	(了,咋,那)
 104:01 - 105:34	金河田，雅阁，走马灯	(走马灯,哇,])
 133:17 - 133:46	美神不仅早过了 还是一命通关	(],[,手手)
 144:59 - 145:53	因为全人类马造水平下降一千倍，只有胖哥保持不变	(因为,编辑,不变)
 146:22 - 146:34	胖哥是谁 我是新粉	(是,新粉,谁)
 147:25 - 149:20	新粉就看link就行了，没比他更强的了	(的,],[)
 151:26 - 156:37	手柄不出问题，半小时前就过了对吗[看]	(了,的,，)
 159:21 - 160:22	金什么 说出来[撇嘴]	(金,7,哈哈哈)
 163:32 - 164:29	想开车了	(了,炸,牛车)
 169:32 - 171:13	主播可以测一下这个杯子撑大了还缩得回去么	(杯子,原理,大)
 171:43 - 172:33	不懂就问问胖哥	(问问,懂,不)
 173:54 - 175:04	好惨的主播 二手杯子也要[快哭了][大哭]	(杯子,花,死)
 175:51 - 178:08	又是杯子又是鱼的，修女是吗	(了,死,杯子)
 178:25 - 179:21	卖电脑的来把杯子炸穿了	(杯子,怼,了)
 179:27 - 182:11	主播也想接杯子商务了吗	(杯子,了,？)
 187:00 - 188:21	主播都有p了，还要杯子干啥	(？,杯子,了)
 189:11 - 190:13	你又明白了	(明白,了,卡)
 199:49 - 200:17	先把地板踩掉 然后马上顶鱼骨头 大脸直接下来	(直接,踩,大脸)
 201:33 - 202:50	蓝砖下面的pow有什么用吗	(炸弹,两边,pow)




 203:18 - 203:24	胖哥看一眼就明白了	(明白,看,到底)
 205:52 - 207:13	把下面地板踩掉然后让大脸到下面的平台坐杯子，可行吗	(把,杯子,大脸)
