全场最高能：60:55	你认错主播了

其他高能：
 3:06 - 4:09	早[比心][比心][比心]	(啊啊啊,比心,])
 7:11 - 7:52	播到了两点二十	(创作,马力,麦子)
 10:01 - 11:20	实在不行去问问白胖吧	(白胖,去,问问)
 12:36 - 16:15	倒闭了	(了,哞,过)
 19:02 - 20:15	卖电脑的来都过了	(看,松饼,@)
 20:29 - 20:39	《拎壳》	(拎,《,》)
 26:28 - 30:26	维护了	(了,哞,维护)
 30:40 - 30:52	@クリーム松饼 这游戏还能维护 修复爱牛过强的bug嘛[看]	(爱牛过,修复,sound)
 31:36 - 32:37	也只能在没有爱牛的局有一战之力了	(加纳,在,实力)
 36:22 - 39:22	不对啊，我看两小时前就有人说开始维护了	(！,我,了)
 44:26 - 46:06	那咋了，都是人脉	(那,咋,了)
 46:20 - 47:10	这下真遇到白胖了	(哈哈哈,士,大戾)
 47:19 - 47:58	走马灯车队发力了，这就是你想要的登顶吗	(噢,？,车队)
 48:04 - 48:15	∠( ᐛ 」∠)＿牛车耶	(LOSE,∠,该)
 48:49 - 49:08	已经很牛了	(孙雷,这爱,太赖)
 49:54 - 54:16	走马灯[看]	(了,],[)
 58:56 - 59:11	恨孙放的	(孙放,恨,凯欧哥)
 59:37 - 62:44	你认错主播了	(的,了,认错)
 70:28 - 72:55	走马灯车队发力了	(哈哈哈,人家,看看)
 83:25 - 83:33	我就知道必有一雷在终点等你呢	(一事无成,牛进,悬着)
 83:40 - 84:51	没注意看，我是一路压过去的	(，,主播,没)
 92:29 - 92:37	好短	(短,好)
 92:46 - 92:56	懒懒的白袜呀	(白袜,过,的)
 93:22 - 93:58	胖哥多人一命过了	(过,蒙德,一命)




 94:48 - 95:10	那咋了	(咋,那,了)
 95:34 - 97:23	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(了,？,小学生)
 102:54 - 102:56		()
 103:06 - 105:48	那个老板是主播安排的	(主播,],[)
 107:53 - 109:45	我认识个人很会搞小区wifi[哇]主播你的四合院需要吗	(的,认识,你)
 112:46 - 113:28	我说走马，你说灯	(灯,~,走马)
 114:17 - 115:08	我说走马，你说灯	(走马,！,der)
 116:42 - 117:47	真的好菜啊，现在 不如白胖	(，,现在,老师)
 122:39 - 122:58	198主播拿的多了不	(之前,百分之百,立省)
 124:09 - 124:27	开个节拍器	(绿色,1145145,7878)
 130:21 - 132:27	连累家人的好图	(哈哈哈,],[)
 134:07 - 134:15	鼻涕王	(鼻涕,竞速,王)
 136:34 - 137:24	哇 登顶	(模式,isunchedui,长)
 141:46 - 142:42	爆料模式	(第一,哈哈哈,模式)
 156:01 - 156:18	最爱的两个道具	(最爱,两个,道具)
 163:32 - 165:29	可怜之人必有可恨之处	(该,了,可怜)
 170:16 - 171:43	给你打雷了你又不高兴[看]	(！,好,LOSE)
 171:47 - 173:23	恶意组队 你就看主播第不第一吧	(一半,不,局)
 176:44 - 177:09	懂了，平地蘑菇不如金龟子	(了,好,怕怕)
 178:38 - 178:49	马萨卡	(？,马萨卡,好)
 178:58 - 179:02	这都行	(都行,这,？)
 179:30 - 181:43	该[看]	(蘑菇,该,没)
 183:42 - 184:11	任天刚倒闭了[看]	(倒闭,没掉,任天刚)




 184:24 - 186:43	本来维护好了，就你给sound又坏了	(维护,服务器,了)
 195:14 - 196:33	算你赢了	(了,看,大运)
 201:59 - 203:05	原来是一打四啊，我以为四保一呢	(委屈,车队,一打)
 208:26 - 209:19	看到这孙子被炸 比自己赢了还高兴	(大局观,一般,比)
