全场最高能：163:24	为啥叫走马灯呢

其他高能：
 5:33 - 6:23	你是怎麼2點下播，11點半起床又開播的	(是,兄弟,饼)
 6:29 - 9:50	主播是你喊起来的吗	(啊啊啊,],[)
 10:19 - 12:38	你们得卖电脑，有1/4096概率刷出闪光声带，主播就能说话了	(蒙,的,，)
 15:13 - 15:17	早	(早)
 24:31 - 26:01	主播大聪明今天生日[花]说想让你给他唱首歌[花]	(下,花,])
 26:36 - 26:39		()
 29:59 - 30:07		()
 34:31 - 35:56	主播不在，由世界第一的白胖代播	(任天堂,？,天眼)
 38:47 - 39:54	不应该这么早红温吧，是不是麦克风坏了	(，,应该,了)
 40:00 - 40:08	主播想念花呗和dr了	(想念,dr,呗)
 40:40 - 41:33	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(主播,hhh,誘導)
 41:50 - 41:54		()
 42:10 - 42:39	我是绿忠	(吃,，,绿忠)
 44:58 - 47:00	说他差点就过了 给我封了[看]	(了,主播,，)
 57:01 - 57:45	今天咋都不说话了，没开麦嘛[看]	(说话,过不去,不)
 58:18 - 59:05	三龟过了吗	(冷,等,过)
 63:01 - 63:43	至今不知道怎么过，只能不开麦在后台狠狠骂作者	(脖子,，,后台)
 63:44 - 63:58	主播有助农产品出售吗	(偷偷,气不重,下单)
 64:46 - 65:47	主播你能借我五千块钱买ns2加入i孙吗	(灯冷灯,冷,，)
 76:58 - 77:25	雅了	(么,晚能,本人)
 79:12 - 79:42	松饼几点放牛车录播	(主页,卡泽领,林)
 80:19 - 81:43	主播一直在苦练王八技术，其实是在修炼王八回头	(灯冷灯,冷,，)
 91:48 - 93:09	这关应该算是有难度的吧	(],[,难度)




 95:59 - 96:42	要不明儿看集锦	(爱心,],[)
 97:29 - 97:43	别这样，我怕	(。,我怕,别)
 103:59 - 104:05	@クリーム松饼 能不能进群不开会员	(不开,进群,ム)
 104:54 - 107:43	饼子，大家各退一步，你不拦我进群，我也不开会员，怎样[看]	(不,，,])
 109:04 - 109:11		()
 111:08 - 111:19	为什么不玩多人	(maimai,你,不玩多)
 111:25 - 111:28		(牌,手柄,松饼)
 115:11 - 115:35	闪了增火龙	(闪,土台,火龙)
 119:13 - 121:09	今晚就这图了[dog]	(],[,了)
 121:26 - 121:52	是录播吗	(精神状态,查询,开播)
 126:39 - 126:58	那胖哥不就是永远的神了[比心]	(满分,永远,以上)
 136:17 - 138:53	隔壁也过了这张图吗[花]	(，,],[)
 139:13 - 139:52	还完这关的花呗，就可以了	(这关,还,证过)
 140:09 - 140:45	这张图会发视频吗	(扔出来,图会发,这张)
 142:04 - 143:00	太可惜了	(可惜,！,了)
 144:40 - 144:45		()
 160:20 - 175:37	为啥叫走马灯呢	(走马灯,了,你)
 176:58 - 177:32	这是搞成共享了，所以是鳄鱼组队，包封的	(呢,了,会)
 180:13 - 180:24	天眼没了去玩多人吧	(。,非得,玩过)
 184:25 - 184:39	王八回头	(王八,回头,金河田)
 188:46 - 189:15	还死了	(？,死,被耀西)
 198:47 - 200:30	智者[大笑]	(大笑,哈哈哈,])
 204:13 - 204:31	耀西和pow纠缠的时候撞墙同时吐pow能不能炸两下	(同时,pow,不能)
 205:03 - 206:44	差点让你过了	(哈哈哈,过,蒙)




 210:12 - 211:45	这图做的很好，打击曹森人人有责	(？,哈哈哈哈,哈哈哈)
 214:58 - 215:37	胖哥1分钟就过了	(胖哥,很多,666)
 219:14 - 223:06	海南人寻你来了	(啊啊啊,，,你)
 226:14 - 226:43	软件是ipad的procreate	(冷静,了,预测)
 227:00 - 227:19	我如果想在pad上画画 在电脑上同步录屏 有办法吗 松饼	(画画,找,我)
 236:39 - 236:45	技术主播没有技术	(技术,技不如人,没有)
 238:43 - 238:52		(管,还要,生活)
 239:08 - 239:15	那咋了	(。,那,没仇)
 239:25 - 239:28	@奶油松饼bot 是的功率太小了，不然地球都炸没了[看]	(气重,地球,太小)
 240:24 - 240:27		(666)
 241:25 - 242:26	说什么呢，直播间不都是胖哥粉丝吗	(比赛,粉丝,胖哥)
 250:42 - 251:23	一个g的手机	(g,🤓,一个)
 251:29 - 251:38	我还以为你把我QQ删了，一看是你好久没发动态了	(删,都,了)
 252:43 - 252:48	不发 你玩吧  俺天天看直播好了	(玩吧,不发,俺)
 253:44 - 253:56	灯冷灯冷	(299,孙能,回档)
 254:17 - 254:21		()
 254:37 - 254:39	被拉黑发不了	(黑发,拉,不了)
 255:14 - 255:19	鲁鲁爱堵桥	(鲁鲁爱,堵桥)
 255:55 - 256:05	你认错粉丝了，粉丝天天熬夜看直播，还被认错，多伤心呐	(粉丝,认错,你)
 256:16 - 256:22	他叫王一号	(一号,王,叫)
 259:29 - 260:27	松饼把主播微信里的女性全部删了，只留下自己[哇]	(节奏,带,在)
 267:40 - 267:48	白胖也是女的吗	(叫暴,ID,叫小爱)




 267:57 - 269:38	主播天天吃女人亏，我都怀疑砍伐证也是女的	(³,⁷,²)
 271:31 - 272:04	3再出就改成赛季制的吧，也不用8k封顶了那样	(3,了,墙壁)
 284:23 - 284:33	胖哥给我们发工资[哇][哇][哇]	(哇,蜈蚣,])
 287:21 - 288:02	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(是,谁,代称)
 293:22 - 293:48	怪不得主播不让我们说金河田呢，都好到抱着桀哥过终点了	(好,抱,不让)
 294:48 - 294:53		()
 295:19 - 297:16	不开牛车	(哞,技不如人,了)
 297:52 - 298:02	主包最爱的车最后输给了兔头	(吊销,兔头,输给)
 307:58 - 309:30	氪金了吗这道具刷的	(！,666,的)
 311:54 - 312:43	美神也是按名次的	(一个点,人机,道具)
 317:30 - 319:32	是的，就直播间里的会打雷，别人不会打[dog][dog]	(你,],[)
 322:29 - 324:07	hp登顶了吗	(！,了,灯顶)
 334:02 - 334:22	技不如人[哇]	(技不如人,蘑菇,他)
 343:12 - 345:45	不走近路就开火箭了[看]	(盯,了,])
 347:59 - 348:52	还得是车车好看[大笑]	(],[,大笑)
 349:37 - 349:58	又在使坏[妙]	(使,坏,妙)
 350:07 - 350:40	那毒图过了吗	(有,那毒,预言家)
 353:53 - 354:48	赛前豪言壮语	(扬,牛爱白,苍雪牙哥)
 354:52 - 354:56		()
 361:39 - 362:02	千变万化也是爱物了  这局出了两个	(了,这局,千变万化)
 363:02 - 365:20	ztmex被偷第一了	(的,蒙,])
 368:32 - 369:16	我们是路边	(Gg,没输,币输)




 369:21 - 371:44	你是我见过第一个把自己玩下播的主播	(，,的,你)
 371:59 - 375:51	用了变色两倍[看]	(了,不要,])
 397:42 - 398:13	闪光藏好咯	(咯,藏,闪光)
 399:19 - 400:23	异次元也有胖哥吗	(异次元,猿,有)
 404:23 - 405:39	鲤鱼王	(鲤鱼,王,])
 408:49 - 408:58		()
 413:09 - 414:03	开始找理由了[看]	(理由,优化,叽里咕噜)
 414:17 - 414:29		()
 415:31 - 415:49		()
 415:55 - 416:56	最忌讳不放弃	(蒙,又,学会)
 419:27 - 423:14	好臭的密码	(密码,臭,了)
 423:21 - 424:12	笑死	(好评,美纳斯,])
 426:05 - 428:00	之前xy为刷第五个奖杯，一堆人买了双卡双机[捂脸][捂脸][捂脸]	(],[,捂脸)
 428:35 - 429:12	去世猴	(去世,猴哥,猴)
 429:48 - 431:23	甜味就是闪  头目  大大  小小4个把	(4,头目,个)
 432:36 - 432:53	卧槽  闪耀2+头目3	(头目,地面,+)
 433:06 - 433:09		()
 435:37 - 438:57	加1快5主播帮我出吗	(吗,我,树叶)
 440:06 - 441:53	那排队排到巴黎去了	(],[,排队)
 442:26 - 442:31		()
 468:32 - 469:06		()
 469:52 - 470:23		()
 471:38 - 472:19	训练厂有木桩	(木桩,厂有,训练)
 476:25 - 477:15	朱紫也这么打拳	(残暴,打拳,朱紫)
 478:19 - 482:05	我就记得通讯进化的我一个都升不了级[看]	(通讯,我,进化)
 483:28 - 483:39		()
 484:42 - 486:03	没那么贵	(130,块,一顿)




 486:29 - 492:52	@クリーム松饼 我们小学四年级就开始学习方程了[捂脸]	(捂脸,小学,])
 492:56 - 495:13	@クリーム松饼 当时有个女孩子是老师的孩子，我们经常在周六周日玩，当时私...	(，,了,的)
 496:06 - 496:15		(一粉,两黄)
 496:37 - 497:51	再见了亲爱的梦中女孩，我将要去远方寻找未来，假如我有一天荣归故里，再到你...	(有,...,小)
 498:02 - 498:03		()
 498:20 - 498:22		()
 505:10 - 505:16	灯冷冷	(冷冷,灯)
 507:15 - 508:17	已经闪了可能刷成头目吗	(头目,大,个体)
 508:52 - 509:44	Za这个游戏太烂了	(妙,看起来,太烂)
 518:14 - 518:48	没错还是我	(没错,漂亮,牛)
 520:03 - 523:51	主播5个闪神兽抓了吗	(抓,了,中)
 523:58 - 526:09	DLC出这个传送门该不会特意方便玩家刷闪而设计的吧	(药罐子,DLC,里)
 526:54 - 527:14		()
 527:57 - 528:01		()
 528:17 - 528:46	霉逼	(泄愤,不杀,霉)
 529:48 - 529:52		()
 529:58 - 532:18	说什么呢[看]	(沙奈朵,雷朵,艾路)
 534:17 - 537:03	主播看你直播，看的我刚才流鼻血了	(了,？,主播)
 539:12 - 539:44	不能说地图不一样，应该说初始点不一样	(地图,小,一样)
 541:52 - 543:56	如果我读档的时候都要传送一下，跟传送有没有关系	(传送,的,，)
 544:49 - 546:38	我开始是为了刷铁哑铃，后来sl了之后发现图标没铁哑铃了，但是进去还有	(品,不得不,哑铃)
 548:59 - 549:14	是不是走后边去了	(后边,走,是不是)
 549:38 - 549:50	是我卡么	(最新,ぞ,う)




 549:55 - 549:58		(随主播,机器人,气)
 550:57 - 553:41	有刷出头目闪的风险吗	(],[,的)
 573:11 - 576:36	有没有可能是每次任务做完了才出的闪比较多	(闪,头目,不会)
 577:08 - 577:20	吗	(吗)
 577:26 - 577:39		()
 588:31 - 589:22	那你把球打了	(球,打,把)
