全场最高能：135:50	主播能背一下去以六月息吗，我很喜欢这篇文章，写的很有文采

其他高能：
 4:08 - 4:34	晚上好[比心][比心][比心]	(比心,],[)
 5:28 - 5:52	小说里有爆料吗	(小说,少爷,点播)
 6:29 - 6:55	惠普怎么改名了	(比心,？,])
 10:20 - 12:53	白胖不是你的仇人吗	(第一,吗,是)
 13:50 - 15:53	主播请问有推荐的烟杆品牌吗	(主播,是,的)
 15:55 - 20:06	主播能推荐个可以借米的主播吗	(主播,推荐,吗)
 26:43 - 28:43	豆汁x8	(！,？,美食)
 29:17 - 30:15	主播自爆了	(！,？,盒)
 30:29 - 30:45	主播可以评价一下隔壁今天发生的事情吗	(真磊,月息,事情)
 31:01 - 31:13	你的小说哪能看	(小说,人造卫星,哪能)
 35:38 - 36:28	可以指试试那种挂颈音响	(的,电视,蒙)
 36:49 - 36:51	智能电视有电竞模式	(竞,有电,模式)
 38:17 - 38:26	国内只能有一个8000	(国内,只能,8000)
 38:34 - 38:40	记录被熊孩子删了怎么办	(记录,怎么办,删)
 53:00 - 53:10	为啥panga的手柄不会这样	(反正,手柄,害)
 59:51 - 60:33	主播za故意磨叽的，可以多玩几个月	(挡路,播卡,煮)
 61:03 - 63:48	又到了不耻上问时间，帮你发给胖哥了	(问,],[)
 75:25 - 75:41	飞图警告	(警告,别笑,飞图)
 81:48 - 82:14	就这	(硬,霍尔,一点)
 83:58 - 84:15	主播对十字键要求太高了，不能拿来当参考的	(了,，,pjbg)
 87:44 - 89:02	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(升级,666,了)
 89:05 - 89:26	孙子抢到升级，从不说金河田坏话，吃人嘴短	(雅阁,恍然,打奔)




 90:38 - 92:36	一到需要智商的图孙子就不行了[哇]	(了,不如,飞)
 95:36 - 95:41		()
 95:52 - 95:58	读图能力（	(打团,吃瓜,（)
 103:51 - 107:24	自从刷到走马灯就知道了	(走马灯,了,？)
 109:05 - 110:33	恶人先报警	(已,取餐,取证)
 111:15 - 113:45	我觉得是胖哥好心放了你一马	(胖哥,是,你)
 114:08 - 115:30	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(群,孙孙,黄胖)
 116:35 - 117:30	胖哥还要养老婆孩子 现在胖哥快黄了	(？,卧槽,胖哥)
 117:44 - 119:47	主播是恶霸吗，惹你怎么了[dog]	(惹,你,了)
 121:39 - 122:05	几年前看他玩商人传说还挺有意思的	(还,活着,蛐蛐)
 122:31 - 123:05	我还以为是主播在跳	(小人,个,在)
 123:43 - 124:11	梦醒和小桀是一个人吗	(梦醒,已梦碎,琊)
 125:25 - 125:32		(那边,引流,强)
 125:42 - 127:05	紫蝴蝶什么意思	(紫蝴蝶,白胖,高)
 130:52 - 133:03	送火箭你还能提现吗	(🚀,？,火箭)
 133:09 - 134:02	怎么知道的，主播吃了没效果吗[dog]	(🚀,？,快)
 134:25 - 141:36	主播能背一下去以六月息吗，我很喜欢这篇文章，写的很有文采	(背,，,？)
 143:28 - 144:26	是的	(的,百度,长沙)
 152:01 - 152:07	在说啥	(啥,说,在)
 152:15 - 153:26	少了，有一段每览昔人兴感之由	(买尬,噢,，)
 160:28 - 161:22	主播少了一句夜深忽梦少年事梦啼妆泪红栏阑干	(忽梦,夜深,少年)
 165:40 - 166:12	作为up主，做好自己，分享乐趣和热爱给需要的人就好了	(细品,你,人)




 180:07 - 180:40	鬆餅，你是用多少錢的電腦開的bot	(bot,心态,的)
 184:51 - 184:56	[看]我爆品团都吃两份了 这图还没过呢	(两份,团,爆品)
 188:44 - 188:55	主播为啥不谢我的火箭	(放手,🚗,不谢)
 194:00 - 194:04		(陈先生,店,吗)
 194:37 - 194:48	說的什麼東西2，有誰能解釋一下	(你,，,店门)
 195:20 - 196:45	这跟你什么关系	(校园,你,诚哥)
 197:22 - 197:45	主播对家乡文化研究很深啊	(！,饼,结局)
 200:49 - 200:57	科研奇迹	(奇迹,科研)
 201:02 - 201:23	这集我看过，后面两小时全是这个	(两,这集,误区)
 204:09 - 204:37	主播明示圣诞节复活的是王八	(嗯,饼,的)
 204:59 - 206:07	主播跟松饼表白了吗[哇]	(],[,跟)
 206:13 - 207:32	这么ex怎么不飞了要胖哥教你怎么飞图吗	(了,，,饼)
 208:30 - 209:04	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(不烦,奶奶,喝)
 211:56 - 212:24	蒙的	(蒙,的,牛车)
 213:35 - 217:12	孙你的小说怎么样了	(了,快进,最后)
 217:50 - 218:10	等下就被金河田炸了	(金河田,嘻,听到)
 221:17 - 222:40	先爽一把，爽了吗	(爽,一把,isun)
 228:10 - 228:25	主播什么是金河田啊	(金河田,什么,骂骂咧咧)
 229:25 - 230:00	本游戏不是为了让你秀技上分的上分请组队上分请爱牛	(哈哈哈,上,仇)
 232:45 - 232:52	来点小连招	(来点,小连招,乐)
 238:31 - 239:07	三体蘑菇呢	(蒙,马萨卡,难道说)
 251:54 - 252:51	好，可以打了	(哈哈哈,哈哈,雷)




 261:03 - 262:21	这些人都是胖哥的牛	(胖哥,牛,了)
 264:56 - 266:53	真开心呀[哇]	(。,],[)
 267:09 - 267:53	不是这轮淘汰就是下轮淘汰短痛	(淘汰,饼,哇)
 284:25 - 284:44	打压水友未遂	(未遂,水友,打压)
 284:50 - 284:53		(看,],[)
 285:48 - 287:04	金龟子好	(金龟子,],[)
 289:55 - 290:51	你加纳了，我们吃什么	(我们,？,吃)
 291:21 - 292:44	跑的了孙跑不了灯	(跑,跑不了,最大化)
 295:52 - 296:12	还能领先	(马萨卡,超,三)
 297:27 - 298:01	海南人刚刚帮你打第二	(海南,心机,对付)
 301:39 - 302:30	马上该我们哼歌了	(该,祭,感谢)
 302:39 - 303:01	@左右🐳 乐[看]	(乐,吃饭,🐳)
 307:03 - 309:18	第一: 我不知道近路又咋了~~~	(蓝龟,~,近路)
 318:58 - 320:36	可以下播了[看]	(！,666,居然)
 321:21 - 323:00	马造8000吧，毕竟马造几年才出来的8000，马车这才半年[dog]	(两拳,马造,])
 329:50 - 332:27	好日墙	(日墙,你,了)
 339:16 - 340:44	不能红龟壳劈完了留地上，金龟子也得留地上让人撞	(地上,金龟子,让)
 345:24 - 346:10	那咋了	(咋,那,了)
 352:22 - 352:55	555也不是倒第一	(倒,第一,555)
 355:13 - 357:58	好好好	(好,了,双)
 360:42 - 361:57	该[看]	(你,该,不行)
 362:18 - 362:34	望洋兴555	(兴,望洋,好久没)
 362:54 - 364:14	叽里咕噜说什么呢[看]	(！,该,呢)
 371:20 - 375:18	还有三体[哇]	(或,了,！)




 375:24 - 376:28	因为任天堂写了锁定你账号的代码	(你,，,因为)
 377:54 - 378:05		()
 379:06 - 379:56	乐[看]	(该,95,乐)
 380:37 - 380:41		()
 380:55 - 381:36	至少拿了3次炮弹，都没用 就被电	(强图,进不了,炮弹)
 383:23 - 383:54	一颜为腚	(士,大戾,下载)
 389:50 - 391:10	好第四了	(第四,好,让)
 398:45 - 401:17	你喊的 现在可以电	(电,哭,你)
 401:49 - 402:25	主播不是直接淘汰	(能不进,遥遥领先,？)
 408:28 - 411:23	行了还有牛车看，我好开心，谢谢主播，祝你鸡蛋灌饼里面双黄蛋	(竹内,条条,，)
 420:07 - 421:50	我最爱的牛车环节[dog]	(],[,捂脸)
 421:58 - 422:03		()
 422:29 - 422:44	5555’	(’,5555,海南)
 425:57 - 426:12		(石灰,真正,3)
 426:30 - 427:05	怎么感觉一开始领先吃亏 没防御还容易吃组合技	(草地,防御,吃亏)
