全场最高能：264:40	你看见他喷金蘑菇的时候就该用大蘑菇就过了[花]

其他高能：
 3:00 - 3:19	孙怎晚	(明白,78,开局)
 6:21 - 7:28	现在才知道PJB主播当年的雄姿英发 这游戏真不是给人玩的	(怎晚,孙,孙怎晚)
 7:49 - 7:54		()
 8:04 - 9:23	孙孙这么晚被胖哥邀请了吗	(了,比心,感冒)
 10:03 - 11:24	不喜欢主播怎么办	(过,不,主播)
 13:58 - 15:02	过了送金河田	(过,。,百遍)
 16:27 - 18:43	胖早过[傲娇]	(比心,],[)
 20:03 - 21:22	怎么不开车了[花]	(蒙,的,技不如人)
 22:37 - 23:05	蒙的	(紫蝴蝶,蒙,9Z)
 24:05 - 28:25	有没有懂的说一下，这主播为什么不打多人了	(，,？,有没有)
 31:42 - 32:29	我是新来的 你好 请问主播在玩什么游戏 听说叫抗日奇侠历险记	(左右,谁,？)
 36:02 - 36:43	太过了	(蒙,的,便)
 42:19 - 42:27	@看图说话 认错人了，	(认错,说话,图)
 43:42 - 45:23	飞的好	(海南,人,7)
 48:36 - 49:38	这图也是给人玩儿的吗	(？,藏,B)
 49:45 - 49:51		(纯,这图,自己)
 50:21 - 51:02	我也想入侵你的服务器	(天眼,哪里找,必杀技)
 53:21 - 54:29	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(任天堂,买,一个)
 57:16 - 57:38	对不准了	(机和,右上角,不准)
 57:45 - 57:56		(粘上,分不开,序列号)
 58:46 - 59:53	是不是踩王八	(的,踩,我)
 63:19 - 64:13	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(蒙,的,主播)
 64:53 - 64:55		()




 65:01 - 66:59	而且现在也没多的电脑来一直跑程序了，昊哥电脑带bubu和菌菌就挺吃力的	(],[,电脑)
 67:03 - 67:13	王八回头	(回头,王八,花)
 70:14 - 70:23	弹幕转发程序是什么	(转发,程序,弹幕)
 75:15 - 75:35	极限图	(ス,コ,た)
 75:59 - 77:02	这就是不好的地方了 没有异国爱情故事	(不好,哈哈哈,选)
 81:25 - 81:31	疯狂孬	(飞克上,今夜,疯狂)
 82:03 - 82:46	只要是老观众 谁没吃过360套餐啊	(是,忠哥,套餐)
 84:17 - 87:25	现在林克脾气比以前好多了，以前都是逮着弹幕骂娘，现在就是憋心里了	(，,了,骂)
 87:36 - 88:48	不说话也是高手，只不过不如马灯，胖早过	(说话,不,高手)
 94:58 - 95:41	胖哥是抗日英雄，我不准你们侮辱他	(蒙,666,的)
 97:14 - 97:20	主播嘴被牛堵住了吗，怎么不说话	(堵住,嘴,说话)
 97:36 - 97:46	完了，真是胖哥代打	(似曾相识,胖哥代,每个)
 100:10 - 101:56	主播的麦克风被雅阁了	(么,主播,老板)
 102:11 - 102:24	终于开腔了	(开腔,终于,了)
 104:48 - 107:05	松饼都几十岁的人了还在未成年退款	(？,的,松饼)
 107:24 - 107:27		(好图)
 108:04 - 109:09	不年轻了	(年轻,哈哈哈,姚明)
 109:22 - 109:28	这就是年轻的主播，他不知道转过去也没用	(年轻,就是,这)
 109:48 - 110:00	主播瞬间变年轻了	(瞬间,滑稽,变)
 118:24 - 118:35	等蘑菇死了以后，刷新了再去爬藤勾引啊	(藤,爬,以后)
 122:52 - 124:20	我记得当年有大哥开一皇帝，主播又是大嘴巴又是成语接龙的	(皇帝,胖哥,主播)
 124:47 - 125:00	九折	(九折)




 130:07 - 131:56	[看]硬要表演一命过 这下我的拼好饭能吃上了	(看,了,柳州)
 131:59 - 132:11	1.02命	(一命,九折,1.02)
 134:06 - 136:10	快5秒 哪里偷了吗	(666,了,哟)
 137:34 - 138:27	老板糊涂	(],[,爱心)
 139:19 - 139:33		()
 139:43 - 141:03	然后抽时间去顺德吃个鱼生，你会感谢我的	(比心,],[)
 141:47 - 143:25	罪过就别吃啊，赶紧扔了	(吃,，,看)
 144:05 - 144:13	多和白胖学学	(学学,白胖,多)
 144:24 - 144:54	现在玩这个游戏不是得灯哥授权，允许了才能玩吗	(粤菜,了,，)
 145:05 - 145:27	这不是美食吗	(哈哈哈,美食,盲僧)
 145:39 - 146:46	哦不对，第一顿是烧烤[看]然后妹妹自己去吃的粤菜	(的,是,，)
 147:26 - 148:00	@染铸魂 你说的是饭店还是美食广场	(是,我,咸鸡)
 148:14 - 148:16	这里有个技巧，你不会，胖哥会	(，,胖哥会,技巧)
 148:39 - 149:44	白胖来早过了	(了,过,一次)
 150:55 - 153:12	信我的，去利苑吃点炒菜就行，不算贵，能吃饱	(，,吃,的)
 159:33 - 160:00	吃顿烧鹅，吃顿海鲜，吃个早茶怎么样，算体验完整不	(吃顿,，,限时)
 161:49 - 162:09	还有人负责发送	(负责,还有,一句)
 162:56 - 162:58		()
 163:10 - 163:26	主播负责创作npc剧情	(剧情,npc,栏目)
 168:40 - 170:49	我可会掌控苕皮的熟度了[看]下次你来我给你烤	(皮,苕,烤)
 174:21 - 174:47	苕皮有没有别的称呼，怎么没听过	(没,打多人,没眼)
 174:51 - 175:01	之前没声音啊	(声音,哔哩,反正)




 176:16 - 177:22	道歉x7	(毫秒,道歉,相当于)
 177:27 - 177:30		()
 181:10 - 181:14	cream松果[看]	(cream,松果,看)
 181:26 - 181:50	今晚有牛车吗	(奶油,么,私密)
 182:02 - 182:50	你这是路径依赖症啊	(牛牛,号,上)
 184:16 - 184:19	@クリーム松饼 你用金河田给他炸醒	(炸醒,ム,リ)
 184:54 - 185:03	555来咯	(话,第一,555)
 192:48 - 195:10	好菜，我要去看蓝胖了	(哈哈哈,蘑菇,不如)
 204:01 - 206:35	好壳[哇]	(！,蓝龟,好)
 207:32 - 208:23	你是一啊    541510 忘记了	(你,了,白胖)
 209:06 - 210:30	好多年前看你，还在b站找切片，原来你来这儿了	(],[,了)
 214:45 - 215:22	不开	(！,菜,哈哈哈)
 215:50 - 217:59	可惜了	(蒙,的,了)
 227:25 - 228:52	见过第一名吃蓝龟的	(喇叭,呢,蓝龟)
 231:11 - 232:02	蒙的	(的,蒙,流鼻涕)
 237:24 - 239:11	火箭就是按照陆地的路走	(火箭,就是,路)
 242:22 - 242:49	刚出那会就是这几套图吗	(几套,那会,下一代)
 245:40 - 247:46	该[dog]	(落后,，,火箭)
 260:00 - 260:21	@千里止歌 太惨了[看]	(看,太惨,止歌)
 261:46 - 261:52	Zoe Marden	(Marden,Zoe,马上)
 263:41 - 266:41	你看见他喷金蘑菇的时候就该用大蘑菇就过了[花]	(蘑菇,了,他)
 266:45 - 267:52	对，但凡是多人的你都玩不了[看]	(的,生气,单机)
 269:37 - 269:54	大戾士	(好,可惜,该)
 270:20 - 270:39	懂了	(孕芽,6300,攒够)




 270:56 - 271:02		(打压,粉丝,？)
 271:14 - 271:53	又垫底卡道具,别到时候又没雷了	(金币,又,了)
 273:25 - 275:20	这游戏是让观众看你被雷劈得爽的	(车队,哈哈哈,爱不释手)
 282:16 - 282:28	好	(好)
 282:45 - 284:31	该za了	(za,],[)
 287:49 - 289:11	我送了你吐彩虹[看]	(了,送,])
 297:47 - 299:05	闲鱼有闪光裂空座吗	(闪光,刷,有)
 303:29 - 303:50	好东西	(HOW,互粉,开团)
 305:35 - 305:48		()
 305:59 - 306:47	洞的星等越低會不會越好啊 低星也有大規模好像	(越,红色,不低)
