全场最高能：224:22	那你播什么，两个小人对打吗

其他高能：
 0:44 - 1:13	走马灯	(走马灯,早)
 2:10 - 2:41	测试	(测试)
 6:04 - 8:10	终于等到打块了 主播能只用tspin赢一把普通吗 赢了上舰	(赢,@,了)
 9:47 - 11:37	终于等到打块了 主播能只用tspin赢一把普通吗 赢了上舰	(赢,普通,了)
 13:31 - 13:39		()
 14:34 - 14:43		()
 18:24 - 19:33	主播能只用tspin和长条赢一把普通吗 赢了上舰	(蜂窝煤,了,赢)
 24:30 - 24:35		()
 27:07 - 30:16	算了主播打个普通都快拼尽全力了	(],[,技不如人)
 31:17 - 32:34	乐[看]	(乐,技不如人,哈哈哈哈)
 40:23 - 46:30	登顶了	(！,了,])
 48:01 - 48:35	变相钻洞[花]	(雅阁,咋样,变相)
 48:40 - 49:18	雅阁了	(雅阁,阁,麦早)
 50:50 - 50:56	啥时候za	(light,look,dont)
 52:53 - 55:41	为什么胖哥就能穿墙你不能，你要反思自己	(你,了,左边)
 57:52 - 59:21	panga吃晃	(哈哈哈,反应,你)
 64:41 - 65:06	觉得矮你不会找卖电脑的给你垫一下吗	(矮,的,你)
 66:05 - 66:08		()
 69:36 - 69:55	那咋了	(咋,那,了)
 74:56 - 74:59		()
 77:06 - 82:49	这不就偷了吗，刚刚别被石头砸的话	(的,了,偷)
 85:24 - 85:30		()
 85:56 - 87:39	pjbsb ×10	(pjbsb,你,捂脸)
 89:27 - 89:38		(？)
 89:45 - 93:31	主播不播了，看白胖去吧大家	(，,厕所,了)
 96:43 - 96:50	主播还是老了，连十几个小时的尿都憋不住[dog]	(连,憋不住,尿)




 97:30 - 97:42	真好，又水了十分钟	(！,哈斯,好吃)
 97:53 - 97:56		(吃饱,啦)
 106:40 - 107:11	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(蒙,块砖,就是指)
 124:53 - 125:48	胖哥早过了	(冷,了,楞)
 127:32 - 128:41	算你过了	(哈哈哈,了,算)
 130:50 - 131:40	蒙的	(666,蒙,的)
 133:15 - 135:14	@クリーム松饼 我来晚了，亲我一口	(了,我,，)
 135:32 - 136:12	世界第一出场费才100	(杀,出场费,nc)
 136:26 - 137:15	打多人吧	(胖哥,临门一脚,读出来)
 137:32 - 137:44	还没胖哥录播有意思	(胖哥,有意思,无处不在)
 137:52 - 139:36	刚看视频，不提我都忘了梦醒这个人了	(蒙,了,的)
 140:47 - 140:58	谢谢关注[爱心]	(道歉,关注,谢谢)
 141:55 - 142:47	最后发现藏了一个就好玩了	(藏,哈哈哈,饼)
 144:55 - 145:04	这边能飞过来不	(飞过来,这边,穿墙)
 147:23 - 148:37	要是旗杆旁边给两个50的币 就好玩了	(哈哈哈,扔,金河田)
 149:34 - 149:35		()
 150:01 - 151:28	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(海南,？,人)
 155:51 - 156:26	甚至100	(？,想念,嗯)
 156:48 - 157:16	mid air是panga	(mid,么,！)
 160:07 - 162:19	那是手柄来帮你双人互动了	(手柄,],[)
 165:14 - 165:25	算你过了	(算,过,你)
 166:46 - 166:59	要不试试到中间了再扔	(中间,试试,扔)
 167:29 - 167:51	2016年的时候还在孙子的直播间当计数君	(年,孙子,了)




 168:29 - 168:41	那你炸两朵去吧[看][看]	(两朵,看,能炸)
 169:24 - 169:27		()
 173:39 - 175:14	主播大戾士	(比心,],[)
 175:22 - 175:58	怒气值98	(喝彩,],[)
 176:17 - 176:23	把作者枪毙，要不把任天堂枪毙[看]	(枪毙,把,......)
 176:33 - 177:29	这图融合了探路，假道具，出门杀，猜落点[捂脸]	(，,有,出门)
 177:42 - 178:12	有谁跟我一样一直以为孙孙和胖哥有矛盾，原来真有😄	(有,和,不发)
 178:50 - 179:27	练习门后面的都忘光了	(了,忘光,没错)
 180:13 - 181:30	练习门的内容都快忘了[捂脸]	(的,练习,门)
 184:20 - 185:32	你还能管的了作者的作图吗	(了,，,破)
 187:40 - 187:57	最有天赋的是美什吧，常年说自己世界第一	(是,常年,美什吧)
 190:26 - 190:33	熟练的让人心疼	(心疼,熟练,让)
 190:43 - 192:15	ns对普通玩家来说就合成大西瓜还行	(大笑,],[)
 196:40 - 196:58	[捂脸]	(我,发工资,词神)
 199:57 - 201:23	蒙的	(的,666,蒙)
 214:27 - 215:18	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(嫉妒,我,胖哥)
 222:34 - 226:28	那你播什么，两个小人对打吗	(你,了,每天)
 226:35 - 226:42	...赌过关[看]	(去,你,美术学院)
 227:10 - 227:25	来了	(灭,该团,高效)
 228:08 - 228:15	这图有格调	(格调,这图,有)
 228:21 - 228:28		(雅苑,秦腔,粉来)
 234:15 - 235:03	@クリーム松饼 看看藏没藏[看]	(],[,咋)
 236:41 - 237:44	日本人英语不好	(蒙,的,了)




 238:02 - 238:14	宝宝隔壁漏礼物了[看]	(看,孙孙会,2333333)
 239:29 - 240:54	人家问下panga是什么在这这么认真讲解，我问一下3.5就不舍得讲解	(跳,胖哥,吗)
 242:10 - 242:31	蒙的	(的,高手,666)
 243:18 - 245:18	客服走马灯了	(的,],[)
 252:01 - 252:14	白话文说是	(白话文,说,是)
 258:04 - 258:19	这句话你说多少遍了[大笑]，明明就是想玩	(遍,这句,biu)
 259:01 - 259:39	过去大吃特吃	(走马灯,小米,大吃特)

