全场最高能：316:33	5一儿是这样的，555在后面给的压力太大了

其他高能：
 5:27 - 7:30	请自重	(？,?,了)
 8:56 - 11:39	看得见终点的雅阁	(对,状态,的)
 13:09 - 15:10	@クリーム松饼 话说这个点了，这不点外卖嘛，饼宝[看]	(],[,丢)
 15:28 - 15:30		()
 16:47 - 17:13	飞吧你不是他们的对手	(…,吧,垫)
 17:19 - 17:53	主播有没有24人顶金币箱扔金龟子的赛车游戏	(主播,去,的)
 18:03 - 18:16	主播好菜	(pvp,单机,玩玩)
 21:53 - 25:03	嘲讽什么的技不如人，我就不嘲讽孙是操作变形	(冷,灯冷灯,，)
 25:37 - 26:01	这游戏椅子能坐吗	(豁,吗,坐)
 26:04 - 26:11		(za,爆料,火箭)
 26:28 - 27:20	来了	(灯冷灯,冷,，)
 32:21 - 33:48	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(年,在,格)
 33:59 - 34:22	对啊先用无敌走下看看	(无敌,对,7.4751)
 35:20 - 35:38	妹妹能卡住	(妹妹,卡住,时间)
 39:22 - 39:54	怎么做到走那么远还能控制这么准的	(的,蒙,身体)
 43:00 - 43:03	胖早过	(胖早,过)
 50:54 - 52:03	怎么一样 你起跳点都不一样 那个图中间空一大片	(都,你,不)
 52:07 - 55:59	认错主播了，这里是胖哥直播间，不卖电脑只卖马灯[dog]	(蒙,的,了)
 62:18 - 62:38	oh yeah	(冠军,yeah,oh)
 68:44 - 68:57	不说话装高手	(肉,有用,装)
 71:52 - 73:37	第一次见主播点赞	(的,蒙,了)
 73:44 - 74:52	团灭了	(了,的,团灭)
 75:25 - 78:48	卖电脑的怎么你了，这么阴阳他	(了,咋,的)




 79:48 - 80:10	松饼晚上坏[比心]	(能力,晚上,坏)
 80:14 - 80:21		(吓跑,水温,太高)
 85:11 - 85:21		()
 85:43 - 87:54	小粉不会卡住小蓝让我胖哥先过吗	(手柄,了,小粉)
 90:08 - 91:12	@璇玑 说什么呢[看]	(了,胖哥,哈哈哈)
 91:45 - 93:58	原来爱牛就够了，今天就非得亲自堵你[看]	(，,钻洞,胖哥)
 95:07 - 96:28	飞了吧	(],[,了)
 101:54 - 102:37	请问这个赞是你点的吗	(咋,九折,你)
 104:18 - 104:20		()
 108:00 - 111:56	主播，我是新粉，第一次关注，什么是走马灯，对角线，热熔胶，还花呗，砍伐证...	(，,窜,了)
 118:45 - 121:57	破案了 主播是白胖	(哈哈哈,？,了)
 123:13 - 124:43	因为主播读图能力不如胖哥	(胖哥,哈哈,主播)
 132:02 - 132:18	主播你直播的这十年换过标题吗	(你,那,反思)
 132:34 - 132:35		()
 132:46 - 132:48	那你为什么不堵洋次郎	(那,不,投掷)
 138:03 - 138:18	小孙啊 能放过我胖哥吗	(？,胖哥,我)
