全场最高能：27:42	我最喜欢充满了戾气的直播间  互相是仇人  能走马灯的

其他高能：
 7:14 - 9:11	好图	(啊啊啊,齁,❤)
 10:12 - 10:40	时间这么多你急啥，白胖一命过	(比心,],[)
 11:04 - 11:59	胖哥海南人对角线bot梦醒美神CRT杨先生低通过滤器BO叔来了全都早过了	(了,比心,梦醒)
 13:52 - 14:50	昨晚熬不住睡了，谁告诉我主播牛车有登吗	(准,安慰,礼拜)
 14:56 - 15:02		(准)
 15:20 - 15:25		()
 15:54 - 17:21	这就是你和胖哥的差距	(问问,钻,了)
 17:48 - 20:18	@クリーム松饼 赶紧去医院吧，虽然你是我情敌	(？,吧,过)
 20:45 - 20:54	运气好就钻过去了	(钻过去,运气,好)
 20:55 - 22:40	这张图只能有3.5毫米的误差	(！,手机,3.5)
 23:22 - 31:30	我最喜欢充满了戾气的直播间  互相是仇人  能走马灯的	(士,大戾,的)
 31:59 - 35:19	主播我给你开皇帝可以飞了吗	(了,，,的)
 35:35 - 35:41	季小麦进直播间都得溅一身血	(一身,溅,血)
 35:59 - 36:07	應該是大姨夫來了	(吓坏,次郎,洋)
 40:09 - 41:27	既然都锁图了得听雅阁的专属音乐	(灯灯,，,在)
 46:55 - 48:35	刚刚闭眼休息了会过的操作如梦	(的,？,蒙)
 72:20 - 73:01	胖哥一遍过不像你在这哔哔赖赖还过不了	(么,比心,过)
 86:02 - 88:21	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(666,],[)
 90:09 - 91:08	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(偏,是,主播)
 95:26 - 95:55	胖师傅是谁啊，比主播还厉害吗	(吗,比主播,行不行)
 104:39 - 109:46	卡了	(了,卡,])




 112:37 - 115:10	对不起主播，刚才我并不是喷你的意思，我从上大学就开始看你了[捂脸]您别生气	(你,],[)
 115:18 - 115:40	别生是吧	(，,喷,你)
 116:18 - 117:13	主播要是这么喷黄忠的话，黄忠就开骂主播了，然后还会送礼物并且被小bu封一天[看]	(损失,黄忠,减速)
 117:34 - 118:04	我听到坐莲比落体慢	(落体,摇,fue)
 127:30 - 130:53	hjbsb点赞了	(了,急,是)
 130:59 - 131:09	这个暂停是啥道理，不暂停不行吗	(暂停,🚗,🐮)
 132:10 - 133:50	我觉得主播应该多学学胖哥，想一想，如果是胖哥来打这关他会怎么做，他会怎么想[傲娇]	(怎么,了,，)
 134:50 - 137:09	主播麦坏了吗，找卖电脑买个新的	(了,的,电脑)
 137:59 - 139:18	换个好jbsb玩吧	(了,过,你)
 139:30 - 140:43	我当时还查过很多办法，但是还是塞纸巾最快，但是如果塞纸巾还止不住血的话问题就大了	(了,ム,ー)
 153:58 - 156:53	37.6度是不是已经是正常人体温了[看]	(666,],[)
 157:37 - 158:30	蒙的	(的,手柄,哈哈哈)
 159:37 - 159:59	飞了	(👁,⃢,飞)
 162:51 - 163:07	谁说的叉出去	(谁,流汗,尴尬)
 169:25 - 170:33	@クリーム松饼 炮弹头那个图事件后来咋样了，我受不了折磨跑了	(士,大戾,@)
 173:36 - 175:07	早跑了	(跑,了,早)
 175:28 - 175:37	这状态放的和中间漆一点关系都没有这是为作者自己放的	(放,的,这)
 176:09 - 176:36	旗子离得太远了，狗哥攻击速度还慢，折磨	(一个,还,在)
 177:10 - 177:25	@乌米乄 这孙子发的 必须冲丫的	(这,冲丫,乄)
 177:32 - 179:56	马车都不玩 太没有耐心了	(委屈,],[)




 180:20 - 180:40	有这种我已经直接拉黑了	(极限,大姨妈,重)
 181:22 - 181:35	我勒个连坐	(茬,善,连坐)
 182:16 - 182:34	@有故事的鑫哥 流完鼻血37.6了	(流完,37.6,鼻血)
 184:06 - 185:17	红了	(委屈,],[)

