全场最高能：60:43	我高中自己攒钱买的ns课间玩被没收了[看]

其他高能：
 7:38 - 9:28	主播就像生气后的小女友，嘴上说的不要，其实心里惦记着[大哭][大哭][大哭]	(大哭,说,女友)
 9:56 - 11:45	主播嘴上骂，心里其实爱着bili的	(比心,],[)
 12:04 - 12:24		()
 12:31 - 12:38		()
 12:50 - 13:00		(多边,帮忙,兽)
 14:09 - 15:39	都是串着玩的，谁没个是非观	(着,确实,哈哈哈)
 15:48 - 18:34	所以人家白胖8000了  主播啥时候也能登起来	(白胖,了,技术)
 19:31 - 23:55	白胖还在找恩人小杰指导调设备呢我就刷到了[dog]	(了,不是,我)
 24:57 - 25:24		()
 31:43 - 32:01	火箭队	(火箭队)
 32:08 - 35:15	不准污蔑藤藤蛇[大哭]	(我,不,的)
 35:29 - 37:52	还不是，他倒没起名，就是自认为自己修改的会帮助萌新	(大哭,螣,的)
 41:18 - 41:28		()
 41:34 - 41:50		(毁,人生,bubu)
 44:48 - 46:22	测试失败[委屈]	(测试,],[)
 46:49 - 48:19	关键玩家也不抵制  本来抵制了他们才会害怕  问题是这样干玩家也乐意买	(玩家,抵制,也)
 49:03 - 53:33	你这话说得就跟羊了个羊很配他赚的钱一样[看]	(的,],[)
 56:06 - 57:34	这ZA宝可梦还不如盗版宝可梦来的有意思说实话	(羊,家长,ZA)
 57:48 - 58:10	@momo 只要他bgm还是普通disco那他就德不配位	(他,配位,德)
 58:16 - 59:53	家长很多时候就只知道是游戏  但是为什么要在游戏里花钱  额外买个游戏机	(委屈,],[)
 59:59 - 61:41	我高中自己攒钱买的ns课间玩被没收了[看]	(],[,我)




 66:06 - 67:00	话说松饼给你群了吗	(],[,联机)
 71:09 - 71:21		()
 72:56 - 73:32	不然能叫懒懒的白胖么	(黑,，,一个愿挨)
 76:05 - 77:47	人家提了你之后直播间就没了，马造圈恶霸是谁不言而喻	(是,没,谁)
 82:23 - 83:14	不明白	(！,明白,哈哈哈)
 83:22 - 86:28	有没有白胖来的直播录像 我是真想看节目了	(了,主播,])
 87:29 - 87:31	但主播的年度i物还得是金河田	(物,年度,但主播)
 89:17 - 89:28	打造属于自己的信息茧房	(不染,牛而,茧房)
 90:15 - 91:25	要是小桀没卖电脑，圈子就会大，胖哥就臭了	(图,了,就)
 93:59 - 94:36	现在可以50包邮吗[哇]	(可以,现在,吗)
 95:31 - 95:56	wiiu有啥护航	(知道,睚眦必报,护航)
 100:47 - 102:27	ns2pro手柄真玩不下去 最后用的墨将[捂脸]	(的,，,？)
 102:47 - 103:47	好一点 但是不多 我的评价是不如墨将和飞智	(是,dog,不)
 103:59 - 104:07	ns2 pro全是胶不好拆	(胶,全是,拆)
 119:45 - 120:16	先机球是没被发现的时候加概率，只有这一个加成好像	(加成,球是,加)
