全场最高能：132:15	我这边有个营业执照就行，专线不是大带宽也不贵，最便宜的一个月 100 多的样子

其他高能：
 2:00 - 2:09	虾片好吃	(虾片,好吃,晚上)
 2:32 - 2:41	饼饼，晚上好[互粉]	(饼,互粉,老鼠)
 6:37 - 7:13	主包就喜欢ex的感觉，所以上来就马造准备ztmex	(上来,蓟县,就)
 7:15 - 7:21	孙慢	(孙慢,管子,藏)
 8:11 - 11:17	那是什么口味的虾条	(味,的,吃)
 13:04 - 14:23	放个隐藏又该ztmex了	(了,隐藏,海南)
 25:14 - 28:18	是你胖哥的水平	(色,水平,九折)
 29:20 - 29:40	不用跳，拿胖哥视频去下水印就过了	(踩,就,之仇)
 29:59 - 30:25	今晚都不一定有车[花]	(蒙,牛,[)
 33:02 - 33:32	耐心不如胖哥	(哈哈哈,哈哈哈哈,不如)
 34:07 - 37:17	刚来就大戾士	(士,大戾,了)
 41:50 - 42:02	出声[大哭]	(分离,声,雅閣)
 42:11 - 42:33	这吆西不会害了你吧	(行动,分头,变红)
 45:32 - 47:10	细节决定成败  马虎必进雅阁	(雅阁,哈哈哈,[)
 47:22 - 47:27		(作者,那个,技术)
 47:32 - 47:41	强迫症	(强迫症,=,0)
 49:58 - 50:50	飞吧	(不难,好玩,这图)
 54:22 - 54:37	要不就看一下	(？,要,一下)
 54:39 - 54:49	蒙的	(出不来,禁,白发)
 55:11 - 55:24	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(舰长,提督,30)
 55:36 - 55:41		()
 56:05 - 56:09		()
 64:20 - 65:21	前面玩过一代的拖拉机	(接触,车,拖拉机)
 67:25 - 68:16	真的很垃圾啊 这个作者	(哈哈哈,？,HOW)




 69:05 - 71:15	我当时就是为了这个游戏买的机器 然后发现自己手残 放了三年 游戏机卖了	(买,了,卖)
 71:46 - 74:38	有99新的女大自用的吗 我买一个 再把我的放转转上	(你,吗,大学生)
 75:10 - 75:51	主播是胖宝宝好可爱[亲亲]	(宝宝,是,也)
 79:03 - 81:13	不是我看了半年，主播不是你们说的胖哥啊	(胖哥,灯灯,咋)
 81:22 - 81:32	看见了	(了,手捧雷,祸及)
 81:37 - 81:45	胖来早透了	(胖来,早透,封)
 81:53 - 83:13	不懂就问，这个直播间是金河田旗舰店吗	(金河田,封,了)
 84:05 - 84:59	那岂不是狗熊废了	(狗熊,了,么)
 88:43 - 89:44	bot是爱牛，爱牛就是给白白胖胖的林克打工的	(bot,，,打工)
 97:47 - 98:03	煮播遥遥领先	(在,怀,1233)
 105:57 - 105:59	这得有人脉才能过	(这得,脉,有人)
 109:38 - 109:47	开牛车吧	(飞,赔偿,专靠)
 109:54 - 111:52	主播在等Japan小学生放假而已[dog]你就看他过年玩不玩多人吧	(根,，,那)
 112:04 - 112:24	我打算换内存了，我总感觉现在不够用	(我,内存,打算)
 112:26 - 112:54	溢价严重	(人人,挑战赛,鼓)
 114:34 - 115:47	价值10万块的蛋糕有人吃么[看]，主播你吃不吃	([,],天眼)
 116:01 - 116:16	下班不是打怪前都会放隐藏	(封顶,右上角,打怪)
 120:54 - 123:19	主播，你那个20w阴兵的同事进去了吗	(🚀,主播,阴兵)
 123:43 - 126:32	主播我想吃青椒炒饭了，你能让妙子给我炒一盘吗	(了,[,])
 127:18 - 128:12	去了水印就当过了 技术主播全是gg	(水印,去,了)
 128:21 - 129:08	技不如人，操作下滑，戾气太重[dog]	(🤓,太重,，)




 131:56 - 133:46	我这边有个营业执照就行，专线不是大带宽也不贵，最便宜的一个月 100 多的样子	(专线,[,])
 139:32 - 140:08	原来松饼bot是转抖那边的弹幕吗	(爱,热熔胶,是)
 151:05 - 153:44	主播主播 你的《大学》背了吗	(了,的,我)
 160:50 - 162:13	主播上8000不就能堵住他们的嘴了吗	(了,8K,是)
 162:18 - 164:42	还有对角线里的主播	(还有,，,了)
 179:23 - 180:45	你和胖哥和好就没人刷了	(你,就,胖哥)
 185:29 - 185:50	哇全部	(爆料,半天,小季)
 187:18 - 188:24	你是拉完了，还是夯爆了	(了,你,主播)
 189:41 - 194:06	窃取走马灯果实的	(的,还有,看看)
 195:26 - 196:29	召唤爱牛	(直播,小人,好)
 197:30 - 198:18	胖哥的大招可以召唤雅阁和爱牛	(召唤,，,胖哥)
 203:40 - 203:41		(我,轰炸,帮)
 214:27 - 214:47	蒙的	(蒙,的,九折)
 220:06 - 221:14	ddj会[dog] 多人之前还撞车呢	(播下,主,[)
 225:01 - 226:01	主播偷走了胖哥最重要的东西[花]	(🤓,技不如人,偷走)
 226:08 - 226:42	延迟下落是什么 主播科普一下  前几次错过了 这里是在延迟下落吗	(下落,延迟,是)
 233:28 - 234:51	季小麦能过，主播就不知道了	(，,了,是)
 235:12 - 235:17	差一丝丝	(一丝丝,27,差)
 241:15 - 241:41	体感游戏，晚上过不了一张图	(666,6666666,？)
 255:49 - 256:19	好像对了	(帅,？,蒙)
