全场最高能：229:51	好结局

其他高能：
 5:00 - 5:34	选左边和右边那不是马灯的直播间吗	(左边,的,这)
 8:01 - 9:41	话说太阳是马里奥哪作的东西	(],[,比心)
 10:50 - 12:16	饼饼早上好啊啊啊啊啊啊啊	(啊啊啊,],[)
 13:12 - 14:20	十八摸听过没有，不让你摸	(摸,旗子,噢)
 17:04 - 17:13	前几天好像对了很久	(对,久,脚线)
 18:37 - 18:56	主播是偏左还是偏右了	(看运气,🎉,玩意)
 19:30 - 21:03	胖哥和杰克西奥麦还是凭实力过的	(右,还是,硬币)
 23:05 - 25:26	出这游戏的卡带，有人要吗	(的,要,了)
 25:44 - 26:25	蒙的	(的,蒙,饼)
 29:01 - 33:03	不用飞机也能锁图 只要说主播没毅力	(弹簧,，,飞机)
 36:06 - 36:43	心乱了少年	(～,ztmex,。)
 41:21 - 44:09	库巴雅阁了	(哈哈哈,逼,牛)
 47:02 - 48:09	怀里的王八回头了	(王八,回头,比心)
 58:24 - 59:44	预言家刀了	(灯冷灯,冷,，)
 64:50 - 65:17	羞死了	(不准,对,羞死)
 66:17 - 67:15	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(蛋糕,呗,吗)
 70:02 - 70:40	胖哥是白色的吗	(胖哥,吗,你)
 76:24 - 78:41	不会，知道你做不出来	(，,你,不)
 81:08 - 81:15	头号孙孙	(头号,孙孙,咋)
 83:31 - 85:54	这游戏第一话事人都换了，还在100命，不合适了吧	(了,主播,，)
 89:45 - 90:57	谁的b里能看直播	(？,里,直播)
 97:42 - 97:47	主播不用半小时，3分钟就完事儿了	(空降,车主,事儿)
 107:04 - 107:53	那主播和胖哥矛盾不大吗	(矛盾,？,反思)




 108:10 - 109:49	你减肥下160 我就不管你叫胖哥了 你规定的胖哥就必须是白胖	(胖哥,，,你)
 110:47 - 111:50	粉丝行为与主播无关啊，胖哥教你的，你直接切割弹幕就可以了	(，,了,的)
 113:32 - 114:15	真让主播买上dr了多好啊	(🟣,爱心,主播)
 116:59 - 117:22	那咋了	(那,咋,了)
 117:30 - 118:14	那咋啦 再没品也比你听到胖哥说那咋了直接投降强	(那,直接,])
 118:38 - 118:50	去找主播，把主播的2买过来[哇]	(买,找桀哥,过来)
 122:07 - 122:57	人家胖哥就赶上了，i9升级成爱牛了	(跪,岩田,现在)
 124:26 - 125:51	十分钟不够啊	(了,漏,十分钟)
 126:16 - 128:05	已经漏币了，飞吧	(了,漏,飞)
 134:09 - 135:25	爱牛来就给你封上了[捂脸]	(知道,你,了)
 148:15 - 149:32	飞吧不丢人	(走量,的,飞)
 150:50 - 151:48	这是字节的 ai 检测到主播逢钻必玩，疯狂推这种图	(早餐,藏,是)
 152:02 - 152:12	算你过了	(助跑,一段路,算)
 157:22 - 157:27	对不准	(不准,对)
 157:32 - 158:21	这种都毫无逻辑理由的烂图也能上极难啊[捂脸]	(],[,比心)
 159:40 - 161:05	那你开车 每次开车我都睡着了[dog]	(开车,岁,的)
 162:06 - 164:32	胖哥怎么你了	(胖哥,了,你)
 167:09 - 167:23	选图能力不如美食	(植原,姓,过节)
 167:30 - 167:51	中国现在好多词也是从日本舶来的	(中国,字,日语)
 168:00 - 168:18	1-1不进罐子	(1,目犯,罐子)
 169:47 - 170:34	这图胖哥真过了	(不够,一个,吧)
 170:50 - 171:56	飞吧,技不如人	(你,],[)




 172:56 - 173:02	旗子右边有个板栗	(技不如人,板栗,管子)
 173:25 - 173:34	你怎么老有那么多理由，你看看胖哥	(老有,理由,你)
 174:16 - 174:19	多人泛滥了呗	(预热,泛滥,封)
 174:45 - 175:15	马造也不出个根据标签筛选图的功能	(盲区,啥,技术)
 185:04 - 185:27	蒙的	(蒙,的,troll)
 187:16 - 188:32	俩宝箱对打	(，,打,对)
 190:03 - 191:12	通常来说根据时间的随机数就是经常被提到的真随机 因为玩家的人手很难掐准	(随机,的,随机数)
 191:55 - 193:04	蓝哥我上班写了一天代码了不想听讲了我们开牛车吧	(玩家,，,了)
 197:12 - 197:40	自制雅阁	(雅阁,自制,哈哈哈)
 207:17 - 207:42	重新推一下油	(断流,满要,dy)
 217:09 - 218:02	哇 灯顶	(666,？,灯顶)
 220:41 - 221:11	这道具给的	(大哭,],[)
 228:49 - 231:12	好结局	(],[,饼)
 234:41 - 234:47		()
 237:11 - 237:49	被胖哥寻了	(胖哥,看不清,啦)
 238:19 - 239:49	知道偷偷开不等鲁迅的后果了吧[大哭][大哭][大哭]	(大哭,到,吃)
 240:22 - 240:43	识曲能力不如胖哥	(识曲,＋,3D)
 241:23 - 241:33		()
 244:09 - 244:37	第一带火箭	(不该,消除,伏笔)
 249:21 - 252:07	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(瀑布,庐山,望)
 257:09 - 257:16	第一马灯都看不见了	(看不见,第一,马灯)
 260:27 - 260:51	你认对主播了	(认对,技不如人,道具)
 261:13 - 261:49	低保过滤器	(！,低保,9000)




 262:16 - 263:04	这就是你想上的9000分吗	(活人,全,亖)
 264:08 - 265:20	isun放的	(卡,放,？)
 265:48 - 265:59	这才第几圈就想冠军	(几圈,这才,冠军)
 266:08 - 266:20	就非得追尾	(咋,那,路线)
 266:38 - 266:52	这回怎么没拉回去	(拉回去,这回,ztmex)
 267:10 - 267:26	北京热	(热,北京)
 267:30 - 270:36	该该该该该该该该该该该该该该该该该	(该,的,蕉)
 270:52 - 271:09	人机局要登	(局要,白菜,人机)
 273:15 - 273:59	555来了	(555,来,了)
