全场最高能：65:34	胖哥让你的，你还以为手柄坏了是吧

其他高能：
 4:08 - 7:12	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(啊啊啊,],[)
 11:22 - 13:06	你播的是超级马力欧创作家2，人家是马里奥制造，本来就货不对版[看]	(],[,魂斗罗)
 13:27 - 14:15	白白的bobo呀	(],[,爱心)
 17:11 - 18:15	所以你是怎么知道是3d的问题的	(马里奥,制造,是)
 33:05 - 33:25	ds5就不怎么串	(。,連一塊,不怎么)
 37:15 - 37:45	这个声音是林克吗，听起来好熟悉，好久没看没想到在这里遇到了	(）,（,林克)
 39:47 - 40:02	给胖哥去刷个飞机看看胖哥怎么玩	(看看,视频,不耻下问)
 42:34 - 46:22	就是热熔胶	(手柄,胖哥,了)
 46:31 - 46:37	CRT牌胶水	(类型,CRT,胶水)
 47:00 - 47:04	pjb手柄	(pjb,手柄)
 47:43 - 49:42	一个新手柄 按照主播的使用频率不用两天就给干漂移了	(手柄,给,])
 52:10 - 67:22	胖哥让你的，你还以为手柄坏了是吧	(胖哥,了,手柄)
 75:08 - 75:26	这个同事	(这个,然后,同事)
 77:26 - 77:32	这是让你看看后面的图	(咱们,娇柔,淘金)
 77:39 - 77:43	那你倒是打滚啊	(。,🤣,打滚)
 87:49 - 88:08	玩个只狼吧	(吧,开出,不救)
 99:37 - 100:26	被小桀打压了	(打压,胖哥,了)
 111:01 - 111:11	看看你的码	(dog,码,])
 117:16 - 120:01	遇到神人了，你不会真信了还喜欢她吧	(🐢,她,了)
 120:15 - 120:28	你看主播不就和马里奥过得挺好	(偷笑,],[)
 120:35 - 122:06	不行我就去成都吧[dog]那才是纯爱，海南妹子太可怕了	(],[,，)




 122:10 - 124:27	那是你离开了北京的日子	(？,的,是)
 162:01 - 162:47	这里有个技术你不会	(作者,时间,有个)
 172:03 - 173:07	胖哥来早过了	(嘚,了,牛车)
 178:25 - 179:03	那我这里有一个很好用的手柄，但是可能会爆炸，你考虑一下嘛	(表情,pjbsb,手柄)
 181:48 - 181:50		()
 184:40 - 186:00	飞了吧，后面还有	(了,？,哈哈哈)
 189:09 - 189:46	说tm什么呢	(柳田樱,？,没用)
 190:41 - 191:59	胖哥把我拉黑了我帮不了你	(我,你,胖哥)
 193:13 - 195:50	胖哥不是白璧无瑕吗，为什么能打出来[流泪]	(？,胖哥,视频)
 197:40 - 199:17	承认了 钻洞是蒙的	(？,的,蒙)
 207:23 - 207:24		(圖,探探,舒服)
 212:10 - 212:14		()
 212:29 - 212:32		(😄,好图,？)
 212:53 - 214:37	已经花了1个多小时在哔站了解了走马灯故事了[捂脸]	(团长,3d,司马)
 215:13 - 216:33	主播那個故事裡是不是有人說過一句”那咋了”[哇]	(樱,千本,”)
 221:32 - 222:04	这里有一个技巧你学会了就过了	(了,小号,脑袋)
 234:49 - 237:38	8000只需要有个海南人就行 上8000了还能做抗日英雄	(了,抗日,，)
 247:46 - 248:24	那你赶紧发出来啊[看]	(那,什么,啊)
 248:33 - 251:02	为啥一直打这张图啊，是被锁了吗	(了,？,])
 254:41 - 255:36	技术主播不玩糖人游戏	(人,级,20)
 263:16 - 265:27	陆地上最大的动物是大象，第二大的是小象是吗[捂脸]	(大,最大,的)
 266:36 - 267:32	鱼觉得你天天在朱紫里说他司马鱼，他生气了不来了	(鱼,百分百,缘分)




 269:17 - 270:53	不如前作头掉了都没事的请确认	(了,七龙珠,不如)
 271:02 - 271:16	栽培人还想冒充比克	(退回,冒充,栽培)
 273:05 - 273:57	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(的,大鱼,是)
 274:21 - 275:02	肯定不是啊，都切割了	(切割,肯定,不是)
 277:06 - 277:28	那也没挤掉啊	(没,我,别骂)
 277:41 - 278:13	那为什么还没有闪大黄鱼呀	(。,牛,呢)
 278:19 - 279:58	还喝上东方树叶了	(树叶,东方,？)
 282:43 - 282:59		()
 283:13 - 283:28	用海韵台达振华凑合一下就行了，没必要硬上金河田的	(硬上,凑合,振华)
 284:25 - 285:47	是有香菇卤肉的，但是香菇占比按理说不应该超过4分1	(香菇,牛肉,风味)
 291:56 - 292:20	好兆头，能刷到明天中午	(能刷,兆头,中午)
 296:05 - 296:17	拉布拉多	(拉布拉多)
 296:40 - 296:49	搭配饭不就变成饭团了么	(下咽,难以,猫猫)
 298:00 - 298:02		(捏,茶,QQ)
 298:19 - 298:39	霸王茶姬的青青糯山好喝🤤	(半糖,前门,混)
 299:06 - 299:22	拆了不应该直接搬靓旭家旁边吗	(bushi,全糖,台南)
 299:43 - 301:56	所以胖哥走马灯只是因为个体值不一样	(],[,臭味)
 304:04 - 305:23	我这都是折耳根和香菜凉拌一起吃的	(我,吃,香菜)
