全场最高能：107:53	极限[dog]

其他高能：
 1:40 - 2:52	好了	(了,你,来)
 3:52 - 4:09	孙怎早	(原画,清晰度,孙怎早)
 6:11 - 8:00	早[比心]	(比心,],[)
 8:24 - 10:00	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(主播,雅阁,可以)
 10:12 - 10:18		()
 10:22 - 10:59	打窝是吧	(雅阁,技不如人,造)
 17:29 - 18:16	又要雅阁了[看]	(技不如人,可惜,LOSE)
 21:00 - 21:43	晚上好[哇]	(],[,爱心)
 23:38 - 25:25	这下真技不如人了	(比心,],[)
 26:22 - 27:14	这跟马车落后刷雷有什么区别，你就该被雷劈啊	(就,然后,])
 28:46 - 29:07	右下角箭头加成怎么算	(spin,t,一点一点)
 30:35 - 33:29	你都满攻了要什么，k头瘾犯了	(了,你,都)
 34:38 - 38:10	登顶[哇]	(登顶,666,！)
 40:08 - 42:56	该开车了	(？,],[)
 48:23 - 50:43	哇，灯顶	(？,登顶,了)
 51:20 - 51:54	回放被孙子去广州关掉了	(走马灯,外国文学,会学)
 54:57 - 55:11	永远就能过了	(过,就,永远)
 57:10 - 58:24	你应该问主播汉语怎么这么好	(这么,怎么,🐕)
 61:05 - 61:19	踩蛋	(踩,蛋,不少)
 62:12 - 63:01	他刷飞机我开皇帝	(🛬,飞机,刷)
 63:56 - 64:14	这比较像三年级做的	(三年级,比较,像)
 69:31 - 69:59	你又找到了	(找到,滴哒,滴)
 73:44 - 74:41	你想看骗了  还拿主播当借口	(比心,😭,])
 76:39 - 76:51	最牛逼都不敢吗	(，,什,纹身)




 79:13 - 80:32	主播黑你的太多了，我把他们都举报了可是人太多了一个一个太慢了，我直接把你...	(，,了,的)
 83:21 - 83:40	反应过来了	(csndm,蓝赞飞,过来)
 88:36 - 88:55	背景有个什么玩意飞过去了	(边儿,背景,喝)
 95:05 - 96:03	bot认错主播了，开摄像头的是蓝胖	(钱,欠,是)
 97:06 - 99:10	主播这个手柄换的，我怎么感觉，，变强了好多	(哈哈哈,士,大戾)
 99:17 - 101:39	我真服了你们这群评论了，老那世界第一跟主播比，主播连8000都没上有啥可...	(啊啊啊,漂亮,])
 101:42 - 101:44		(狗熊,启动,，)
 102:26 - 103:35	就是因为有时间限制差太多了才会那样	(过开,团内,手柄)
 106:45 - 108:56	极限[dog]	(-,过,666)
 110:06 - 111:39	币多说明他善啊	(?,咋,大戾)
 113:19 - 117:07	说什么呢[看]有机器也没游戏[看]有游戏也不玩[看]就算玩了也不会[看]	(大戾,士,，)
 122:46 - 128:15	那你能上8000了吗	(么,了,])
 128:22 - 129:23	最后放了海南人	(人,海南,最后)
 129:27 - 130:05	胖哥说手柄滑了，其实就是松柄不行的意思	(我,，,胖哥)
 133:47 - 134:04	瀑布是往下流的	(瀑布,噗,三千)
 146:07 - 146:57	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(了,],[)
 158:14 - 158:25	别人为什么不会死那	(那,马车,别人)
 158:39 - 158:52	还真是[花]	(算,真是,哈哈)
 162:24 - 162:50	沾点热熔胶	(昨天,热熔胶,手柄)
 168:44 - 174:49	孙孙回去看下那壳图，门后大龟那好像竖着画了俩方块，踩两下正好能卡好第三个龟壳时	(大龟,了,门后)




 174:53 - 175:02	大龟都看了 能不能过一遍 0VM-8H2-B3G	(-,大龟,B3G)
 175:37 - 176:05	怎么还有sc，今天这么盆满钵满吗	(弹幕,吗,置气)
