全场最高能：43:50	你看到了吧  这就是这个车的劣势  吃电后重启动太慢了

其他高能：
 2:45 - 2:53	有嘉宾	(色,],[)
 3:27 - 3:54	我想听那个六个小时的版本[流泪]	(胖哥,司马迁,手柄)
 8:00 - 8:14	今晚怎么这么早牛车了	(一言不发,没人,外卖)
 8:31 - 8:39	怎么不骂人了	(饼,都,不)
 8:56 - 9:07	终于等到松饼在的时候了	(等到,⚡,终于)
 11:15 - 11:34	OK啊  我最喜欢的主播又来了	(主播,抄近,劲大)
 11:50 - 11:55		(后门,看,大龟)
 12:36 - 15:46	马造1视频怎么看我都学不会panga跳，主播一教我就会了	(，,的,你)
 18:50 - 19:01	那怎么来一下啊	(一下,那,不)
 19:05 - 19:25	车后大牛来一下	(没,大牛来,大雷好)
 19:50 - 19:55	蘑菇大王	(打雷,大王,蘑菇)
 23:08 - 23:27	来吧	(来,吧,来来来)
 24:03 - 24:17	被isun电多了的后遗症	(孙后,后遗症,电多)
 24:28 - 24:34	最喜欢看主播分析	(分析,孙京,看主播)
 24:43 - 24:55	主播天天在这金河田金河田的，雷不喜欢主播	(的,?,主播)
 25:09 - 25:16	@HappySun 因为后面的能靠好道具跑前面来	(HappySun,靠,前面)
 25:29 - 26:45	主播今天12点焉了样子和软掉的茄子一样	(招,盘外,雷)
 33:04 - 33:35	该 喜欢减速	(哈哈哈,该,哈哈哈哈)
 38:44 - 39:27	刚打完的雷不记得了	(刚,打,打过)
 39:44 - 40:20	主播已经被批傻了，弹幕谅解一下	(就,优势,双雷)
 40:27 - 41:06	每个车都不一样，孙子这破车是三种路都能跑，水路很强	(，,是,打雷)
 41:46 - 45:35	你看到了吧  这就是这个车的劣势  吃电后重启动太慢了	(屁股,车,了)




 49:47 - 49:52	顶级智斗	(蒙中,顶级,似的)
 51:49 - 53:54	盖欧卡：他想吃蓝龟马唯一的解释是他想吃蓝龟	(蓝龟,吃,想)
 61:04 - 61:17	寻你来了	(来,了,寻)
 62:59 - 64:09	主播，这游戏的真人是不是都被你打跑了	(人机,了,！)
 79:31 - 80:13	被打压了	(了,自重,大戾)
 80:22 - 80:25	胖哥来给所有人全打了	(胖哥,疼爱,全打)
 81:54 - 82:27	crt富二代来着  很多钱  有店铺	(crt,专职,寻死)
 86:02 - 87:04	木柜子没问题  但是木柜子父母太难顶了	(柜子,木,了)
 90:07 - 90:30	阴沟里翻船	(依旧,绿壳,船)
 90:43 - 91:09	第一道具就是金币 羽毛  绿妙子 喇叭	(越,喇叭,骂)
 93:39 - 95:03	主播我替他们原谅你了	(了,主播,仇人)
 96:39 - 97:47	爷爷，你做的这一切，都是为了你直播间的节目效果吗	(是,的,失去)
 98:46 - 101:02	你是yuiton的爱牛吗，让人家赢	(？,555,你)
 109:45 - 111:07	急死了[哇]	(你,555,看着)
 117:04 - 118:13	是被堵门要DR了吗	(了,算,])
 121:44 - 122:47	我也认识，一个火箭爆料用户名[花]	(我们,北京,的)
 127:21 - 129:43	怎么都要骂，干脆直接给你冠军得了	(了,你,那)
 129:56 - 130:08	赢是赢过 保送局不光彩	(赢,还,不)
 134:39 - 134:46		()
 135:23 - 135:58	想去贴吧找有没有当时的存档翻到了青涩孙孙的发帖	(呦,哎,的)
 136:39 - 138:50	我们本来就是在夸他 就你以为是在反讽	(第一,，,反串)
 145:27 - 146:01	你是董浩叔叔	(LOSE,董浩,耗着)
 156:46 - 157:58	你看这大牛笑得多开心	(你,？,了)




 158:33 - 159:12	现在抓完了准备干嘛	(饼,了,林克爱)
 159:31 - 159:34		(龙龙,JJ,呀)
 167:21 - 168:41	@クリーム松饼 以前没有za，主播这个点都在播什么	(对,],[)
 168:50 - 168:52		(五点,一般,下)
 169:03 - 169:07		()
 169:23 - 170:25	三个在问这是什么游戏，一个在说主播技不如人	(技不如人,za,宝可梦)
 172:09 - 173:01	wiiu通过一些手段能玩它	(手段,玩,能)
 173:11 - 173:21	么么么么么么[飞吻]	(么,飞吻,])
 173:43 - 174:01	主播穿的没之前好看	(🤓,之前,穿)
 174:24 - 177:05	雅阁了	(在,洗衣机,雅阁)
 179:58 - 181:49	正常来说你都持有不了那么多股份 顶多是多少多少股	(年,的,那么)
 192:27 - 193:45	你不是胖哥 是胖哥别人就帮他处理了[看]	(客服,🤓,帮)
 198:41 - 199:02	我几年前就这么做了	(几年,前,做)
 199:23 - 199:36	挂加速器 改dns现在根本不好使了	(114.114,改过,PS4)
 202:03 - 203:08	去年的五月14號也有人大肆慶祝[哇]	(去,有人,年)
 203:23 - 203:29	我只看搞比利 不看野兽先辈	(先辈,野兽,不看)
 205:25 - 210:38	@幻丨谜 我只能年后试试了[看]最近太忙	(流量,，,的)
 211:22 - 213:41	@クリーム松饼 一早上的事儿，就看你愿不愿意去了	(差不多,贵,换)
 215:06 - 215:33	没绝育	(扔,那多脏,潜水艇)
 231:00 - 231:11	直接找湖南总代进货精品大果就行了	(大果,精品,进货)
 232:48 - 235:09	我是仙人跳刚回来那几天开始看的[爱]	(年,是,现货)
 235:11 - 237:01	那个数据是我和jason整合的	(是,10,的)




 238:24 - 239:22	1/8000吧	(/,1,十次)
 242:43 - 243:57	e是无理数来着	(e,哦,得罪)
 245:05 - 246:20	哇，不愧是我粉的主播，不光会语文，还精通数学[比心]	(高考,的,发生)
 247:35 - 249:11	主播的洛托姆还没触发保底吗	(保底,没,兑换)
 249:50 - 251:18	我看的主播已经全图鉴形态都闪一遍了[dog]	(的,诈骗,中国)
 254:52 - 255:36	所以白胖找爱牛上8000也是保底机制吗	(也,机制,草御)
 255:57 - 256:16	所以这次是保底了么[dog]	(这次,是,图鉴)
 256:27 - 256:34		()
 259:27 - 259:34	回沟的诱惑	(诱惑,回沟,的)
 260:12 - 260:38	梦幻mega了感觉也厉害	(梦幻,处理,事情)
 260:47 - 261:26	这是数学概率问题	(发呆,概率函数,300)
