全场最高能：175:36	胖哥什么技术，钻洞的神季小麦都加纳了

其他高能：
 0:42 - 1:06	玩方块也喜欢钻	(啊啊啊,方块,钻)
 5:50 - 7:15	流鼻涕了	(手柄,了,LOSE)
 14:41 - 17:58	哇，灯顶	(🔝,],[)
 22:11 - 22:57	现在这么厉害了嘛[dog]	(],[,两倍)
 24:24 - 29:10	哇登顶	(🔝,！,哇)
 29:57 - 31:24	今天走马灯吗[dog]	(？,LOSE,target7000)
 32:30 - 36:06	胖哥允许你多人了吗	(了,],[)
 37:28 - 38:24	右边等会出来一个金河田 就炸开了	(了,技不如人,姚明)
 40:58 - 42:24	哇，登顶7000	(],[,7000)
 42:56 - 43:17	大型雅阁	(雅阁,哈哈哈,走马灯)
 45:00 - 45:54	怎么突然又开始多人了	(了,怎么,])
 48:54 - 49:27	这pjbsb一有藤就往上爬	(汤,无汤,不留)
 50:26 - 51:38	林克爱孙双排记	(10,-,？)
 52:31 - 52:43	要回家乡了	(乡,回家,抗日)
 55:01 - 56:54	什么情况，胖哥原谅允许你打多人了	(了,],[)
 59:28 - 60:21	好胖 我要去看白菜了🥬	(],[,🥬)
 60:24 - 60:30	主播的多人许可证办下来了吗	(比心,],[)
 61:55 - 62:41	年度关键词不是ztmex吗	(合作,吧,一起)
 64:07 - 65:38	高分的人都被isun卡到白名了	(了,🌈,！)
 66:23 - 67:05	给胖哥刷个火箭让胖哥帮你上分吧	(对抗,辛苦,分)
 69:07 - 71:14	胖哥一个爱牛就够了	(了,胖哥,牛)
 72:51 - 72:55	怎么在多人[哇]	(多,哇,在)
 75:25 - 76:29	输了就是这么垃圾的图都赢不了，技不如人	(赢,图,了)
 78:05 - 80:05	嘿嘿笑死来了	(嘿嘿,了,？)




 80:20 - 81:02	嘿嘿 笑死	(嘿嘿,？,白胖)
 81:12 - 82:13	这么好的图都赢不了，技不如人[看]	(嘿嘿,笑,死)
 84:46 - 86:01	胖哥是主播的恩人	(🚀,胖哥,是)
 109:11 - 109:31	偷鸡不成	(技不如人,严谨,谢谢)
 112:05 - 112:30	这也能pjbsb	(pjbsb,捂脸,？)
 113:19 - 113:33	加勒比海盗	(？,加勒比海,盗)
 113:52 - 114:03	也就赢赢这张图了[看]	(赢,张图,这)
 114:37 - 115:07	主播第一了  登了  怎么弹幕还在挑刺  送雅阁	(弹幕,第一,雅阁)
 115:34 - 115:41		()
 116:34 - 116:35		()
 117:28 - 119:39	做的跟史一样，主播最快吃上了	(了,，,卡)
 120:09 - 120:42	胖吃	(题库,赢,吃)
 128:27 - 129:08	这图不可能进来的  这种图汤都没得喝  卡500秒	(进来,条件,500)
 137:57 - 141:38	今天胖哥把多人许可证还给了主播	(走马灯,爱心,])
 142:39 - 143:17	蒙的	(蒙,的,DR)
 145:48 - 146:04	主播主播，几千分才配把技术主播当直播间标题啊	(嘲讽,啊,B)
 146:15 - 146:24	真坏	(真坏)
 147:51 - 148:03	胖哥7000分9连胜，主播只会掉到6000	(连胜,9,只会)
 148:04 - 148:23	做极难图的真得来多人学学了	(goat,这个,常务副)
 148:36 - 148:44	有不服的随便挑战他，我和他对赌，骂归骂[捂脸]，技术确实第一	(骂,，,他)
 149:06 - 151:20	终于找到组织了，我也是胖哥粉	(了,，,你)
 153:27 - 154:03	胖哥:8000分亦有差距[捂脸]	(官方,比赛,胖哥)




 155:12 - 155:33	那你怎么不反省一下你自己，为啥人家不开胖哥	(新津,四川,胖哥)
 159:31 - 160:10	比赛应该是做一个各种技术的图，到时间开放，看谁第一个通过，这样才公平	(坏,哞,是)
 162:27 - 163:01	那爱孙被提纯之后为什么不是这样	(],[,dog)
 163:40 - 167:14	那咋了	(演员,，,了)
 167:26 - 167:43	只能说主播和粉丝就是一个缸里的	(梦醒,就是,说主播)
 169:05 - 169:15		()
 169:19 - 171:25	那咋了 胖哥用的是兵法[看]	(那,了,咋)
 173:17 - 173:54	说白了，我白胖的技术是没问题的，就是人有点双标[看]	(。,抗日,的)
 174:16 - 177:41	胖哥什么技术，钻洞的神季小麦都加纳了	(，,了,技术)
 179:26 - 180:57	走马灯开始的时候一天拉黑上千人[滑稽]	(林克,是,谁)
 181:05 - 181:23	你们谁能写一本小杰和林克的同人文啊 谁懂这一对[比心]	(谁,啊,破音)
 183:18 - 186:30	500s纯净走马灯	(哈哈哈,了,走马灯)
 186:53 - 187:10	爱牛粉丝估计都不知道你那么多语录	(垫,你,到)
 187:19 - 187:30	老板大气[爱心]	(胖哥,提供,声)
