全场最高能：112:01	主播又去crt视频底下刷了遍热熔胶我做的对吗

其他高能：
 0:01 - 0:12	那咋了	(咋,那,什么)
 1:14 - 1:28	长沙史塔克都干不赢，没办法	(行家,掩耳盗铃,办法)
 1:31 - 2:26	少了一个 点赞还没说呢	(三年,👍,咔嗒)
 7:47 - 8:22	刚刚的棋子是二世界的棋子了	(的,棋子,迷路)
 9:40 - 11:03	藤藤蛇也是主播的好朋友吗[看]	(🚀,],[)
 12:23 - 12:39	主播的房管是好朋友吗	(配,的,朋友)
 19:48 - 20:08	他不是怕你了，他只是怕热熔胶了	(怕,他,主角)
 37:53 - 38:27	走马灯啊	(了,走马灯,回来)
 38:37 - 39:24	来的时候走马灯 然后爆料 然后热熔胶	(时候,跟不上,原神)
 48:52 - 49:10	是松饼吗[委屈]	(，,教主,随便)
 52:39 - 53:12	白肯定是白胖白	(白,天鹅,胖哥)
 61:59 - 62:54	你3ds不是还花了三倍的价钱才能直播用的吗	(了,总代,还花)
 63:00 - 64:37	那你现在怎么倒下了林克主人	(了,奔,含)
 64:52 - 65:05	抽奖了我就没孙子看了	(抽奖,出来,了)
 67:06 - 67:20	那胖哥笑嘻了[花]	(咱,嘻,谢谢)
 69:56 - 69:59		()
 73:47 - 74:02	孙子倒着写是子孙吗	(人胶,子孙,克林)
 74:05 - 74:51	他是没别的事儿了么	(没,么,朋友)
 75:05 - 75:27	ε=ε=(ノ≧∇≦)ノ.	(ノ,=,ε)
 78:23 - 79:16	我认识一个人可以搞全小区覆盖的wifi	(wifi,小区,的)
 82:11 - 86:51	你这合伙人多大了   沉没成本不参与重大决策这么简单的道理想不明白吗[捂...	(了,啊,你)
 87:22 - 90:12	热熔胶核心来了	(了,来,热熔胶)
 90:55 - 92:36	那是做了好事啊	(了,哈哈哈,你)




 94:03 - 94:26	蒙的	(的,啊,催)
 94:38 - 95:23	主播主播你那个太鼓什么时候能玩啊	(主播,时候,什么)
 96:38 - 97:00	我说的是龟壳，对吧	(警察,小栗旬,全部)
 102:51 - 108:04	主播我没明白你开头提到的杨先生咋坑你了	(了,你,和解)
 108:43 - 108:59	脸本樱当时都快上市了	(当时,看,落魄)
 109:08 - 113:05	主播又去crt视频底下刷了遍热熔胶我做的对吗	(了,，,还)
 114:27 - 114:55	如果他造谣他自己怀孕了你会和他和解吗[花]	(和解,和,他)
 117:48 - 119:37	我不想这么说 但是杨先生也是没辙了才跟你说这种话的	(的,了,是)
 139:09 - 140:32	库玛也是以前主播的房管呢	(],[,流泪)
 142:03 - 143:07	你什么时候又和解了	(？,],[)
 143:15 - 143:17		(作案,团伙,吧)
 144:29 - 145:18	那主播  干嘛讨论柯南亲嘴呢	(么,亲嘴,柯南)

