全场最高能：281:52	开放世界做完就拉了坨大的

其他高能：
 3:33 - 3:42	长沙史塔克送的吗	(大哭,],[)
 3:44 - 5:06	主播是被禁言了吗，这么天没播  现在又来测试	(🌿,],[)
 5:31 - 6:23	对，他用了好几年才发现采集卡一直就没用上	(热熔胶,说,是)
 6:57 - 7:24	主播为什么不玩多人	(了,主播,怎么)
 8:20 - 8:27		()
 17:00 - 17:14	主播这几天是去胖哥家里了吗	(主播,桃子,摘)
 19:24 - 20:17	看到评论区不少人说太鼓达人的问题是难和贵，我争取在之后的视频里解释一下，...	(的,没,...)
 23:04 - 25:38	主播没来的这几天是被胖哥打了吗	(了,主播,])
 25:46 - 25:55	直播有3D砍伐證了嗎[哇]	(会选,非选,證了)
 33:03 - 34:27	惠普和松饼是孙孙两个性别领域的恋人，不冲突[看]	(哈哈哈,],[)
 36:47 - 37:41	胖哥死了一百条命后一边过	(了,都,~)
 38:37 - 39:36	你可以把他熬死[看]	(],[,看)
 44:52 - 45:26	日本菜多贵，你还不要	(走马灯,比心,])
 46:43 - 46:55	孙普鲁[dog]	(米璐库,居心,操心)
 51:06 - 51:39	主播为什么不玩多人	(？,为什么,B)
 55:05 - 56:05	主播因为卖了有金河田的pc被抓了	(卖,了,pc)
 57:47 - 58:29	胖哥来早卖电脑了	(了,电脑,咋)
 62:57 - 63:01	谁做的图	(左边,觉得,谁)
 63:07 - 63:52	主播和crt，胖哥的和解是最出名的	(和,],[)
 64:11 - 64:18	主播和小桀和解了吗	(之交,和解,和)
 67:20 - 68:47	主播听说你是老师 可以唱一首我最喜欢的老师你好吗 我可以给你上舰长[爱][爱]	(],[,_)
 69:37 - 69:40		()




 69:57 - 70:09	作为一个主播，把快乐分享给观众才是最重要的	(重要,分享,快乐)
 70:39 - 70:40		()
 95:50 - 98:38	黑瘦是动漫[dog]那可不兴叫啊	(瘦,🐮,车)
 100:56 - 104:04	主播换新设备了 那旧的呢	(了,],[)
 106:50 - 108:20	好 支持	(好,支持,的)
 113:18 - 113:32	爆料了	(不停,爆料,了)
 115:21 - 116:38	满意了	(了,ddj,快快)
 116:42 - 116:56	我都没想到电源线 不愧是北京总代	(电源线,没想到,不愧)
 118:31 - 119:52	顶出个金河田把墙炸开不就行了	(顶出,],[)
 120:31 - 120:33		(可爱,哇,])
 120:49 - 120:55		(出个,抱,.)
 121:11 - 121:22	这个没牛车好看	(好看,群,礼物)
 121:59 - 125:08	我买了不玩怎么你了[看]	(的,，,蒙)
 136:55 - 137:29	官方还是收力了     X鹿应该双属性的  要是地妖你看他怎么赢吧	(老内,看,还是)
 137:55 - 138:06	爆料吧[看]	(爆料,吧,看)
 138:29 - 138:43	这不趁今天没来多打几把牛车	(蓝龟鈿鈿鈿,三体,！)
 138:53 - 139:02	这是马车8吗	(8,马车,这是)
 145:10 - 145:29	哇 灯顶	(！,灯顶,666)
 146:51 - 147:19	盖欧卡来了	(欧卡来,盖,呢)
 163:29 - 164:54	哇 灯顶	(！,登顶,的)
 167:22 - 167:49	这游戏还能用键盘玩呢	(键盘,等等,解读)
 168:04 - 169:31	among us是吧	(us,among,＝)
 173:01 - 175:14	刚刚看来牢a的切片，总觉得和谁像，然后现在知道了[捂脸][捂脸][捂脸]	(],[,热)
 175:30 - 175:33	应该算	(血海深仇,人有,东北)




 175:45 - 178:06	主播的研究生计划呗木鬼子干翻了	(木,了,蓝龟)
 180:15 - 182:15	结束了说是	(？,了,的)
 182:43 - 184:43	保送了	(?,蘑菇,保送)
 189:17 - 190:42	滑滑梯	(滑梯,滑,了)
 191:33 - 193:51	第一是老外还是国人我忘记了	(第一,的,两个)
 203:48 - 204:36	结束了	(结束,了,哈哈哈哈)
 213:45 - 215:56	好好好	(],[,哈哈哈)
 225:00 - 227:40	间接的保送了555，主播是爱5	(555,],[)
 232:56 - 233:07	你看就这种上一个道具点刷到立马就放了	(道具,这,就)
 235:12 - 236:29	蒙的	(！,的,蒙)
 242:05 - 242:30	OK啊  主播要用最爱的X鹿勒	(饼,鹿勒,OK)
 246:43 - 250:53	主播日本人玩日本游戏怎么了	(主播,了,游戏)
 252:29 - 252:51	关键词：滴der	(为什么,不文雅,关键词)
 255:58 - 256:41	孙体健康[比心]加纳	(加纳,爱心,])
 265:21 - 265:39	好康的 是新遊戲喔	(好康,的,新遊戲)
 280:42 - 284:02	开放世界做完就拉了坨大的	(的,做,你)
 284:32 - 284:38		()
 284:47 - 285:00		()
 285:16 - 286:44	阿尔宙斯开始还不能一起放生，要怎么解锁来着	(°,符合,欧美)
 287:38 - 288:43	锁玩家就行孙可梦是无辜的放就放了吧还管游戏生活	(放,还,无辜)
 292:49 - 300:45	你这不熟悉就没必要去电脑城买   这不是一分钱一分货 这是当水鱼勒	(的,了,都)
 301:57 - 302:25	带两斤白胖	(两斤,带,白胖)
 304:18 - 304:25		()
 304:36 - 305:03	这贱兮兮的语气 对上了对上了	(对,上,接电话)




 305:33 - 305:56		()
 310:30 - 310:46	打通他就赚了别的随便	(打通,oh,随便)
 310:53 - 311:05		()
 311:25 - 311:49	cs啊	(种地,cs,小杰)
 312:45 - 313:31	要不是主播一直玩我才不买呢	(呜呜,主播,我)
 313:42 - 314:17	@老鼠爷爷 太坏了[流泪]	(阿比,有意思,可怜)
 315:16 - 315:29	我还在想要不要入呢 刚把朱紫加dlc玩完	(朱紫加,玩完,入)
 315:31 - 315:42		(用户,米,啊)
 316:55 - 318:20	可惜了，主播天生就是玩原神的料，可以过早的染上了塞尔达	(塞尔达,原神,，)
 324:56 - 326:42	奥德赛好玩啊	(奥德赛,老板,])
 326:53 - 327:04	高中生正要上学呢，就是早上	(正要,早上,上学)
 327:10 - 327:13		()
 328:00 - 328:07		()
 333:04 - 333:48	你别说，他们说里面的饭能减肥，没啥油水[看]	(难吃,油水,减肥)
 341:05 - 342:09	很简单  这就是宝批  骂完了是肯定要买要玩的	(学到,你,买)
 347:32 - 349:02	主播去日本参加宝可梦比赛是吧	(2,比赛,日本)
 349:29 - 349:54	宝可梦ZA	(宝可梦,Sxx,ZA)
 350:08 - 350:15	现在排位好多人用原始固拉多	(人用,排位,好多)
 351:15 - 352:57	需要下次吗   这版本全图鉴大乱斗  有X鹿的	(想,看看,鱼)
 357:36 - 358:55	有音效其实  但是要靠近	(音效,蓝色,其实)
 358:57 - 360:27	你认错人了  主播播一晚上分币不争  还要被认错 多伤心啊	(抽,认错,？)
 362:57 - 363:18		()
 363:43 - 364:09	主播你不播的这些天，是去跟热熔胶和解了吗	(天,这些,不播)




 368:57 - 371:01	我奶刚给我买的KFC早餐	(我,早餐,美食)
 371:31 - 372:29	不是亲切吗	(亲切,哈哈哈,睡前)
 380:35 - 380:53		()
 385:21 - 389:11	什么神来了，也打不过司马鱼	(鱼,司马,，)
 391:15 - 391:45	低分段炸鱼[花]	(炸鱼,低分,段)
 391:57 - 396:10	主播是很帅气的人吗	(，,的,学姐)
 396:46 - 397:45	而且gen10是流传出一部分数据  应该26年10月该有了	(gen10,今年,应该)
 399:31 - 399:59	中间不是hou吗	(能换,数值,纯)
