全场最高能：505:11	雪女一定要母的，用觉醒之石

其他高能：
 3:24 - 3:41	测试	(测试)
 3:42 - 4:24	孙怎早[dog]	(色,],[)
 4:42 - 4:44		()
 5:11 - 6:06	孙孙怎么今天不玩马造了	(调,了,咋)
 7:12 - 8:16	白胖BOT梦醒美神BO杨先生CRT绯月无机盐卖电脑的电解他们就能自动调好	(的,能,？)
 8:21 - 8:34	不然就是dy程序员啥够	(程序员,变量,设置)
 11:26 - 11:56	为什么碰到顶了也没输呀	(没输,2w,招)
 13:38 - 15:22	晚上好	(了,？,炸)
 15:47 - 16:58	底下那个灰格子一下子多起来不就怼死了嘛	(bgm,嘛,了)
 22:17 - 23:42	技不如爱孙	(不如,技不如人,isun)
 26:30 - 27:15		()
 28:31 - 28:57	0.0	(0.0)
 29:24 - 29:33		()
 30:33 - 31:11	可惜了	(技不如人,可惜,手累)
 36:24 - 38:19	感觉主播有一股尸臭味了	(],[,比心)
 40:53 - 42:31	最后一个可惜了	(],[,pjbsb)
 45:21 - 48:15	一想到要在这种环境工作，我就忍不住买个ns2，万一哪天我死了，到死也没卡主播墙角	(你,，,同事)
 48:21 - 48:38	是的是的	(是,是因为,的)
 49:46 - 49:51	这个第一了就换	(换,第一,这个)
 50:01 - 50:50	呜呜要早睡早起了，不能熬夜看破b直播了	(饼,了,看破)
 51:23 - 53:09	真技不如人了	(，,[,技不如人)
 59:00 - 61:09	主播，是上的分越多，技术越高明	(分越,多,的)
 62:31 - 64:26	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(LOSE,],[)
 72:42 - 74:09	胖哥来技不如人	(技不如人,，,主播)




 80:52 - 81:15	@填写名字 孙孙是0	(0,是,失联主播)
 83:01 - 86:02	这也能技不如人	(？,。,])
 86:46 - 86:51		()
 90:27 - 91:35	松饼昨天还跟孙求婚了	(？,还,，)
 93:49 - 95:35	主播不说话是没开麦吗	(？,了,棍)
 103:12 - 104:47	依旧技不如人[花]	(技不如人,了,哈哈哈)
 110:20 - 110:27	乐[花]	(花,乐,])
 110:34 - 110:50		(告白,气球,表白)
 111:08 - 111:42	我估计他都没看弹幕[看]	(看,对决,活人)
 112:18 - 112:29	在抖打bili能发出去吗	(发出,bili,抖)
 112:33 - 115:44	主播几天没有玩，啥手感都没有了，牛车也是，昨晚一堆失误	(了,],[)
 116:11 - 117:33	主播嘴被爱牛堵住了	(主播,了,])
 120:53 - 121:03	还好，不是早上11点	(比心,],[)
 123:16 - 126:48	孙我想问你最后三个人的时候为什么放慢输出 是怕最后单挑打不出伤害了吗	(了,登顶,])
 128:38 - 131:27	飞了	(了,图,🌈)
 133:06 - 135:34	生日快乐，把人关雅阁是吧	(了,踩,也)
 135:51 - 136:06	好难不玩	(十秒,无毒,好难)
 140:21 - 140:38	团内上舰长	(大嘴,红色,机制)
 141:45 - 142:28	太极限了	(冷,灯冷灯,，)
 143:47 - 144:44	雅阁了	(雅阁,哈哈哈,严谨)
 146:53 - 147:41	胖哥来就够了	(了,胖哥,就)
 153:07 - 154:05	狠狠打压胖哥，赞	(胖哥,打压,踩)
 161:24 - 161:51	意思是胖哥来就过，孙过不了	(意思,谢谢,孙过)
 162:03 - 162:17	紫蝴蝶是又拿自动图糊弄你爹	(🧊,糊弄,自动)




 163:30 - 164:10	风寻，你能把我垫到终点不	(不,忠实,差评)
 165:33 - 167:27	还有热熔胶	(还有,热熔胶,什么)
 168:08 - 171:04	孙哥我错了，上次你跟我说你炸一架飞往蒙古的飞机，我还以为你开玩笑呢[捂脸]	(了,，,的)
 172:01 - 173:22	读图能力不行，这么好的图自己不行不给赞[捂脸]	(读图,炮台,赞)
 175:15 - 175:27	那咋了	(又,咋,那)
 177:54 - 179:12	胖哥来过了	(了,！,守门)
 184:15 - 186:35	马里奥之眼是什么	(👻,马里奥,之眼)
 186:40 - 186:42		(楞,噔,图)
 188:02 - 189:07	主播图已经发给胖哥了 明天视频就出来了 你到时候去个水印发出来就行	(胖哥,了,吸)
 189:15 - 189:21	算你过了快点马车吧，不想看这个吃早餐	(看,按,早餐)
 190:18 - 190:26	探路图，飞[看]	(胖哥代播,一辈子,，)
 190:51 - 191:24	还不去练提肛，还在这打游戏，如果把肌肉搞松弛了，我想我们的关系到此结束了	(，,还,到此结束)
 200:09 - 201:30	@Yike 我做梦梦到4个小人儿对打了[看]	(👻,了,个)
 212:22 - 212:28		()
 214:29 - 216:42	这赞是你点的吗	(白胖,的,你)
 220:20 - 220:24	马里奥抗日模式	(模式,抗日,和解)
 221:45 - 223:05	胖哥人多好啊，白白胖胖的哥	(看,好,])
