全场最高能：215:39	走马灯车队加油，让主播进不了决赛

其他高能：
 1:33 - 2:37	结果你又睡了啊	(了,早,主播)
 4:27 - 4:56	主播被打压了，不能早点播	(点播,最佳,豆包)
 7:37 - 9:14	都是走两圈为啥不先拿下面最后拿上面的	(比心,],[)
 11:07 - 12:27	人胖哥都过了几遍了，你还在这一个团都过不去	(50,了,，)
 16:06 - 16:33	林克呀	(dog,！,])
 19:04 - 19:40	好图	(极限,，,图)
 21:54 - 22:45	@兰瑟德 早[爱心][爱心][爱心]	(],[,喝彩)
 23:00 - 23:44	差点没了	(差点,了,力气)
 25:03 - 28:05	应该10连倒立三龟的，可惜了	(的,了,])
 29:27 - 30:45	算你过了 ，飞了吧	(？,的,])
 31:56 - 32:03	可以的	(命,左右,10)
 33:03 - 34:27	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(蒙,牛,的)
 35:53 - 36:26	半针的人在这装	(送,总督,团内)
 38:45 - 42:59	松饼的锅掉了	(了,，,的)
 44:02 - 45:12	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(了,比心,过)
 54:28 - 57:32	不懂设计，紫蝴蝶，卵玩毒	(胖哥,],[)
 62:13 - 62:29	早说啊，你为什么不早说啊	(啊,早说,不早)
 62:33 - 62:46	[大笑][大笑][大笑]	(大笑,],[)
 73:16 - 75:13	这是季小麦做的1-1吧	(1,-,的)
 77:06 - 77:17	商店倒闭了	(怀旧,改机,商店)
 77:24 - 79:29	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(砖,的,可以)
 80:07 - 83:37	技术盲区了	(了,？,技术)




 87:36 - 87:41	在这居然刷到了好多年前看的主播，他乡遇故知的感觉	(他乡遇故知,好多年,居然)
 91:34 - 93:08	这种图白胖都是一命过的	(图,工艺,了)
 98:53 - 99:08	蒙的	(蒙,手艺,祖传)
 99:11 - 99:38	嘿嘿，笑死	(空心,绿壳,，)
 99:49 - 100:28	因为红壳喜庆	(真好,脾气,再点)
 101:53 - 102:30	现在有旗子也要喷	(旗子,比心,])
 102:43 - 103:08	开始走马灯的意思	(💋,意思,么)
 103:20 - 104:17	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(团内,主播,来)
 104:32 - 107:23	胖哥来了，不用灯冷一命过	(过,了,团内)
 108:24 - 109:55	不会的图可以问胖哥或者卖电脑的	(的,跳,])
 110:08 - 113:41	那看管道工顶蘑菇又能获得什么呢	(获得,的,？)
 115:07 - 116:20	关注你好几年了，你的细节对我这种新手确实很有用，直播我也很喜欢看，祝你越...	(你,，,很)
 125:20 - 125:27		(灯楞灯,楞,你好)
 129:18 - 129:28	没看见再来一次	(看见,一次,再)
 130:25 - 130:38	到时候变成主播教唆网暴了	(雷是,网暴,教唆)
 141:30 - 141:47	分币就可以逼话了吗	(了,就,逼话)
 142:08 - 142:17	好难不玩	(好难,玩,不)
 142:50 - 142:53	这一关好像在好几年前看过超级小桀打过，然后打了好几个小时[捂脸]	(打过,这一关,好几个)
 142:59 - 144:28	说他妈什么呢	(他,说,卡)
 154:41 - 156:35	别逗你胖哥笑了	(胖哥,你,了)
 158:14 - 159:14	算你过了 去水印吧	(],[,爱心)
 166:14 - 166:15		()




 166:31 - 167:40	主播以前也是那个平台的 活好像不够狠 就一个柜子	(第一,是,世界)
 168:11 - 168:13		()
 168:21 - 169:05	ztmex[dog]	(ztmex,奇侠,主播)
 174:31 - 174:51	今天过不去了	(哈哈,year,new)
 187:20 - 188:26	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(哟,娶,柜子)
 190:28 - 192:24	666抽一波	(牛,666,牛车)
 193:38 - 195:02	原来主播是去水印的，我还以为自己过的呢[看]	(],[,去)
 197:59 - 198:43	胖哥要来寻你了	(你,来,都)
 204:49 - 204:54		()
 205:10 - 205:59	主播看过一部叫美食天降的电影吗	(回来,的,了)
 208:00 - 208:13		()
 208:51 - 209:22	你就说中没中雷吧	(没,爱不释手,中雷)
 210:10 - 211:31	那咋了	(该,咋,？)
 213:37 - 219:08	走马灯车队加油，让主播进不了决赛	(555,？,你)
 219:45 - 221:02	主播打这么多年游戏也该配个眼镜了	(了,该,同步率)
 222:33 - 223:19	该 蘑菇没了	(你,走,该)
 226:28 - 228:26	没有你盖欧卡555早就9000了	(555,了,盖)
 228:48 - 229:16	555换成小粉了，主播为什么不换成马里奥	(换成,难救,单)
 236:01 - 236:20	@用户1981361459420 这不是我取的名吗[看]	(看,吗,名)
 246:10 - 247:30	可惜了	(可惜,！,555)
 251:59 - 252:09	蓝龟壳怎么破的	(破,蓝,龟壳)
 252:24 - 254:12	加纳（娇）	(惠普,主播,吸)
 257:43 - 259:00	ztmex夺冠	(ztmex,好,是)




 268:05 - 269:56	第二也没戏了	(第二,了,扔)
 270:06 - 271:59	车太重了，人也太重，他们最轻的走这个悬崖就很完美[dog]	(的,砸,爱孙)
 276:42 - 278:01	卡他卡他	(哈哈哈,他,哈哈哈哈)
 280:58 - 281:38	好[哇]	(好,悲哀,该)
 284:04 - 285:18	笑了 都不一定见得到瀑布呢	(可以,主播,去)
 289:48 - 292:57	@歡 加纳[爱心][爱心][爱心]	(哈哈哈,哈哈哈哈,])
 294:37 - 295:09	能讲讲甜心战士的事吗，没听过呢	(战士,甜心,雅阁)
 295:16 - 295:46	我也没听过，她也有故事吗	(谁,也,吗)
 297:38 - 299:55	直接拉黑5237，不就不能看了吗	(了,，,不)
 302:45 - 303:03	不还有肖像权吗[哇]	(肖像权,抽象,测试)
 303:05 - 303:07		()
 305:50 - 306:35	还是没上班导致的    真上班他哪来那么多时间搞这个	(上班,搞,盒)
 322:41 - 323:04		()
 327:24 - 328:22	像是閃光頭目司馬魚嗎	(可以,亦,目司馬魚)
 329:55 - 331:01	母性的光辉是什么典故[哇]	(典故,],[)
 346:02 - 346:44	不懂就问 主播是在玩马里奥吗，天天不是下水道就是飞檐走壁	(飞檐走壁,下水道,问)
 347:01 - 347:08	随孙子	(随,孙子)
 348:35 - 349:36	赛尔号	(贪婪,漏,BB)
 349:50 - 350:19	对，我俩说的是同一个	(同一个,我俩,对)
 350:40 - 351:00	孙子看不到孙可梦打不到	(孙可梦,看不到,路过)
 351:44 - 352:10	现在多少果子了	(果子,多少,现在)
 352:34 - 352:43	希腊奶，我太好骗了[委屈]	(骗,我太好,奶)
 353:24 - 354:46	太喜欢了[哇]	(],[,哇)




 355:07 - 355:33		(这时候,bo,天天)
 355:56 - 356:18	胖哥寻他[哇]	(他,字母,魅惑)
 356:26 - 358:08	如果主播這時間播奧德賽 看的人或許能翻倍吧	(的,人,吧)
 358:12 - 358:48		(花值,好几百,上花)
 359:18 - 359:35	刺耳在哪	(刺耳,哪,在)
 361:15 - 361:59	也不多啊	(4,以为,10)
 370:14 - 370:31		()
 370:50 - 371:00	主播没俭过，一直在奢	(奢,没俭过,一直)
 371:05 - 371:27	不好	(好家伙,不好)
 371:36 - 373:30	我听见闪光母腕力的声音了	(的,了,我)
 379:56 - 383:21	播一天等于播两天，可以倒闭15天	(眼睛,],[)
 385:29 - 388:33	主播白袜什么时候上链接[哇]	(],[,哇)
 389:47 - 391:03	主播你的甜甜圈需要男士凭借身份证购买吗	(甜甜,圈,购买)
 391:38 - 392:02	为什么不堆到8000	(概率,不堆,事件)
 392:33 - 392:48	送的不是头目	(不是,羊,头目)
 395:11 - 395:58	《不是头目》	(头目,不是,剧情)
 397:51 - 399:38	bili能看到暴暴牙的号雅阁了[哇]	(🚀,的,？)
 401:04 - 401:14		()
 408:56 - 409:57	今年还有饼饼生日歌吗[看]	(饼,],[)
 410:04 - 410:11		(倒闭,原来,这么)
 410:24 - 413:08	希特隆电系道馆馆主 在密阿雷市	(地区,巴黎,卡洛斯)
 415:10 - 416:22	你当时直接问我我帮你找不就行了	(我,被窝,找)
 418:05 - 421:00	胖哥可爱死了	(可爱,胖哥,了)
 433:17 - 435:07	你这血糖也只配喝零糖了	(饮料,零糖,])




 436:10 - 443:12	这个游戏要是能把运动燃烧的能量给胡帕，主播就能瘦了[看]	(可逆,了,运动)
 445:52 - 446:13	高等的电电鼠	(电电鼠,高等,锁)
 454:52 - 455:35	主播还是忘不了他的砍伐证	(证,的,拆)
 455:55 - 456:00	以后参加圣杯战争可以通过这个召唤主播出来是吗	(播出来,召唤,通过)
 465:03 - 467:01	确实是走马灯	(地,终末,走马灯)
 467:26 - 469:05	我记得刚刚好像是闪光特效后听到小箭雀	(小箭雀,找,？)
 469:16 - 469:35	呀哈	(哈,呀)
 473:55 - 475:04	结论：主播啥都没有	(啥,没有,比心)
 479:52 - 480:08	主播在这个图闪过的火系宝可梦可多了	(火系,闪过,宝可梦)
 480:10 - 480:33	全閃圖鑑還差多少	(另一边,還差,圖鑑)
 483:35 - 483:49	烂大街猴子	(大街,烂,切)
 491:33 - 492:19	乐	(乐)
 496:46 - 497:03	什么是捕捉机会	(机会,捕捉,什么)
 497:49 - 498:48	在刷啥	(可以,主播,])
 502:40 - 503:19		()
 503:34 - 505:38	有点晕了，加纳了	(加纳,了,88)
 511:23 - 513:28	松饼偷懒睡觉了	(北京,？,松饼)
 534:19 - 535:56	一般要刷多久	(要,一律,五分钟)
 539:23 - 542:42	现在在刷啥	(好玩,帕鲁,幻兽)
 543:00 - 545:49	分布比较广泛	(就是,不是,设定)
 546:33 - 547:56	还不休息	(动,合同,签了)
 548:05 - 551:54	建议改成家乡时间，更容易出闪	(家乡,改成,时间)
 552:20 - 554:05	8月	(月,奥古斯都,不开)
 554:59 - 557:06	主播天天玩到中午你说好玩不好玩	(暴击,好玩,，)




 562:11 - 563:38	狗屎日厂向来都没低保这个想法	(低保,伪真,向来)
 564:58 - 567:17	为啥这么不喜欢出蘑菇	(蘑菇,低保,叫)
 570:33 - 571:14		()
 573:16 - 575:36	你看，为了蘑菇主播都调时间了，这是别的宝可梦没有的待遇，可见主播多想要一个蘑菇	(玩,主播,的)
 577:16 - 578:28	检测到马灯就不闪了	(就,条件,检测)
 582:40 - 583:36	孙在刷全图鉴闪	(孙在,样子,50%)
 588:02 - 589:28	饼还在吗	(的,饼,解包)
 593:24 - 594:21	这是在刷什么	(一遍,刷,无聊)
 597:04 - 598:37	然后闪了	(闪,了,然后)
 606:33 - 608:11	绿的好像	(到,刷,绿)
 612:15 - 613:08	头目闪呀	(结束,头目,呀)
 618:03 - 618:27		()
 618:48 - 620:05	才9小时42分钟，不算通宵	(通宵,42,？)
 620:14 - 621:24	是不是压住按键了	(压住,按键,是不是)
 621:59 - 622:02		()
 629:15 - 630:00		()
 633:21 - 635:16	什么草1，真吓人[看]	(吓人,霉,单纯)
 635:49 - 638:48	你都在什么平台播	(孙,在,认了)
 641:12 - 641:42	音符在哪里	(哪里,音符,在)
 641:56 - 643:50	搜索了底下是熊的视频	(&,开机,熊)
 645:10 - 646:21	这两个你不是闪了吗	(两个,睡,ム)
 647:17 - 648:42	因为你不在迦勒尔地区  怎么直接进化	(尔,迦勒,形态)
 648:54 - 650:49	出闪光的时候会有音效嘛	(音效,会,区域性)
 657:28 - 657:47	臭老九是啥	(臭老九,啥,是)
 659:02 - 659:16		()




 659:53 - 662:03	当初的红绿蓝黄里，野外的10级凯西也是见面就传送	(也,凯西,跑)
 663:27 - 664:27	那咋办  悄悄过去吗	(悄悄,逃走,咋办)
 670:17 - 673:23	我哀嚎这么久不就是因为现在刷不了[看]	(],[,我)
 674:26 - 674:53		(刷,什么,这)
 675:33 - 675:51		()
 677:37 - 678:22	原来还可以这样刷吗	(原来,这样,刷)
 679:08 - 680:10	刷闪大概多少次出一次	(刷,全图,sl)
 680:18 - 680:29		()
 681:44 - 682:16		()
 682:32 - 683:14	只能等ns2了估计	(估计,ns2,只能)
 690:52 - 691:25	那就纯倒霉	(倒霉,纯,那)
 693:39 - 696:22	我看你是完全不懂嗷	(看,在,志远)
 697:48 - 701:49	凯西都8000了，你还在这刷	(],[,卡)
 702:08 - 702:32	居然还在播	(中饭,居然,马上)
 703:01 - 703:27	播一宿	(播一宿,?)
 706:35 - 707:15	抓了得了	(抓,了,得)
 715:05 - 715:57	这个机器人有点意思	(自,上吊,后悔)
 717:47 - 718:59	要么跑路 要么往死了播	(要么,了,铃铃)
 722:15 - 723:31	主播玩五分钟za怎么了	(],[,爱心)
 727:35 - 731:26	买了za之后，ns会被洛托姆夺舍吗	(爬,一万只,浑身上下)
 731:39 - 733:01	这又在刷闪光吗	(爱心,又,])
 733:08 - 736:53	这不是pdd的套路吗	(pdd,游戏,上学)
 743:02 - 743:37	孙还在	(孙,还,在)
 743:53 - 744:09	主播还在就算了，为什么昨天晚上的弹幕也在	(在,昨天晚上,弹幕)
 745:08 - 745:26		()




 747:43 - 748:32	饿了么都倒闭了	(饿,了,么)
 748:49 - 748:54		()
 749:25 - 751:40	还真是	(了,哈哈哈,饿)
 752:16 - 753:28	闪光头目主播是不是白白胖胖的	(主播,白白胖胖,大大的)
 757:23 - 758:38	@🌈木木木木🕊 真的呀，自从刷到人民日报diss这个我基本都没刷到过了	(@,吧,都)
 764:06 - 765:45	给你闪了你还骂他老九，听了得多伤心啊	(老九,了,多)
 772:45 - 772:59	要打壓金河田了嗎	(這個,打壓,時候)
 773:02 - 775:04	这不就是手游的抽卡调几率嘛	(npc,的,闪率)
 775:37 - 777:06	没有赌博性质的游戏不是好游戏	(大笑,次元,])
 793:22 - 796:22	昨晚我3点睡的，我都起床了还在播	(播,我,了)
 797:15 - 799:53	我长这么大还没见过人扎马桶，看一看怎么了	(扎,马桶,看)
 802:15 - 803:59	主播只是忘记关直播了	(喷喷,主播,了)
 810:40 - 815:18	刷小的随便进化了	(了,坑,刷)
 815:55 - 817:38	一玩宝可梦直播时长就拉满了，这么喜欢这个游戏吗	(伊布,孙子,，)
 824:43 - 825:13	异次元等冷果	(冷果,异次元,等)
 825:29 - 825:51	孙子看这一地的和补丁一样的支线任务，就不做点吗	(补丁,一地,任务)
 836:19 - 836:48	甜白胖那边有一个球刚才	(甜白,那边,球)
 840:30 - 844:42	下水道是主播的快乐老家，天亮就出发	(臭水沟,里,在)
 845:37 - 847:02	你是不是标错地方了	(你,了,做个)
 849:00 - 850:12	怎么看见个狮子都感觉眉清目秀的	(眉清目秀,狮子,林)
 853:44 - 854:26	什么警报声	(警报声,什么)
 856:04 - 856:52	还不睡觉	(流汗,语,无)




 857:46 - 860:40	播什么都行，反正都是熬饼，又不熬其他观众	(哞,],[)
