全场最高能：15:48	难的要命，不如直接飞了

其他高能：
 1:44 - 2:04	晚上好饼饼[比心]	(好饼,下播,下午)
 2:19 - 2:35	@Promise海神 晚上好[爱心][爱心][爱心]	(爱心,],[)
 4:24 - 4:41	孙怎晚	(出,时间,极限)
 8:45 - 10:29	什么样的主播就有什么样的水友[看]	(的,？,就)
 13:35 - 17:25	难的要命，不如直接飞了	(　,？,了)
 20:05 - 20:21	这真的算巨魔图吗	(士,大戾,？)
 20:52 - 22:11	无机盐是谁	(无机盐,谁,不)
 23:51 - 24:19	主播你麦坏了	(主播,你,猪史)
 25:56 - 28:38	饼饼晚上好[爱]	(的,bot,])
 32:09 - 32:47	好图	(灯冷灯,冷,好图)
 37:38 - 37:45	乐	(乐)
 42:29 - 43:18	差点嘎	(？,666,差点)
 49:00 - 52:35	主播，把我从黑名单放出来，我是人脉，我给你联系胖哥，他就不用叮咚[看][...	(],[,比心)
 52:50 - 53:35	蒙的	(噢,🎂,蒙)
 53:53 - 54:31	这不多人图嘛	(老板,啥,？)
 54:53 - 55:29	昨天又送的啥	(钻,],[)
 58:39 - 60:33	慢了	(啊啊啊,手柄,了)
 60:53 - 61:19	9秒就得进第二个门了	(了,吗,就)
 64:57 - 65:07	帅哦[看]	(帅,知道,快)
 65:33 - 65:41	手柄批发商做的图	(有福,女粉,批发商)
 66:02 - 66:10		(laji,啊)
 66:59 - 69:15	连发手柄早过了	(了,越来越,手柄)
 70:00 - 70:48	国内慢一秒	(过,了,慢)
 71:04 - 71:09		()
 73:42 - 74:09	这孬图有啥好玩的	(折磨,饼,为什么)
 77:59 - 78:13	6	(6)
 84:55 - 85:44	那咋了	(哈哈哈,了,那)




 87:36 - 88:16	我有点累，你自己动	(？,],[)
 97:04 - 97:17		()
 100:27 - 100:42	大戾士	(看不清,啦,金光闪闪)
 103:29 - 104:34	背景是胖的	(？,九折,什么)
 105:38 - 107:15	是为数不多的出事没有影响到你的东西	(装,的,是)
 108:30 - 109:10	主播和金河田哪个威力大	(哎,主播,蒙)
 109:27 - 109:29		()
 110:51 - 112:13	胖哥来就对上了	(胖哥,上,对)
 118:55 - 119:36	问啥意思的下一个哔哩，搜马造灯友会	(啥意思,走马灯,灯友会)
 121:45 - 122:02	用这种语气问问题，给小朋友都教坏了	(教坏,小朋友,语气)
 132:33 - 133:12	胖哥偷了	(？,有根,走马灯)
 133:23 - 133:26		()
 134:04 - 134:13	一看就是读图能力不行，找半天找不到手柄线	(找,一看,半天)
 134:55 - 136:08	什么是两小人对打	(打,对,小人)
 138:37 - 138:58	胖哥来一命过	(电脑城,白,这里)
 139:15 - 139:35	bot怎么又厮了[花]我去看看	(怎么,厮,好处)
 144:50 - 145:08	重新搭建一个	(搭建,耶,重新)
 146:18 - 148:16	甜心战士怎么不给雅阁拉黑	(甜心,拉黑,战士)
 151:53 - 152:41	这不会真的有什么神秘技巧吧	(666,pj,蒙)
 154:18 - 156:00	你按照他说的，玩牛车，不就行了吗	(不,的,他)
 165:41 - 168:00	主播如果让你选一个做搭档你选crt还是杰哥	(_,],[)
 170:25 - 172:49	牛车了	(555,号,牛车)
 174:58 - 176:08	你只能看着盖欧卡赢	(哈哈哈,你,欧卡)
 179:43 - 181:03	避战555了	(？,555,了)




 185:08 - 185:53	你最好不知道	(最好,你,录像)
 189:55 - 189:58	出色的道具运用	(运用,出色,道具)
 190:09 - 191:59	哇登顶	(666,！,啊)
 193:29 - 194:26	主播你卡了	(了,卡,主播)
 202:30 - 202:41	就仨不是蘑菇里边俩还是炮	(里边,炮,仨)
 203:32 - 203:59	刷闪电呢	(闪电,target8000,刷)
 204:41 - 206:35	好好好	(哈哈哈,了,好)
 209:45 - 210:39	刷这个闪光的时候，永远不可能带毒和草	(打压,刷,你)
 215:06 - 216:56	无能的主播难道只能眼巴巴看着水友登顶吗	(哈哈哈,只能,了)
 227:46 - 228:42	成守望先锋了每一个人头顶一个血条	(先锋,守望,哪个)
 230:10 - 233:07	你打不中人当然没区别了	(了,骂,主播)
 233:56 - 235:39	你就不怕哪天这个游戏把你给气死了	(0,你,游戏)
 238:43 - 239:08	妙子二手车	(二手车,妙子)
 239:32 - 243:42	你还管上队友的生活了	(主播,队友,了)
 248:50 - 249:19	主播怎么是白袜子	(白袜子,怎么,是)
 250:52 - 251:47	ow刚一口气出了五个新英雄，这游戏还会出新英雄吗	(英雄,还会,环境)
 251:49 - 254:18	switch不能画画不方便谈女朋友了	(女朋友,了,，)
 259:12 - 259:18		()
 259:36 - 261:17	你觉得会有正常人在6:50的星期四早上玩这个逼游戏吗	(玩,早上,这种)
 267:54 - 270:13	我还真的以为这游戏不更新了那会	(的,更新,了)
 271:36 - 271:47	胖哥一个就够了	(就够,了,赢)
 273:29 - 273:35		()
 274:36 - 275:00		()




 278:28 - 280:43	要是主播枪法有你一半好 主播也不用在这躺赢	(主播,花,也)
 281:01 - 281:26	队友会不会太强了	(太强,不会,会)
 283:44 - 284:06	主播有胖哥一半能打吗	(吗,好点,一半)
 288:29 - 288:51	要拆队咯	(詹姆斯,拆队,咯)
 289:46 - 290:44	今天起灵把bot搞没了	(把,没,具体)
 293:23 - 293:43	那咋了	(咋,那,了)
 296:39 - 298:18	这毛刷也太过分了吧	(11,毛刷,了)
 301:53 - 302:34	而且还是3个的	(弟弟,杂杂,盡力)
 302:37 - 303:11	杂鱼队友们，快说谢谢主播	(谢谢,快,说)
 303:53 - 304:12		()
 305:06 - 307:33	主播4月玩不玩朋友收集 把同事捏进去谈甜甜的恋爱啊	(捏,同事,玩)
 311:18 - 311:45		()
 313:17 - 313:43	主播这战绩是不是负的	(负,战绩,那能)
 314:06 - 314:26	就是火力不足啊 长枪5-13哪来的输出	(长枪,火力,弓)
 314:34 - 314:41		()
 315:10 - 315:23		()
 318:43 - 319:01	LOSE	(LOSE)
 326:44 - 328:27	对面水桶冲阵杀人  还把你们资源全打出来了	(的,好,版本)
 331:48 - 332:36	首先对面是双枪   有左右横移 的	(对面,横移,左右)
 336:48 - 337:47	隊友不知所蹤	(哈哈哈,早餐,拔线)
 338:28 - 340:09	好的，那我继续爆料了	(爆料,的,x555)
 341:14 - 341:48	这队友压着人家门口打	(压着,家门口,终于)
 343:58 - 344:38		(7,太惨,孙孙)
 345:41 - 346:49	被堵泉水了	(999,传说,泉水)
 349:00 - 349:22	哦，还赢了一句	(几连,一句,了)




 349:47 - 355:02	这游戏应该是孙宝每天直播戾气最大的了，比马造多人还急	(的,],[)
 355:08 - 355:14		()
 364:40 - 366:09	可惜生着病抵抗力太低，绝对吃不了这些，我虽然之前不过敏，但不想冒这个险	(，,太多,过敏源)
 366:24 - 366:47	不能看了再看我血压就上来了	(看,血压,上来)
 366:52 - 367:00		()
 375:59 - 376:13		()
 376:19 - 378:53	虎鱼和瓜子杀再多队友就是不运球，气死你	(-,你,杀)
 380:24 - 381:20	这都有分上哦吼吼吼，我在这躺着不动也有分哦吼吼	(吼吼,这,哦)
 383:39 - 385:57	枫叶枪都杀了24个	(24,枫叶,杀)
 390:17 - 392:38	猫猫能一直在天上飞不下来，但是有的人还在跑步，有的大妈还没用位移	(猫猫,个,人)
 395:20 - 396:49	我现在只想在3D区看到安燃	(哭,笑,])
 416:14 - 416:19		()
 418:18 - 419:49	鲨鱼：怎么又是这孙子啊	(鲨鱼,怎么,这)
 421:15 - 421:23		()
 422:07 - 422:14		()
 422:46 - 424:16	都换模式了主播还没赢呢	(了,呢,没)
 424:39 - 425:01		()
 426:10 - 426:27		()
 426:34 - 426:47		()
 427:25 - 428:05	北海道大学的可以吗	(可以,吗,大学)
 428:08 - 428:23		(高材生,985,任天堂)
 428:33 - 431:55	主播被搞黄了	(了,黄,搞)
 432:14 - 433:40	555有人找你	(555,黄,又)
 433:55 - 434:18	嗯对味了，就是这个感觉	(牌位,左上角,对味)
 435:13 - 437:01	确实，混子如果是最c的，那这把大概率是寄了	(比心,啊啊啊,])




 437:38 - 439:28	对面被翻盘了呀	(对面,要说,分数)
 441:45 - 444:42	主播找到队友了吗	(燃冬,鸭架,仨)
 445:27 - 445:49	可惜了 上把主播刚有起色	(有起色,刚,可惜)
 446:00 - 446:04		()
 446:10 - 447:17	主播把对面都搞黄啦	(啦,！,黄)
 453:17 - 454:01	师傅你是做什么工作的	(赛点,之力,还手)
 463:08 - 463:29	走马灯	(走马灯)
 486:24 - 488:37	喷射战士3	(剧情,国产,折戟)
 489:35 - 496:15	我这几天努力上分，争取年前可以拿闪电劈主播[哇]	(，,],[)
 500:41 - 501:01		()
 513:18 - 513:46		()
 514:35 - 514:36		()
 514:42 - 515:00		()

