全场最高能：160:42	主播快吃成卡比兽了

其他高能：
 1:03 - 1:06	睡醒了就播，别过少爷生活	(比心,],[)
 8:32 - 9:46	这陆毅就不像好东西	(尤其,？,合作)
 11:57 - 13:34	最开始不是写了个3吗	(哈哈哈,3,选)
 15:37 - 16:53	终于玩多人了，美美化身大戾士	(大戾,士,走马灯)
 17:17 - 17:41	小戾士	(纪晓虹,中立,小戾)
 18:02 - 21:11	怎么胖哥有爱牛纪晓岚，你就没有，是不是你技不如人	(卡,纪晓岚,他)
 23:24 - 27:12	马里奥对小粉做了什么[dog]	(了,哈哈哈,？)
 27:19 - 29:46	怎么都是不好的图啊，我看是人有问题	(啊啊啊,了,比心)
 32:01 - 35:49	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(，,胖哥,主播)
 36:19 - 39:32	还有题库	(的,了,？)
 47:40 - 48:58	流鼻涕的赢了	(卡,他,的)
 57:15 - 58:18	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(胖,躲,哇)
 59:23 - 60:09	你这是典型的白胖思维 不想让别人喝汤	(你,7000,我)
 60:14 - 62:00	yage走了	(\,/,😭)
 63:17 - 65:19	爱孙让肉了	(爱孙,，,了)
 67:38 - 69:51	你认错主播了  这是超级小桀	(，,了,你)
 70:09 - 70:31	直播这位是白胖BOT梦醒美神BO杨先生CRT无机盐卖电脑的一起结婚生的	(，,打胖,几波千本)
 70:38 - 71:41	大力士[dog]	(?,了,？)
 71:47 - 73:23	二选一找不同	(蒙,的,了)
 74:57 - 75:55	@奶油松饼bot 再刷屏t了[捂脸]	(@,],[)
 76:05 - 76:35	技不如人[妙]	(技不如人,7000,])




 79:33 - 80:35	没法留汤不会送人 孔融让梨的美德 你玩个日本游戏全忘了	(啵,],[)
 80:46 - 81:13	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(开,说,，)
 81:32 - 81:56	主播怎么不留汤，太坏了	(666,主播,汤)
 85:33 - 87:20	在孙孙这7000就是登顶，比不了胖哥	(！,？,了)
 102:21 - 102:47	这是给读图能力卓越的人设计的，比如胖哥	(不如,，,的)
 110:06 - 110:28	谢谢关注💗	(更新,搞定,稍后)
 110:49 - 112:08	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(可以,钻洞,，)
 114:04 - 117:28	你这一说CRT的眼线就要进小群了	(骂,crt,，)
 117:43 - 117:50	要带弹簧的啊	(弹簧,带,要)
 120:45 - 122:02	主播为什么不玩多人对战了	(主播,666,诶)
 122:29 - 123:06	苍月准备回来播马造了[捂脸]	(播马造,苍月,二环)
 129:07 - 129:19	币需要吃	(走马灯,币,需要)
 131:23 - 138:11	卡了	(了,卡,的)
 139:20 - 139:23	对角线的关系	(刹住,关系,对角线)
 139:37 - 140:08	人家胖哥怎么能过	(过,嘟嘟,])
 140:17 - 140:30	司马醒	(第一天,醒,xxx)
 144:20 - 144:38	是松饼自己编的弹幕	(万岁,射手座,编)
 154:14 - 154:35	joy fea day how bee how	(how,@,了)
 160:29 - 162:47	主播快吃成卡比兽了	(了,卡比,主播)
 197:44 - 198:17	这局灯顶	(大戾,士,坏掉)
 200:10 - 200:40	布布真简单啥意思	(八,角色,选牛)
 200:50 - 201:13	主播被牛了吗	(笑,牛,死)




 205:12 - 207:29	第二开炮第一才会停，但已经到最长时间就停下了[dog]	(你,了,寻)
 208:08 - 209:23	这把要是登顶了，方知含金量[dog]	(啊啊啊,抓狂,活人)
 209:32 - 210:16	火花多好啊，3级状态[哇]	(啊啊啊,啊,多好)
 212:55 - 213:04		()
 213:13 - 213:44	主播已经塌房了，看似预测雷很准，其实全是遥控直播间爱孙打的	(哈哈哈,小连招,大戾)
 216:27 - 218:36	输给水友不丢人 主播已经很棒了💗	(了,水友,主播)
 219:06 - 219:54	我还没见主播赢过ztmex[捂脸]	(望,庐山,瀑布)
 227:17 - 230:24	盖欧卡:谁的红龟啊[dog]	(了,的,欧卡)
 240:17 - 240:27	pubg主机端用手柄好玩[dog]根本不用压枪	(压枪,端用,主机)
 240:43 - 241:35	@梦幻马奇 再让他选直接不直播了[dog]	(],[,再)
 261:24 - 261:36		()
 268:39 - 268:48		()
 275:42 - 277:00	[捂脸]我怎么记得二代是要10个蛤蜊	(蛤蜊,初代有,二代)
 278:04 - 279:33	玩咯	(乐,不成,投小)
 281:54 - 282:24		()
 283:17 - 284:02	乐[dog]	(两把,狙,乐)
 290:28 - 292:19	那你看得懂熱熔膠嗎[哇]	(分叉,尿,熱熔膠)
 292:33 - 297:48	刚来，是牛车完事了吗	(],[,了)
 298:00 - 300:14	那咋了	(那,咋,嗑瓜子)
 300:37 - 300:48		()
 301:15 - 301:47	这回喜庆了	(这回,喜庆,手机)
 301:51 - 304:49	太好了那我是八千[dog]	(，,是,那)
 306:31 - 309:32	这游戏八百年前打工打的金名片就没玩了[dog]	(的,？,^)




 311:14 - 313:21	这也是小人对打吗	(小人,对,赢)
 313:46 - 314:02	谢谢关注💗	(味真族,谢谢,关注)
 314:07 - 314:13		()
 315:20 - 315:33		()
 315:55 - 316:15	原来这是新的司马鱼	(Switch,司马,鱼)
 319:59 - 320:06		()
 328:37 - 329:08		(开,了)
 336:14 - 337:02	这队友真软蛋哎  说真的	(这,说真的,软蛋)
 337:27 - 337:49	666	(666)
 339:32 - 341:08	主播的队友全死了  还好掉了	(我們,对手,了)
 344:51 - 346:09	对面毛刷感觉就是最坑的那个	(切人,覺,最坑)
 346:16 - 347:06	HOW	(打伞,HOW,还有)
 351:15 - 352:40	我想说  对面的金喷能杀人吗	(想,退出,受辱)
 361:20 - 365:18	这个好难玩啊，之前玩了几把	(了,对面,玩)
 366:34 - 367:11		(羊毛,薅,逮)
 373:05 - 374:38	文森射程是毛刷里最长的吧	(文森,射程,两个)
 379:44 - 380:47	刚才那个飞起来落地的大招往脚底下扔雷能炸死吗	(雷能,脚底,招往)
 382:51 - 384:29	等着你呢	(复刻,設計,遊戲)
 390:03 - 391:03	泪目[dog]	(了,過年,為)
 391:33 - 391:37		()
 392:14 - 392:18		()
 392:43 - 395:29	玩斯普拉顿的多少沾点麦当劳	(怒气,的,666)
 397:10 - 397:45	什么游戏	(什么游戏,？)
 399:29 - 400:37	笑死	(偷,死,嚇醒)
 401:53 - 402:07		()
 404:31 - 405:45	反正晋级赛伞不会在了	(赛伞,别枪,拯救)
 408:06 - 409:08	这啥游戏	(这,不过,遁)




 409:12 - 410:46	玩这个游戏的男生是不是都有点喜欢男生，礼貌求问	(男生,滚,52)
 411:01 - 415:18	虽然我玩的这个游戏不多  但是性取向和这个游戏没关系吧	(的,哎,说)
 416:28 - 417:35	主播如果当语文老师了遇到学生有这种困扰也会像这样开导吗	(双掷,单刀,开导)
 417:53 - 420:39	这游戏就是有中文的呀  只是人家ID没办法翻译	(的,吗,了)
 421:27 - 422:46	那你关游戏不就没法三连输了吗	(三连输,准备,了)
 426:50 - 428:49	因为我就是饮料无脑1换1上的S+	(的,饮料,适合)
 432:26 - 433:35	这1-6的啥情况啊	(6,1,大)
 438:46 - 438:59	还有机会逆转吗	(逆转,机会,还有)
 442:57 - 445:02	主要是你贴脸上  他没输出	(澡盆,你,是)
 445:24 - 448:09	这游戏有技术也没办法多打  本质上就是有一个坑的除非很牛逼才能带动	(游戏,色弱,大戾)
 452:01 - 452:05		()
 452:13 - 453:10	我也要去看看啊	(啊,我,好久)
 465:13 - 466:23	单纯来喷人的  无视他就行了呀	(对,来,侠)
 466:32 - 466:47	他就是单纯喷人	(喷人,单纯,就是)
 469:12 - 469:18	成天就知道甩锅	(甩锅,成天,知道)
 476:20 - 478:32	快负胜率了，还有救吗[dog]	(了,],[)
 479:52 - 480:11		()
 480:52 - 481:38	啥游戏	(感谢,关注,啥)
 485:55 - 486:02		()
 486:53 - 491:26	@Stevenyau  没有啊  已经很久之前就是2小时2个模式轮换的真格了	(模式,2,玩)
 496:02 - 501:07	我在你的骂声里昏睡了一钟头吗[dog]	(了,的,])




 501:48 - 503:26	他那发言我都怀疑不像有游戏的样子，单纯来送木琴求骂的[dog]	(],[,花)
 503:28 - 504:33	也没见到自己家的滚筒建功立业了呀	(的,，,赢)
 506:43 - 508:21	主播说的那个刷子多就能赢的刷子是哪种刷子	(小学生,刷子,能)
 509:09 - 509:27	乐[dog]	(怎么回事,乐,dog)
 525:17 - 526:05	不是说无脑绕的  有人会等着你的	(绕,无脑,第)
 530:21 - 531:13	别急，还有时间力挽狂澜	(真不错,力挽狂澜,别急)
 532:14 - 534:38	可惜了[dog]	(了,附加,数值)
 541:18 - 543:35	对面也有个3-7的  没啥办法  这游戏不是你杀的多就能赢	(大,不是,这)
 546:30 - 546:35		()
 549:39 - 550:39	队里得有一个菜逼，系统才会给对面匹两个	(有,一个,匹)
 561:02 - 562:05	每次都是被这个枪一脚踢死	(枪,这个,俘虏)
 562:14 - 562:49		()
 565:44 - 566:20	为何不跑	(为何,跑,不)
 566:56 - 567:12		()
 569:12 - 572:46	对方一下就盆满钵满，你却用这种枪对得起队友吗	(你,队友,就)
 572:55 - 573:17		(不幸,真,做)
 574:06 - 574:46		()
 575:24 - 576:43	主播，我到东单公园了，我把位置提前占好了，你来了咱俩直接就约	(我,总,，)
 577:42 - 581:51	鱿鱼的香味比章鱼好多了	(章鱼,香味,鱿鱼)
 591:02 - 591:18		()
 595:17 - 595:35	是的	(是,的)
 598:42 - 598:52		()
 598:59 - 602:17	我觉得你用这种枪不配赢，你不用轮椅配吗	(你,赢,轮椅)
 602:29 - 606:45	嚯嚯 这游戏也s+了 还差多少登顶	(的,排位,比赛)




 610:00 - 610:10	应该弄个小帽子的	(小帽子,弄个,应该)
 610:58 - 611:02		()
 611:06 - 612:19	这是什么游戏	(废话,帅,？)
 616:35 - 618:03	早[喝彩][喝彩][喝彩]	(喝彩,],[)
 618:08 - 618:57	主要玩这游戏的大多已经s+了	(连发,大多,s)
 638:02 - 638:18	被当一条踢死了	(踢死,一条,当)
 641:33 - 642:08	主播主播你们队里的狙是个演员	(演员,狙是,队里)
 642:55 - 643:06		()
 644:26 - 645:14	现在的真格强度已经不是孙孙能驾驭的了的了	(的,驾驭,孙孙能)
 646:29 - 647:18	怎么开始玩喷了	(路边,一条,名字)
 648:27 - 656:24	赢了[dog]	(],[,大戾)
 656:57 - 658:45	主播主播那个杀15个的是你吗	(主播,晚上,了)
 660:35 - 674:37	睡觉了，晚上再大戾士	(士,大戾,了)
 677:54 - 679:23	大戾士一晚上了，碰上个凑上来找骂的	(了,，,大戾)
 681:09 - 681:17		()
 681:42 - 682:42	竞技游戏不让喷彩笔队友都来了  不懂护着坑比是给他们钱还是怎么的	(是,枪,黑)
 682:55 - 683:03		(666)
 691:02 - 691:35	没遇到喜欢的鬼子	(没,能管,中南大学)
 691:41 - 691:59	如果主播這一宿玩的是馬里奧奧德賽 一定是快快樂樂的[哇]	(的,奧奧德賽,馬)
 693:07 - 693:52	玩牛车就得怪爱孙了	(得,玩,那)
 694:01 - 694:17	准备熬到几点啊	(孙体,健康,啊)
 699:55 - 700:42	懂了，任天堂就喜欢让玩家猜，消耗玩家的气运值	(500,概率,猜)
 701:31 - 701:39		()
 701:59 - 702:30	为了追赶我胖哥也是下功夫了	(要,啊,了)




 703:02 - 703:16	主播也是吗	(？,聊,进来)
 703:25 - 705:56	主播入股是吗   那狠狠的1了	(是,入股,主播)
 717:30 - 718:05	怎么夜空飞行又来了[dog]	(飞行,夜空,还)
 719:00 - 721:08	当年的主播能不能打爆现在的主播	(主播,的,当年)
 721:12 - 721:32	@クリーム松饼 学聪明 了，以后只在主播真的能登顶的游戏喷主播	(能,喷主播,DDR)
 722:17 - 724:08	主要是这么小的城市里塞满了那么多宝可梦 真夸张	(卡洛斯,又,小)
 724:24 - 725:21	你要是很喜欢宝可梦  我是推荐的	(消停,他,你)
 727:06 - 727:37	去河里捡crt扔的钱就能买了	(贵,买,的)
 729:33 - 730:05	不联网能玩  但是缺图鉴	(哭哭,华章,夜愿)
 730:39 - 730:59	给他夸的盆满钵满	(夸,钵,盆满)
 732:19 - 734:51	一会闪了又是大的	(？,了,格斗)
 737:26 - 738:41	你还管上小熊猫的生活了	(了,格斗,的)
 740:55 - 741:08	看不见	(看不见)
 747:16 - 747:27	进去看看呗	(披萨,存,屏幕)
 769:12 - 769:19		()
 772:13 - 773:23	主播这是刻板行为了	(诊断,幸福,刻板)
 777:02 - 779:06	@クリーム松饼 刷到了手一滑又多按了一下	(了,@,ム)
 779:12 - 783:50	桀哥开播了，你不要避避他的锋芒吗	(了,吗,呗)
 783:57 - 784:13	你是真不困啊	(联动,真不困,跟)
 786:24 - 786:47		()
 786:56 - 788:18	甜甜圈这么吃都不胖，结果宝可梦世界里居然有胖子	(吃,喝,都)
 789:03 - 789:12		()
 789:17 - 793:44	主播全刷完了还会打开这个游戏吗	(宝可梦,，,你)




 794:11 - 800:15	@柿饼bot的日常 下一部主角也是百变怪了	(的,是,了)
 800:17 - 800:38		(单纯,林大磊,北京植物园)
 803:47 - 803:51	你去百亿补贴看看	(补贴,百亿,看看)
 811:01 - 812:45	为什么主播的房间头像是一个女的头上顶着微软的图标	(弹幕,的,那个)
 815:29 - 815:33		()
 815:55 - 816:18	我就用模拟器玩的，有时候莫名有点卡顿	(用,卡顿,有时候)
 816:33 - 816:39		()
 816:58 - 817:18	我估摸着可能以后很强	(很强,估摸,以后)
 822:24 - 822:49	这位更是重量级，热熔胶和牙哥的混合体	(混合体,重量级,更是)
 833:34 - 833:51	早上在哪	(早上,哪,在)
 836:40 - 837:56	@猛猛 主播放gif呢	(💗,gif,@)
 838:41 - 839:40	没睡，bili这边能看到直播持续时间，现在13:23:10	(没睡,:,了)
 839:54 - 840:51	[捂脸]	(主播点,筋膜,抹布)
 851:06 - 852:13	还在，今天晚上又不播了	(晚上,撞车,造)
 856:44 - 856:45		()
 860:13 - 862:43	走马灯了	(走马灯,@,啊)
 864:11 - 864:40	神秘仪式	(仪式,神秘)
 865:30 - 867:29	这个宝可梦牛逼了把白胖打雷等等主播最讨厌的东西缝一块了	(了,缝,讨厌)
 869:28 - 870:07	wc，播了13个小时	(wc,耶,灯灯)
 871:45 - 872:45	主播还在播啊，旁边小杰被爱牛烦死了	(烦死,小杰,包闪)
 876:54 - 882:55	这个宝可梦是专门针对主播的	(这个,的,是)
 884:41 - 885:35	派蒙一个模型身上的面数能顶几百个这种房子	(的,几百个,模型)
 885:44 - 885:55	太变态了	(变态,真是,太)




 886:12 - 892:33	孙孙 你这是开播了还是没睡...	(的,你,了)
 892:46 - 892:51	主播在干啥	(干,啥,在)
 902:34 - 904:43	主播还花呗的活动结束了	(bot,复读,了)
 904:55 - 905:04		()
 908:10 - 908:18		()
 911:43 - 913:21	你妹的 就想看个牛车  等了几天 2点还不播	(2,牛车,了)
 914:31 - 915:59	主播太像成都本地人了	(成都,捂脸,主播)
 920:10 - 920:59	今晚是不播了	(？,啊,赤壁之战)
 923:51 - 924:32	这是在修仙吗	(挺好玩,多一分钟,吗)
 925:39 - 926:25	主播你好，我朋友托我问一下能玩马里奥吗	(我,托,你好)
 926:53 - 927:19	甜到爆	(甜到,爆)
 932:40 - 934:46	主播我是新来的 怎么不玩多人了	(笑,咔,])
 934:59 - 935:34	胖哥直接出全闪	(别有,出全,概率)
 936:11 - 936:31	最近不都这样[鼻子]	(最近,鼻子,这样)
 936:50 - 938:02	把那只鸟抓了吧[dog]	(作息,把,那)
 938:17 - 938:39	主播怎么还再，我都睡两回了	(两回,主播,起)
 957:03 - 959:47	昨天睡之前就在播，再播会我今天都要下班了[dog]	(在,就,播)
 960:31 - 960:43		()
 961:06 - 962:08	主播你不說話是不是因為嘴巴被熱熔膠給黏死了	(主播,电脑,不)
 962:22 - 963:22	主播太爱玩za了	(？,饼,也)
 967:39 - 967:46		()
 969:23 - 969:43		()
 973:18 - 974:21	我要举报到主包下包[花]，让主包好好休息	(主包,下包,麽)
 976:03 - 978:05	我了个超人，你居然还没睡啊	(孙宝,还,睡)




 980:02 - 980:12	想换个游戏玩	(想换个,游戏,玩)
 981:34 - 982:44	孙还在	(捏,],[)
 984:37 - 985:44	孙还在	(春节,还,在)
 991:17 - 992:21	我去，今晚还播吗	(，,还播,谢谢)
 993:06 - 995:20	还有8个多小时孙孙就开播了	(？,了,在)
 996:49 - 998:28	以后会不会根据孙的直播数据定制干25h修12h的工作制	(睡,孙,不)
 999:39 - 999:47	主播的同事还有一个半小时就下播了	(一个半,同事,下播)
 1002:23 - 1002:31	好的	(好,的)
 1004:20 - 1004:48	孙子播这么久	(这么久,孙子,播)
 1006:44 - 1006:51		()
 1011:06 - 1012:03	今晚还可以看到你吗	(。,？,还)
 1013:56 - 1014:51	还在	(？,直接,在)
 1016:10 - 1017:24	我还以为出去一圈回来就该黑了[哇]	(说,我,还)
 1019:13 - 1020:11	晚上不干活拉	(一觉,干活,全闪)
 1022:55 - 1026:20	估计快睡了	(？,了,])
