全场最高能：116:12	CRT说了，你就是蹭走马灯热度来赢的直播第二春是

其他高能：
 1:43 - 2:50	你是人啊这么喝	(喝,[,])
 8:55 - 10:38	不如喜羊羊	(喜羊羊,],[)
 14:27 - 14:36	那作 里面还有公主	(饼,专业,那作)
 14:37 - 14:42	知道这么多你要考研啊	(考研,知道,多)
 15:11 - 15:57	今天太能蒙了	(赞,],[)
 18:25 - 21:22	不知道是谁那就是胖哥了，毕竟不是你就是他	(啊啊啊,],[)
 22:09 - 22:28	腾讯不开后门也是原因	(开后门,腾讯,ns1)
 23:56 - 25:08	由于您直播表现良好，诚恳邀请您来北京游玩，北京市单程票已经准备好，如您已...	(7000,睡觉,您)
 25:54 - 26:09	主播是r二代	(r,二代,主播)
 26:23 - 26:59	这么多失误还能遥遥领先	(委屈,;,了)
 29:10 - 30:17	喜羊羊我记得白白胖胖的	(],[,的)
 31:50 - 31:53	马里奥去雅阁	(雅阁,马里奥,去)
 35:06 - 35:37	那你为什么想和胖哥加赛争第一	(加赛,，,你)
 38:15 - 39:02	人各有命，就好比胖哥注定生来灯顶，八分熟生来注定继承万贯家财，而主播你只能打工	(哈哈哈,;,打工)
 48:50 - 49:13	主播正宫白胖，贵淑贤德四妃分别为小桀，梦醒美神绯月，昭仪八分熟，婕妤杨先...	(，,读图,技不如人)
 51:49 - 55:13	诶活了，诶，ztmex	(;,],[)
 59:21 - 61:41	笑死我了哈哈哈哈	(哈哈哈,;,])
 66:01 - 66:50	羞死了	(;,！,了)
 68:30 - 70:16	哈哈哈哈哈哈哈	(;,?,喝)
 71:51 - 74:56	连胜是没错，但是我前天就看见你已经7000了啊，现在怎么还不足7000啊	(;,？,钥匙)
 75:34 - 75:47	小心精力用光林克时间结束	(7000,用光,精力)




 77:39 - 78:45	睡觉7000了	(睡觉,7000,的)
 78:50 - 79:03	你是不是想一直玩胖哥，所以说不上8000的	(8000,玩,胖哥)
 79:41 - 85:35	陈年金河田是不是炸了以后修好的	(陈年,;,的)
 85:44 - 86:02	找到人了就是他	(找到,哈哈哈,段护田)
 86:06 - 87:12	唉，我表哥喜欢上了植物园的女的，被拒后天天说自己要改姓成植园，被我舅妈拿...	(;,的,？)
 114:57 - 117:16	CRT说了，你就是蹭走马灯热度来赢的直播第二春是	(;,技术,到位)
 121:26 - 121:34	这就是你追不上胖哥的理由吗	(胖哥,8000,能)
 132:30 - 133:21	蒙的	(坤,工地,的)
 138:47 - 139:49	技不如人[呆]	(;,捂脸,])
 139:58 - 141:14	真技不如人	(;,技不如人,不如)
 149:52 - 150:18	没想到主播也变成了走马灯	(呢,挤进去,挡门)
 162:45 - 163:09	小粉纯isun	(小粉,isun,hahah)
 163:14 - 163:21	坏比惩治了	(该,好,恶有恶报)
 170:25 - 170:28		()
 170:33 - 170:38		()
 170:44 - 172:21	倒闭了	(哞,了,胖哥)
 175:40 - 175:55	和Target8000回合了	(8000,Target8000,进前)
 179:33 - 181:15	蒙的	(的,蒙,龟壳)
 181:26 - 181:38	没少玩	(没少,送灯牌,喵)
 181:56 - 182:21	全是isun	(isun,四圈,爱孙局)
 190:24 - 192:36	老二了	(了,老二,9000)
 192:53 - 193:42	那你去玩彩虹之路啊	(方块,俄罗斯,打枪)
 195:20 - 196:40	这也不防雷呀	(好,那,了)
 197:11 - 200:47	卖电脑的来了	(了,bot,])




 201:37 - 202:39	炸了都追不上	(卡,他,卡塔)
 203:34 - 205:26	9800马灯都看不见了	(！,都,马灯)
 205:58 - 206:11	不是说这车很有数值吗，怎么马灯都看不见了	(看不见,都,马灯)
 206:28 - 208:46	这下是真技不如人了	(！,9800,了)
 212:49 - 212:59	你看又急	(漫漫,龟,吃瓜)
 220:13 - 221:42	怎么突然一轮游了[dog]	(游,一轮,])
 228:57 - 230:41	爽 看看人家看看你 ztmex	(哈哈哈,了,])
 239:11 - 239:18	乐[dog]	(乐,LOSE,dog)
 239:32 - 239:41	你只能看着isun进决赛圈	(xemtz,决赛圈,只能)
 239:47 - 241:40	@海 饿了就饿了呗[dog]	(饿,了,isun)
 243:24 - 243:28		(金色,龟壳,的)
 243:36 - 246:03	闪电用无敌道具或者是被大蘑菇压扁被蓝龟砸能躲	(],[,躲)
 246:29 - 248:59	[dog]那主播不就是金龟吗[dog]	(金龟,],[)
 251:37 - 252:41	来个电，你就是两手空空的第二了	(，,作用,灯顶)
 254:13 - 254:17		()
 254:26 - 256:25	能让你进来就不错了还不感谢人家	(了,还,哈哈哈)
 256:27 - 256:43	7900睡觉	(睡觉,破案,7900)
 257:22 - 258:39	是买Switch绑定那款游戏吗	(!,把,])
 260:41 - 261:09	你玩的这个是新游戏吗，1不能玩吗	(玩,新,不能)
 261:17 - 261:24	你是2护航大作你说呢	(大作,护航,你)
 261:58 - 262:21	是1代根本玩不了，不是仅限2联网玩[dog]	(2,玩,仅限)
 262:40 - 264:57	@菜就多吃饭 反正这是我目前见到并且能买到的全新最低价了[dog]	(了,我,3149)




 266:18 - 266:25		()
 267:26 - 268:01	看不清啦	(啦,天上,教学)
 268:06 - 269:47	@安东光义 我证明确实是3100就能买到[dog]因为我也买了[dog]	(dog,],[)
 270:29 - 270:55	羽毛跳到第二算羽毛躲了吗	(羽毛,算,跳)
 271:59 - 272:11	@クリーム松饼 我的一代pro手柄还能用么[dog]	(祟,pro,胖哥助)
 279:20 - 280:45	谁能请我吃个泡面，灯顶了就还[委屈]	(泡面,我,请)
 281:27 - 281:39	乐[哇]	(乐,哇,])
 282:03 - 282:12	320个都睡了[哇]	(],[,个)
 284:06 - 286:55	走马灯车队日益壮大	(哈哈哈,了,ztmex)
 295:44 - 296:45	ztmex连续登顶啊	(],[,dog)
 307:01 - 308:20	第二：这车队ztmex	(哈哈哈,哈哈,捂脸)
 317:21 - 317:40	我刚去了一个抽象主播的直播间	(军团,直播间,牛)
 317:50 - 324:38	主播又要0旋击0射了吗[哇]	(了,555,！)
 329:23 - 329:38	zmd=专卖店，金河田专卖店	(专卖店,走马灯,=)
 330:16 - 330:56	主播主播什么是走马灯	(主播,走马灯,泰罗)
 346:42 - 348:36	主播主播这个蓝条是不是bug了[dog]一直都是黑的	(弹幕,就,了)
 356:08 - 357:01	对面没带神兽  相当于刚打排位的主播	(的,神兽,对面)
 360:28 - 361:41	不会因为自己打不过就把直播间的雅阁	(土地,云,盖)
 362:37 - 363:09	还有个尖石	(尖石,还有,666)
 366:51 - 368:04	再来一次4发直接放生了吧主播	(放生,了,相信)
 370:23 - 372:49	被戏耍了[dog]	(了,dog,])
 373:31 - 373:32		()




 379:09 - 380:34	miss了	(射,miss,了)
 380:54 - 381:05	必破防	(必,破防)
 381:28 - 382:10	司马鱼被强子封住了站位	(鱼,司马,的)
 382:33 - 382:50	居然一半条了	(送走,黑龙,条)
 385:31 - 385:40	猫没打死应该就可以投降了	(没,投降,打死)
 385:47 - 386:24	接下来都吃不了密勒敦了吧	(了,LOSE,吧)
 386:46 - 386:52	@重楼zzZ 猫很有用的[dog]	(zzZ,重楼,有用)
 390:20 - 391:07	孙孙你的地龙什么努力值啊	(好,LOSE,啊)
 395:15 - 395:39	太惨了	(有毒,太惨,B)
 405:24 - 406:16	猫：我不0下够给面子了	(猫,士,大戾)
 409:34 - 411:34	他说我带错了我以为带的是紫的呢	(钛,晶电,他)
 414:09 - 414:45	对面是不会玩空间队吗	(空间,白开加,反开)
 415:10 - 418:04	现在是开了3次是吧  还是速度慢的先动	(突袭,空间,对面)
 418:18 - 418:32	围巾空间里比他慢[捂脸]	(他,魔女,完看)
 419:06 - 419:25	对面虽然搞笑了  但是还是拿下了	(出手,必后,拿下)
 432:03 - 434:22	对的  他有2层钉	(猫,了,斗龙)
 434:56 - 435:57	扔哪里[dog]	(0,旋击,！)

