全场最高能：57:47	主播打的是低端局的分，自己上着不愧疚吗[哇]

其他高能：
 3:55 - 5:15	@クリーム松饼 饼饼早[比心]	(怎早,💗,孙)
 5:34 - 6:48	这左下角时间怎么变今天倒计时了	(了,dog,])
 12:22 - 12:36	LOSE	(紫蝴蝶,LOSE)
 13:19 - 14:22	饼子饼子	(饼子,💗,六连)
 15:07 - 17:22	这作者怎么不专杀第一啊，作者不行	(蒙,的,;)
 18:25 - 21:59	好菜哦	(;,！,])
 22:07 - 23:36	小粉哭了	(;,小粉,了)
 23:59 - 25:36	@传说中的林克 出来走两步吧，别老是装受害者了，我很好奇，为什么总是要把...	(中立,;,])
 28:12 - 28:23	@举着咕咕鸡的CRT 那咋了	(走马灯,花屏,刚才)
 28:48 - 29:44	华立南梦宫邀请我参加广州场测，证明官方是站队我的，你这个劣迹主播	(],[,hdd)
 33:31 - 34:19	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(贵,小蓝,])
 45:02 - 51:11	@クリーム松饼 是不是你给主播静音了[dog]	(;,[,])
 56:52 - 59:27	主播打的是低端局的分，自己上着不愧疚吗[哇]	(;,？,走马灯)
 62:45 - 63:25	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(是,;,假酒)
 65:15 - 65:59	蒙的	(3ds,蒙,的)
 71:01 - 71:31	我说懒虫孙	(去,送灯牌,会员)
 74:08 - 75:32	是我我就顶开关了	(小蓝,开关,了)
 78:13 - 82:30	好厉害 这技术和胖哥有的一拼了	(！,;,的)
 83:01 - 85:33	冷知识：主播还了8个花呗女友也是大数据推送的	(金河田,￴,热熔胶)
 88:43 - 90:19	走马灯棺材板金河田热熔胶dr花呗走马灯棺	(;,有没有,本子)




 92:21 - 92:30	666	(题库,B,假仁假义)
 99:30 - 100:42	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(💗,，,你)
 101:07 - 102:01	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,笑)
 109:55 - 110:19	好4	(哈哈哈哈,可以,孙怎准)
 116:40 - 118:04	号外 号外，我们初中群里，班主任急了，说林克白眼狼，死肥宅	(，,号,外)
 119:02 - 120:16	号外 号外，我们初中群里，班主任急了，说林克白眼狼，死肥宅	(，,号,外)
 121:30 - 121:48	梦里啥都有	(幻想,上,呢)
 122:18 - 122:33	你是马里奥就不是必赢图了	(;,必赢,读图)
 122:38 - 123:31	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(蒙,必,的)
 133:22 - 134:52	他那句话就是病句吧，我刚刚问过豆包了，was和now矛盾的应该用has been	(test5,;,技术)
 139:11 - 140:31	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心	(？,走马灯,[)
 148:31 - 148:59	[大笑][大笑][大笑]	(LOSE,大笑,])
 151:13 - 152:16	主播吃的什么	(吃,主播,说)
 152:21 - 153:07	听这声 像薯片 吃完吮指 像原味的乐事	(逼,像,主播)
 157:02 - 160:11	@唉 可没有 你是嘬完改的 我是改完送的 不一样	(昨天,的,@)
 161:10 - 162:16	流鼻涕的赢了	(马里奥,666,五格)
 163:30 - 164:57	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(🐮,卡比,[)
 177:43 - 179:02	奶牛可以喝牛奶吗	(喝牛奶,牛,牛奶)




 180:49 - 184:43	漂亮，言出法随	(大戾,士,;)
 190:03 - 192:58	胖哥加蓝龟好吗	(胖哥,蓝龟,好)
 194:08 - 194:11	我今天下午刚玩[花]	(刚玩,今天下午,花)
 199:51 - 200:31	胖哥救一下	(哆嗦,没事,淘汰)
 201:36 - 202:48	这大运好短	(;,来,哈哈哈哈)
 211:52 - 213:41	主播流鼻涕了	(？,流鼻涕,我)
 222:27 - 223:27	技不如惠普	(LOSE,不如,技)
 233:10 - 233:24	@クリーム松饼 不得不品的一环	(一环,品,不得不)
 236:15 - 239:14	技不如人[哇]	(了,技不如人,早)
 245:52 - 250:09	直接退出游戏不就行了，想让怎么也能让，胖哥来了，前边的直接关机都	(],[,放弃)
 257:05 - 260:15	哇灯顶	(了,！,坏)
 261:39 - 262:22	这个游戏除了水友全是人机	(卡,他,在)
 266:37 - 266:41		()
 266:58 - 267:28	这个是联机的吗，其他都是真人么[捂脸]好有趣	(车队,是,，)
 268:22 - 271:03	坏菜了	(？,哈哈哈,了)
 272:34 - 272:51	那咋啦	(哈哈哈,那,咋啦)
 278:22 - 278:26	悲哀是最长情的告白，网友都想向主播告白，我也想告白 主播我爱你	(告白,饼,想)
 278:32 - 279:20	悲哀了	(大笑,哈哈哈,])
 279:31 - 279:34	喜欢等	(喜欢,们,，)
 279:46 - 280:09	太对了	(能进,飞天,太对)
 283:54 - 284:41	好胖哥	(第二名,马灯,三体)
 285:27 - 286:02	蓝龟来了要	(卡,蓝龟,他)
 287:22 - 288:06	那咋了	(那,咋,了)
 290:05 - 293:13	哇灯顶	(！,了,牛)
 296:27 - 296:51	点名表扬	(妹等,表扬,可乐)




 301:02 - 303:20	不对，我说错了，不是按过摩，是按摩过	(球,大师,了)
 303:38 - 303:54	又是带上猫的一天	(猫,带上,灭火)
 304:23 - 305:40	霉的人带了广角镜还能miss呢	(摩,了,大笑)
 317:33 - 318:08	奶死了	(鬼,抓内,队里)
 328:31 - 329:31	喷射战士又掉了一百人，剩下两百多人其中两百都是阴兵[dog]	(。,没有,人)
 340:54 - 341:06		()
 341:44 - 342:45	主播ow刚出了个新英雄飞天猫，我觉得很适合你[哇]	(666,飞天猫,英雄)
 343:10 - 343:58		(狙,百合,只会用)
 347:38 - 348:29	对面把香槟塞崩你们脸上了	(一块儿,脸上,塞崩)
 349:39 - 351:18	这不是橘比青多吗	(？,哦哦哦,这是)
 351:51 - 351:59		()
 353:56 - 354:28	关卡二要占领多久才能继续前进啊，还是达到什么条件	(条件,达到,继续前进)
 357:58 - 361:21	@大龙喵の汪 奶油松饼bot是弹幕转发程序，转发b站弹幕的	(？,弹幕,站)
 362:36 - 364:42	松饼bot是卖电脑的	(bot,],[)
 365:16 - 365:54	主播玩AZ[哇]	(泡澡,塔里,AZ)
 366:00 - 366:23		(…,颜料,怎么)
 367:04 - 367:51	没看到啊	(啊,看到,没)
 367:58 - 370:02	别别人的看到了，满血不显示吗	(？,别人,是)
 375:09 - 375:49	松饼bot怎么你们了[哇]	(bot,松饼,压人)
 377:54 - 380:19	收集者炼金	(bot,松饼,🐷)
 380:28 - 381:30	老板糊涂	(老板,糊涂,比心)
 381:58 - 382:13		()
 384:06 - 385:04	想要走马灯热熔胶金河田卖电脑3.5请自行搜索[哇][哇][哇]	(哈哈哈,哇,])




 388:26 - 389:23	主播 对面为什么碾压你们了 是不是技不如人	(一把,碾压,减)
 389:33 - 389:38	技不如松饼bot	(哦哦哦,技,不如)
 390:08 - 392:40	虽然不亏但是也有点亏 这是什么脑袋尖尖发言 主播也看阿诺吗	(…,吗,虽然)
 400:51 - 401:04	那咋了	(色,最,咋)
 406:00 - 406:34	上来就输了	(一,上来,吐)
 406:54 - 407:17	主播播到几点啊	(废,基本,扛)
 429:48 - 432:57	唉，我翻微博才知道原来胖哥和主播已经认识十年了[出窍]怎么就变成这样了呢	(侬,出窍,呢)
 434:38 - 436:18	原来主播才是最大的爱白	(走马灯,主播,爱白)
