全场最高能：53:51	輸了就孬[dog]

其他高能：
 3:01 - 3:12	饼早[比心]	(💗,早,说)
 7:45 - 8:48	@举着咕咕鸡的CRT 我记得你的太鼓好友都对你挺好的，做好自己就行吧，加...	(比心,],[)
 9:50 - 10:34	说实话，我也没想到，两年前开始的普及太鼓的计划，到现在会是...	(是,的,，)
 11:08 - 11:58	还在提走马灯	(第一,孙怎晚,非得)
 14:36 - 16:55	报仇了	(啵,;,])
 23:15 - 26:44	主播主播 这游戏人为什么少了	(了,游戏,这)
 29:57 - 30:30	极限汤	(极限,喝汤,汤)
 30:33 - 30:48	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(主播,的,你)
 31:47 - 32:46	说实话，我也没想到，两年前开始的普及太鼓的计划，到现在会是...	(，,会,又坏了)
 33:55 - 36:15	美神看的人挺多的啊，这几天都1000	(，,的,美神)
 39:59 - 40:10	你为啥不进门	(;,孬,为啥)
 42:17 - 45:27	我是新粉，第一天关注，他们说的走马灯对角线热熔胶还花呗去水印砍伐证上雅阁...	(不如,白胖,，)
 49:50 - 51:13	哇，还有互动	(大戾,士,])
 53:30 - 55:46	輸了就孬[dog]	(大戾,士,了)
 59:34 - 60:32	爽就完事了	(;,爽快,老板)
 63:08 - 64:22	主播我是狗熊速速放我出来助你灯顶	(出来,贝尔,道哥)
 65:29 - 66:54	那美神应该是主播里的清流了 只玩极难拿世界第一	(了,那,咋)
 74:55 - 76:00	这种排位就该改成各自玩一样的图比谁快	(。,;,不过)
 77:38 - 77:50	小粉滑滑梯去了	(滑梯,滑,小粉)
 78:17 - 78:35	喜欢主播的话可以卖电脑走马灯ga哦，直播间搞黄可进胖哥粉丝群喵[比心]	(],[,喺)




 86:25 - 86:33	那咋了	(咋,大戾,士)
 86:52 - 87:02	这小粉[捂脸]	(走马灯,哈哈哈,;)
 88:12 - 89:11	这肯定是小粉开的了	(走马灯,的,小粉)
 89:25 - 90:02	这一秒当两秒用,一局卡1000秒	(走马灯,秒,一秒)
 91:08 - 92:45	刚来就看到走马灯[dog]	(走马灯,，,斗地主)
 93:33 - 95:16	卖电脑的来这把游戏豆子都快输光了	(这,来,图)
 103:21 - 104:06	破案了link开的给他们都卡死[捂脸]	(哈哈哈,],[)
 105:18 - 106:53	虚伪[捂脸]	(？,;,坏)
 108:11 - 109:54	假仁假义[dog]	(假仁假义,],[)
 117:54 - 118:51	兄弟，我也是路人来的，我看他们喷你半天了，我也不知道什么原因，我也没跟着...	(;,技不如人,三)
 119:16 - 119:47	兄弟，我也是路人来的，我看他们喷你半天了，我也不知道什么原因，我也没跟着...	(，,我,也)
 123:43 - 123:57	把你拉黑了	(黑,拉,了)
 126:20 - 127:39	那赢在体重行了吧	(赢,申请,在)
 130:03 - 131:45	把你拉黑了	(你,了,黑)
 134:11 - 134:51	红喷火，绿吃人	(👄,技不如人,哈哈哈)
 139:01 - 139:17	对8000分的主播有影响	(影响,的,有)
 140:56 - 145:07	技不如人还假仁假义	(假仁假义,？,])
 148:53 - 150:26	假仁假义[dog]	(假仁假义,;,仇人)
 155:39 - 155:49	技术下滑	(是,何,zsbt)
 157:34 - 158:54	笑死了	(了,;,捂脸)
 160:31 - 160:38	乐死了，一组报恩，一组世仇	(一组,报恩,乐死)
 160:50 - 161:30	实锤了，主播四开机器上分	(，,上,了)




 177:54 - 180:02	孙孙好炸鱼哦	(LOSE,？,的)
 185:18 - 185:28	前十二六只牛	(饼,六只,十二)
 185:31 - 185:48	主播ztmex	(骗,？,八名)
 188:35 - 190:11	好蓝	(好,舒服,了)
 191:07 - 191:48	8000呢	(8000,呢,没有)
 194:09 - 194:37	还真是	(真是,霹早,抗雷)
 200:25 - 202:48	[哇]isun大成功	(！,了,哇)
 209:09 - 209:45	这蓝龟是扔出去的时候就锁的当时的第一	(、,锁,的)
 211:15 - 213:08	前6全是牛，真受不了了	(松饼,前,牛)
 213:46 - 213:57	一半牛服了	(牛服,一半,10)
 217:29 - 217:31		(的,用,时候)
 217:37 - 219:10	老板糊涂啊	(啵,老板,哈哈哈)
 224:12 - 224:50	蒙的	(？,蒙,哈哈哈)
 225:38 - 226:03	舒服啊	(舒服,LOSE,啊)
 236:16 - 236:35	假期拉好厉害	(哈哈哈,假期,LOSE)
 236:45 - 238:15	主播已经很厉害了	(灯灯,灯,委屈)
 240:55 - 242:21	那主播这两天有在征婚吗	(按摩,孙友会,说)
 242:35 - 243:08	老爷爷我给你踩背来了	(技师,车友会,几号)
 245:07 - 245:16	按摩的锅	(人卡白,锅,锤子)
 245:42 - 246:06	三个小粉进啦	(常来,炮点,草原)
 250:35 - 250:41	ddj水平不可能9000	(水平,ddj,可能)
 256:48 - 259:27	[哇]灯顶	(！,么,登顶)
 262:25 - 263:54	过了	(过,了,他)
 264:04 - 265:35	主播上大师球了吗	(！,球,大师)
 265:40 - 266:30	主播出去home看看[哇]	(好听,带来,吼)




 273:12 - 277:51	加纳[dog]	(！,灯灯,灯)
 277:58 - 278:51	马造牛车湿球[dog]	(！,司马,灯灯)

