全场最高能：17:36	合作了一路 你连口汤都不舍得给路易喝吗

其他高能：
 2:25 - 3:44	开始连胜了说是[哇]	(啊啊啊,],[)
 6:09 - 7:48	技不如人[哇]	(;,哈哈哈,了)
 8:43 - 9:25	技不如人[dog]	(领先,;,哪)
 16:02 - 18:32	合作了一路 你连口汤都不舍得给路易喝吗	(;,？,你)
 21:42 - 24:21	倒闭了	(;,了,1)
 34:06 - 36:10	隔壁被举报了	(了,隔壁,举报)
 37:04 - 37:25	只能来这边看了[dog]	(惊喜,],[)
 38:39 - 39:11	满屏的走马灯[哇]	(走马灯,切割,么)
 45:45 - 46:11	主播在女人身上的失误太多了 帮忙还花呗我记一辈子	(重,士,大戾)
 48:24 - 49:33	游戏开服的时候是不一样的，没过一个月都一样了[dog]	(了,],[)
 53:00 - 54:06	什么时候粉丝祭，我的应援棒都充好血了	(粉丝,，,都)
 57:38 - 58:50	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	([,],🌈)
 66:24 - 70:21	我就重启一个bot的时间来了个什么[dog]	(],[,了)
 70:53 - 73:16	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(蒙,;,的)
 74:14 - 76:02	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(牛车,我,了)
 76:45 - 77:18	终于车了	(了,终于,车)
 95:31 - 97:28	开[哇]	(！,;,可惜)
 99:45 - 100:40	胖哥是主播朋友，但主播老是kart所以决裂了[哇][哇][哇]	(],[,哈哈哈哈)
 109:25 - 111:05	流口水了	(了,9500,跳)
 112:42 - 113:46	拔线躲isun[dog]	(了,-,掉)




 122:00 - 123:21	来了[哇]	(HOW,技不如人,哈哈哈)
 131:48 - 132:14	舒服啊	(好,急咯,手慢)
 132:33 - 132:39	刚刚我排你为什么没进去[委屈]	(胖哥代,我排,分数)
 137:15 - 138:02	闪电开一下	(了,闪电,8)
 140:48 - 143:24	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(],[,你)
 147:31 - 150:00	两把都按你的意思来了[委屈]	(],[,了)
 150:07 - 150:19	主播打水友局都红温吗	(虐牛,全在,嫌)
 156:37 - 159:12	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(😂,哈哈哈,LOSE)
 162:13 - 162:52	一口气吃那么多壳啥道具都难顶[捂脸]	(哈哈,捂脸,哈哈哈)
 164:11 - 166:08	马车的教程都是宝宝巴士了还问怎么漂移[鼻子][害羞]	(了,的,漂移)
 167:52 - 168:57	花毛毛怎么你了[哇]	(555,不如,技)
 176:21 - 177:07	那咋了	(委屈,],[)
 177:10 - 177:28	555去台积电吧[吃瓜]	(555,下线,成)
 178:16 - 180:22	哇 灯顶	(大师,球,！)
 181:46 - 182:00	0旋击[哇]	(旋击,0,哇)
 182:42 - 182:57	晶光转转	(转转,晶光)
 183:10 - 183:32	我就说吧，za垃圾，但是你必须买，不然明年宝冠军你没有精灵	(冠军,，,垃圾)
 184:25 - 185:27	不是  就算没买ZA   宝可梦冠军有通行证给宝可梦的	(的,通行证,宝可梦)
 201:33 - 202:39	要被这个鸭子穿3了吗[哇]	(了,体面,一只)
 210:57 - 214:02	加纳了	(加纳,哈哈哈,])
 218:49 - 219:17	你场地效果怎么睡啊	(广,打击面,弱点)




 221:37 - 221:42	走马灯	(走马灯)
 222:04 - 222:22	主播带双神输了就没有借口了	(借口,带,了)
 223:06 - 223:46	不让带呗	(花露水,不让,呗)
 228:00 - 230:47	这游戏也不会在排位了  都去宝可梦冠军吧	(冠军,了,游戏)
 231:12 - 233:09	喜欢玩对战的肯定到时都是趋之若鹜咯，都去那边了	(玩,双打,，)
 236:32 - 236:34		()
 247:23 - 248:05	一想到待会儿百变怪变 鲤鱼王就想笑[捂脸]	(怪变,待会儿,一鸡)
 249:20 - 250:47	孙孙能问问司马猴你一直带不上 却把我发姐下放了是为什么吗	(第二个,美梦,神)
 253:24 - 254:10	多龙牛逼米了顿sb	(顿,米,傻)
 254:20 - 255:13	宝可梦世界的人类挨几下也没事	(宝可梦,的,也)
 258:18 - 259:01	主播的命中和miss率是反的	(没中过,地裂,主播)
 260:03 - 261:45	鳞射我没记错没骰子的4和5都是各占百分之15%	(！,是,第四个)
 270:09 - 271:15	替身不是10次基础吗哪有这么几次	(替身,了,没血)
 272:49 - 274:52	你想不烧伤很难了	(烧伤,圣火,，)
 275:04 - 275:57	又是替身	(替身,也,硬耗)
 276:08 - 276:27		()
 287:29 - 289:29	主播技术很好  只是带着没用的家伙太多了	(很,的,好)
 293:50 - 294:47	好像这是最后一个赛季了吧	(吧,Grope,两级)
 295:07 - 297:52	这个清晰度 帧率 是switch2吗0.0	(帧,ns2,率)
 298:01 - 298:07		()
 298:14 - 298:51	那咋了	(全赢,第三名,下饭)
 298:58 - 300:22	猴哥上过场没	(过场,猴哥,小学生)
 302:49 - 306:03	密勒顿太坏了[dog]	(了,/,投降)




 310:22 - 311:20	这辈子困在超级球了	(赢,困在,这辈子)
 312:09 - 312:25		()
 312:52 - 313:00	孙孙能上一把猴吗	(🐒,孙孙能,猴)
 314:36 - 315:20	没有[dog]	(dog,],[)
 315:42 - 318:10	松饼也是7000+的高手了，比主播抗日模式分还高[哇]	(],[,了)
 320:33 - 321:38	[吃瓜]对面赢了就是被小学生吊打	(对面,小学生,咋)
 322:00 - 323:12	遇到这样的才能赢 看懂了吧	(小学生,浪费,下雪)
 323:45 - 323:47		(不算,百变,怪)
 324:23 - 326:47	@爱钓鱼的清华 今晚还真pk上了[dog]	(了,他,小学生)
 331:47 - 331:55	猴上去送死吗	(送死,上去,猴)
 332:04 - 332:18		(走马灯)
 340:45 - 340:56	笑死	(凭,呀,笑)
 346:54 - 346:58		(晶过,钛,都)
 348:39 - 350:13	黑人土豆	(！,灯灯,灯)
 356:22 - 358:52	说实话，我也没想到，两年前开始的普及太鼓的计划，到现在会是...	(噔,。,我)
 363:11 - 364:48	打小学生打多了的幻想罢了	(比心,幻想,小学生)
 366:36 - 366:44		()
 366:55 - 367:36	吃吼（ji）霸	(赞,。,])
 369:16 - 371:15	完了	(哈哈哈,士,大戾)
 372:39 - 372:43		()
 372:58 - 373:09	就跟主播95%登顶的图一样[dog]	(测量,恶意,95%)
 373:22 - 373:26		(不出,za,回合)
 373:51 - 374:52	加纳[花]	(士,大戾,加纳)

