全场最高能：157:56	主播你都给人逼成什么样了

其他高能：
 5:27 - 7:04	你不是全图鉴闪了吗	(怎早,孙,，)
 9:34 - 10:07	这是za	(委屈,],[)
 10:17 - 10:37	能做一下今年的宝可梦测试题吗	(委屈,],[)
 13:13 - 13:52	今天不能一直看主播了，火车上没有充电接口 明早九点才能到天津[委屈][委屈]	(哈哈哈,今天,])
 14:47 - 17:02	你在宝可梦里面玩上旮旯给木了是吧	(了,],[)
 17:15 - 17:35	我重启好几遍了	(我,好几遍,咋玩)
 17:54 - 18:50	已經可以玩了[哇]	(比心,],[)
 24:11 - 29:17	胖哥来早开灯了	(开灯,了,，)
 29:57 - 32:07	弹幕输入“开灯”即可开始走马灯	(开灯,输入,”)
 32:09 - 33:23	来了	(了,爱,？)
 34:35 - 35:52	主播我也想看四个小人等500秒的游戏	(的,小人,捏)
 43:51 - 44:15	你这水枪不应该有40次使用限制吗	(尿,不如,感觉)
 45:52 - 46:00	打起来能不能炸任天堂	(不能,子果,书上)
 50:34 - 50:59	那咋啦	(看,任务,那)
 51:36 - 52:08	这游戏好像是2独占，初版不能玩	(这,？,独占)
 52:18 - 52:23	苹果干活吗	(EoF,两天,干活)
 57:07 - 57:30	前面的区域以后再来探索吧	(干什么,生火,区域)
 75:39 - 76:15	今天走不走马灯	(拿,扒皮,周)
 77:02 - 77:27	灯冷	(一闪,灵光,坐床)
 78:53 - 79:27	主播，我想看闪光的胖哥属性，你有吗，你的房管说胖哥种族值8000我觉得没那么低	(，,斩,的)
 79:50 - 80:05	什么游戏呀	(種樹,敢乐,儿)
 80:15 - 80:45	孙笨	(北京,在,改善)
 81:13 - 81:21	隔壁日本小学生都玩明白了	(没看,明白,小学生)




 82:28 - 82:42	还有三蜜蜂啊	(三,蜜蜂,还有)
 85:10 - 85:31	mc啊	(？,mc,物理)
 94:24 - 95:30	这是凤王的毛	(的,毛,凤王)
 96:28 - 97:54	花圈找雅阁要呀	(花圈,雅阁,！)
 99:05 - 99:47	主播能不能一次多吃几个	(主播,玩,比正作)
 102:15 - 103:34	真离谱，这就是为了独占而独占，看着ns1性能肯定带的动	(y,为了,放入)
 104:29 - 104:33		()
 104:50 - 104:59	错误的，昨天玩喷射战士直播间倒闭五回	(玩,五,喷射)
 105:05 - 107:00	别问了 主播除了马里奥宝可梦 不是打广告啥也不玩	(主播,了,玩)
 107:39 - 108:05	牛车有吗	(泰罗,有肯,牛车)
 108:28 - 108:37	小火龙呢	(呢,火龙,小)
 109:58 - 110:18	都解锁那么多了	(百变,怪,抽象)
 112:33 - 112:57	小火龙也带着一起了还行	(亏,有点,东西)
 115:48 - 116:35	卡比兽	(卡比,你,东西)
 116:52 - 117:50	主播其实是看小火龙跟种子聊太好了，嫉妒了	(？,对,捡)
 118:17 - 119:33	这是任天堂Switch2独占的新作pokopia	(的,来,美丽)
 120:35 - 121:34	这游戏成本规模听说是光荣做过的所有游戏里数一数二的[dog]	(地下,跳,砖)
 127:10 - 128:24	给这柱子砸了	(拿,柱子,了)
 128:36 - 128:43	你小火龙呢你小火龙呢你小火龙呢	(火龙,小,呢)
 129:36 - 129:47	有补水套吗	(灵位,套,补水)
 136:05 - 136:13		()
 137:53 - 138:18	这是什么游戏啊	(啊,什么,这是)
 140:21 - 141:40	你就差把人家房子拆了	(背包,了,清空)
 144:56 - 145:39	你给人家里拆了干嘛啊	(哈哈哈,了,拆)




 145:47 - 147:22	你给人家拆了 多好	(风车,拿,不)
 149:43 - 150:49	你不能全锤了然后垫箱子	(垫,木箱,方块)
 151:22 - 151:36	斜斜的屋顶呀	(斜,屋顶,呀)
 153:04 - 155:23	主播你切记，你是整个播间唯一一个玩过这游戏的	(重力,反,你)
 157:08 - 159:23	主播你都给人逼成什么样了	(回头,了,妙子)
 162:13 - 162:26	宝宝的可梦呀	(回岛,梦,宝宝)
 163:06 - 163:17	报告点一下啊[dog]	(再造,pjb,可爱)
 198:12 - 199:04	尬黑，还主播不识数，不吹nb，十以内加减法，3分钟就能永用计算器算出来	(，,？,喇叭)
 201:27 - 203:25	好家伙，你还永夜了	(时间,汤圆,天亮)
 210:43 - 213:00	你是人类吗	(人类,你,是)
 217:06 - 218:06	这什么游戏啊	(积木,里,箱子)
 218:53 - 219:20	美食了	(美食,时间,啥)
 219:55 - 220:19		()
 220:43 - 223:12	少买个积木也够了，你有风车了	(了,，,你)
 240:43 - 241:18	几小麦	(回放,小麦,会)
 242:02 - 242:23	哦卖麦	(卖麦,寄,可爱)
 252:35 - 253:18	又有羽毛了吗	(羽毛,又,有)
 257:09 - 257:15		()
 257:24 - 257:29		()
 257:45 - 258:10	找火光	(火光,更,地图)
 267:00 - 267:03		()
 267:11 - 269:47	能一直玩么 肝不 我怕玩一会就任务做完了[捂脸]	(了,],[)
 270:07 - 273:07	这就骂上了啊[dog]	(了,压力,怎么)
 274:21 - 276:17	主播是水系了	(哈哈哈,了,让)
 277:23 - 278:11	让你引别的水	(水,哈哈哈,让)




 281:45 - 283:03	小时候的石英联盟所有地区都有	(地区,不是,都)
 283:09 - 283:22		(Onezy,Switch2,新作)
 286:29 - 288:18	@李某帅小emo 这是任天堂Switch2独占的新作pokopia	(了,啊,一格)
 289:47 - 289:53	哎  不行吗  硬等啊	(硬,哎,不行)
 290:20 - 293:44	刚才不是让你做水边的草丛吗	(玩,@,我)
 296:51 - 297:21	别问，主播叛逆期	(一说,期,叛逆)
