全场最高能：151:37	走马灯啥意思

其他高能：
 4:14 - 5:30	这都有喝不上的	(_,w,])
 8:53 - 9:45	桀哥说故意装菜所以6000分，主播是为什么呢[dog]	(LOSE,哈哈哈,])
 13:52 - 14:03	不常见这太阳[捂脸]	(牛学,日哥,常见)
 15:21 - 15:38	不蹲会被碰到嘛	(没刷,个头,碰到)
 15:56 - 19:14	技不如人[花]	(认错,，,主播)
 19:26 - 20:43	有灯牌你就大胆串，没灯牌你就小心串，你守着屏幕啥话不说和被禁言有什么区别	(不如,白胖,，)
 21:50 - 23:29	主播你也是日本人啊	(你,是,;)
 26:29 - 27:27	菜就多练	(;,技不如人,LOSE)
 31:28 - 32:25	胖哥就不会死人	(;,三缺一,技不如人)
 40:42 - 42:05	我为主播感到悲哀	(;,1,合影)
 44:39 - 46:24	技不如人[dog]	(;,，,HOW)
 48:07 - 50:32	主播，你的小火龙和妙蛙种子好上了，快去看看吧	(委屈,],[)
 54:35 - 55:24	6900开导	(6900,啥,今天)
 55:39 - 58:10	喜欢主播可以走马灯卖电脑，直播间搞黄进胖哥粉丝群	(咋,那,了)
 58:39 - 58:41		(上班,不,吗)
 62:25 - 62:40	马里奥死了	(马里奥,了,咋)
 62:51 - 63:07	马里奥怎么飞那边去的[妙]	(白胖,不如,，)
 65:02 - 65:20	@クリーム松饼 你雇的isun	(isun,和,雇)
 66:32 - 66:42	这样做图	(这样,整整齐齐,嗯)
 68:16 - 69:04	主播今天戾气好小	(力气,],[)
 70:16 - 70:39	说的啥	(jbrr,合影,啥)
 73:40 - 75:05	不好意思，加油吧	(不好意思,ˉ,局)
 75:25 - 76:19	睡觉了	(了,6900,LOSE)




 78:08 - 79:08	雅阁了	(走马灯,吧,タ)
 79:47 - 80:51	喜欢主播可以走马灯卖电脑，直播间搞黄进胖哥粉丝群	(👍,主播,别人)
 86:44 - 87:56	有isun	(;,isun,])
 90:21 - 91:15	Joe ™️ Fayday song	(💗,小粉,送)
 91:53 - 93:34	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(;,],[)
 99:00 - 99:52	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(的,蒙,胖哥)
 100:32 - 100:42	叫什么名字，我搜kazelink没开播	(技不如人,移民,kazelink)
 103:24 - 103:49	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(。,主播,忘)
 104:09 - 106:42	技不如人[dog]	(;,哈哈哈,])
 111:35 - 111:51	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(主播,粉丝,群)
 112:20 - 112:35	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(主播,？,阴阳)
 122:30 - 123:38	合适了	(哈哈哈,合适,了)
 131:12 - 132:13	这玩意是咋开的[dog]	(开,的,士)
 134:30 - 135:19	就非得杀第一	(种子,走马灯,你)
