全场最高能：188:13	切割了

其他高能：
 8:09 - 9:22	偷鸡	(;,弹簧,蒙)
 9:39 - 10:47	[哇]今晚有pokopia环节吗	(;,马里奥,？)
 11:29 - 12:58	又500秒极限了	(！,了,图)
 14:14 - 16:39	小蓝去斗地主了	(了,斗地主,小蓝)
 16:56 - 17:57	来了	(么,也,一样)
 19:45 - 21:23	早[比心]	(比心,[,])
 21:54 - 22:39	你玩来玩去分数一直卡在6900上下，有意义吗	(6900,牛车,玩)
 26:38 - 28:17	你胖哥来早就过了	(;,哈哈哈,了)
 28:53 - 30:17	胖哥来早给汤了	(;,嘲讽,b)
 32:56 - 35:01	ddj来了	(;,打工,垫)
 42:07 - 42:10	蒙的	(蒙,的,逼)
 42:19 - 43:19	开了	(蒙,的,;)
 45:05 - 45:08	[刃牙35周年_你最低]	(仁义,最低,周年)
 48:51 - 51:04	大家好，我是白胖，我来跟主播握手言和了，请大家以后不要走马灯	([,],士)
 52:32 - 53:42	红色sc来了	(sc,蒙,的)
 58:34 - 58:46	这是好事啊	(来活,好事,跑车)
 58:57 - 58:59	胖哥全网可查	(全网,查,可)
 59:15 - 59:19	好[哇]	(海南,B,藏)
 62:09 - 64:22	主播与世界第一的差距在这一刻展现的淋漓尽致，8000和4000是无法逾越的鸿沟	(;,蒙,的)
 64:32 - 64:40	真舒服，别去沐足还爽	(非,節奏,他們)
 67:53 - 68:44	气死小粉了	(蒙,的,;)
 70:11 - 71:29	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(;,惩罚,状态)
 79:14 - 80:25	好刺激的图	(;,的,什么)
 81:22 - 83:10	技不如人[dog]	(技不如人,;,看看)




 86:52 - 87:14	汤都没了	(和,胖哥,好接)
 88:34 - 89:05	抽自己大嘴巴的赢了	(抽,樱,直播)
 92:03 - 93:51	有点偏科了 胖哥什么图都能赢 你只能赢公平图	(胖哥,失误,图)
 94:08 - 94:16	那你怎么不拉黑	(怎么,没鞋,不拉黑)
 103:24 - 103:55	真坏了[dog]	(坏,哇,[)
 104:10 - 104:23	给他赢了这之前的350秒不是白玩了	(他,赢,了)
 104:32 - 107:54	马里奥笑死我了	(;,马里奥,了)
 108:58 - 109:32	倒闭了	(胖哥,倒闭,了)
 110:45 - 111:12	技不如暗广	(暗广,技,91)
 112:52 - 114:13	技不如人[dog]	(技不如人,;,先来)
 116:54 - 117:54	给机会了	(？,你,机会)
 120:45 - 121:28	6899睡觉	(;,不如,他)
 122:33 - 123:24	真为你感到悲哀	(玩,了,题库)
 125:33 - 125:54	举报了是不是能把这图删了	(能,这,BLBL)
 130:15 - 131:20	开了	(？,谁,什么)
 135:32 - 136:01	极限喝汤	(💗,极限,早)
 136:06 - 136:38	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(可以,主播,[)
 138:13 - 140:20	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(了,主播,[)
 142:02 - 142:29	@クリーム松饼 西湖醋鱼现在用笋壳鱼了 好吃的	(鱼,换,的)
 153:45 - 154:14	[无语][无语][无语]	(语,无,[)
 157:14 - 158:03	什么时候宝可梦呀，真的要撑不住了	(要,，,什么)
 160:44 - 162:14	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(，,主播,[)




 168:05 - 168:35	小粉是开b	(下面,了,小粉)
 169:03 - 169:55	先死的赢了	(了,你,又)
 181:04 - 181:47	这怎么死的	(？,死,的)
 182:13 - 182:16	弹幕过滤快做好了	(做好,过滤,刷新)
 182:18 - 183:17	@凡凡就是凡凡 什么意思，我是靠自己硬实力上的8000，主播纯属技不如人	(是,么,的)
 187:58 - 189:57	切割了	([,],石头)
 216:00 - 217:27	mc 我的世界[妙]	(。,mc,妙)
 227:11 - 227:42	他也要马灯	(马灯,还是,要)
 227:51 - 228:07	叫啥来着忘记了	(马灯,百,离不开)
 229:05 - 230:19	重启了	(重启,好像,马灯)
 234:42 - 236:31	不是 精灵是和你生活的	(精灵,对战,是)
 244:11 - 245:18	@クリーム松饼 饼子，我昨天牛车河畔探险区用牛车破嘉琪拉记录，你也来试试...	(5237,堡,...)
 249:11 - 249:13		()
 257:43 - 257:53		()
 258:24 - 259:02	最近都没车了	(沒,没车,最近)
 259:18 - 260:47	可以找愛孫玩躲貓貓[哇]	(可以,右侧,市)
 265:50 - 267:41	通上电之后这灯会转起来吗[哇][哇][哇]	(哇,电线,不是)
 267:43 - 268:03		(接,任务,得)
 271:17 - 272:11	狗的积木还没给	(积木,狗,兽)
 272:16 - 272:57	对啊	(嘞,拾,俺)
 278:12 - 279:14	要通电	(消磨,坐牢,虽然)
 283:24 - 283:53	当百变怪上瘾	(上瘾,当百变,怪)
 287:00 - 288:09	路灯换成电线杆	(合理,电器,换成)
 291:56 - 292:05		()
 300:04 - 301:55	@クリーム松饼 孙饼什么时候在一起	(@,上来,孙饼)




 302:30 - 302:31		()
 303:08 - 305:46	可以联机吗	(可以,吗,Rollfor)
 308:02 - 309:22	哪个商店下面有个联机设定吧	(联机,设定,有个)
 310:39 - 312:47	主播还要做几个电线杠把	(杠,电线,把)
 314:53 - 315:38	去做杆子吧[dog]	(杆子,不够,做)
 320:46 - 323:15	说是最简单的办法就是去电脑买火力发电机然后摆附近	(る,で,ン)
 326:12 - 327:39	人类不会已经灭绝了吧[花]	(俺,灭绝,神兽)
 330:03 - 332:15	这游戏给直播间干到一百八十人了	(吼,游戏,了)
 333:52 - 334:19	孙通关之后还会继续建设吗	(建设,继续,还会)
 334:45 - 335:25	全图鉴应该是会搞的	(全,图鉴,应该)
 336:10 - 336:50	登顶	(登顶)
 337:16 - 339:20	这是主线做完了之后吗	(是,在,过)
 340:53 - 341:09		()
 341:30 - 342:54	竟然不掉帧[dog]，要是小玩家早就吊针了	( ,dog,玩)
 350:05 - 351:00	不知道我记得我睡着之前还没有大概四点钟的样子	(我,钟,样子)
 356:04 - 357:54	怎么越吃越多了	(吃,越,个)
 358:10 - 359:05	@迷惑🙈 倒闭了	(🙈,迷惑,倒闭)
 359:26 - 360:24	这个小女孩模型有点像任天堂另外一部作品，那个猩猩[dog]	(猩猩,作品,一部)
 362:04 - 363:23	[dog]我和松饼这两个最大的串子还在就够了[dog]	(dog,[,])
