全场最高能：76:25	哈哈哈哈哈哈

其他高能：
 5:21 - 6:06	松饼姐姐早[比心][比心][比心]	(啦,],[)
 7:23 - 11:13	刚来就舒服了[dog]	(;,了,士)
 16:34 - 17:17	白胖8000分了，主播菜到连7000分都没有	(分,致富,东叔)
 20:46 - 22:26	有灯牌你就大胆串，没灯牌你就小心串，你守着屏幕啥话不说和被禁言有什么区别...	(;,，,Link)
 25:32 - 28:15	走马灯走起来	(了,？,雅阁)
 29:02 - 29:55	@🌈三门 你是胖哥小号吗	(走马灯,糊涂,老板)
 30:27 - 30:44	两个巴掌千本樱	(嘉琪,巴掌,好家伙)
 31:14 - 31:49	马里奥是爱牛，小粉是洋次郎	(小粉,是,次郎)
 40:50 - 41:25	胖哥是主播的女朋友[dog]	(是,吗,朋友)
 44:26 - 44:47	吓的主播裤子都湿了	(在意,不要,对)
 46:48 - 49:20	你也要毁号吗	(],[,毁)
 51:20 - 51:50	你确定他难受吗	(难受,你,他)
 52:02 - 53:19	是这局的小蓝吗	(小蓝,],[)
 55:31 - 56:35	嚯哈哈哈哈哈	(技不如人,;,马里奥)
 63:54 - 64:46	[微笑]曼谷有啥好吃的，不能去了光出汗啊	(！,],[)
 65:58 - 66:39	任天堂倒闭了	(50,了,录播)
 75:25 - 77:34	哈哈哈哈哈哈	(;,哈哈哈,了)
 81:33 - 82:50	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(哈哈哈,;,了)
 82:59 - 84:30	早啊饼饼，，他昨天不开播是去找胖哥了嘛	(？,蒙,的)
 86:16 - 86:31	等王八王八也没回头	(王八,回头,等)
 88:26 - 89:18	哈哈哈哈哈	(？,大笑,;)
 90:36 - 93:21	因为主播怕别人当了全球第一人	(因为,主播,])




 95:24 - 95:46	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(舰长,开,胆量)
 96:34 - 97:34	这什么走马灯 带坏未成年[花]	(走马灯,爱牛,胖哥)
 103:55 - 104:18	蒙的	(蒙,的,？)
 108:15 - 108:35	装的	(假仁假义,;,装)
 109:50 - 111:14	主播，我是新粉，第一天关注，他们说的走马灯对角线热熔胶还花呗去水印砍伐证...	(的,，,主播)
 112:34 - 115:22	开了[dog]	(;,],[)
 116:22 - 118:29	真技不如人了	(技不如人,失误,路易)
 121:50 - 123:45	你敢和人家打公平图吗	(公平,图,了)
 128:03 - 128:45	7000就睡[dog]	(叔叔,主播,白)
 130:09 - 130:45	雅阁了	(雅阁,叔叔,技不如人)
 135:37 - 136:23	笑死了	(技不如人,你,看看)
 144:21 - 144:24		(！,;,垫子)
 145:40 - 146:25	正确的	(正确,哈哈哈,的)
 147:50 - 149:34	那你上八千不就有喜悦了	(了,牛车,高兴)
 152:21 - 153:16	这是真技不如人	(就,跳,;)
 172:44 - 175:59	非得不吃	(不吃,;,了)
 181:41 - 181:44	主播是猫还是狗	(狗,猫,还是)
 184:07 - 186:36	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(],[,士)
 187:04 - 188:10	哈哈哈哈，那咋了	(哈哈哈哈,那,咋)
 189:14 - 190:04	该什么	(该,回去,;)
 190:59 - 191:09	小蓝是死了	(小蓝死,了,小蓝)
 191:18 - 191:30	流鼻涕的赢了	(嘬,],[)




 192:00 - 193:53	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(8000,了,分)
 198:34 - 198:45	这个月份就有蚊子了	(蚊子,咒,])
 198:56 - 199:15	功利奶不可取	(可取,奶,功利)
 200:48 - 202:11	胖哥是谁啊	(胖哥,胖,的)
 203:45 - 204:34	@蒲坚 胖哥是隔壁游戏王美神	(是,搜索,游戏王)
 206:41 - 206:49	有滑梯哎	(全死,盼望,近视)
 207:56 - 207:57		()
 214:19 - 214:40	小蓝好人	(好人,鱼寻,难度)
 219:13 - 219:37	竟然不是库吗	(库,？,蒙)
 219:44 - 219:50	小红逼得	(出口,跳到,小红)
 220:01 - 220:39	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(主播,8000,睡觉)
 228:54 - 229:57	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(了,输掉,可以)
 233:50 - 234:20	7000睡觉	(太想,游玩,继续)
 235:14 - 236:04	技不如人记忆里也不如人	(卡塔,抄,技不如人)
 236:13 - 236:15	这把输的心服口服的	(越少,打分,心服口服)
 236:48 - 237:26	技不如人[哇]	(技不如人,白胡子,的)
 241:10 - 241:59	天天整这些马里奥牛里奥的能不能来吧哪吒	(。,吧,哪吒)
 242:26 - 244:55	你怎么把我的词说了	(了,的,蒙)
 251:19 - 252:12	你在教唆主播建造雅阁吗[哇]	(ン,ー,せ)
 260:17 - 260:28	还有小费	(自研,小费,ai)
 265:26 - 266:16	女王找你有事	(免费,92911,闪购)




 279:00 - 279:48	主播不要毁我号，舰长刚过期三小时[大哭]	(我,大哭,号)
 280:22 - 281:37	你挖的是正经矿吗	(吗,],[)
 282:11 - 283:14	这不就来了[dog]	(崩,了,就)
 284:10 - 284:28		(岩浆,不怕,进)
 286:42 - 287:38	主播的5237排是不是要不够了	(金河田,要,能)
 288:02 - 288:07		()
 304:49 - 305:34	你铁是不是好了[dog]	(火兽,铁好,铁)
 306:04 - 306:10	这游戏能造雅阁主播不造	(不造,能造,游戏)
 306:19 - 306:49	大岩蛇	(胖哥,问问,重踏)
 309:00 - 309:27	这是什么游戏[dog]	(音箱,一共,解锁)
 310:04 - 311:18	大岩蛇也有重踏啊	(，,穿,要不然)
 313:00 - 313:44	主播你半小时前听我的围个雅阁 早建上了	(半小时,前,雅阁)
 313:51 - 314:25	bug了	(了,神父,普奇)
 333:04 - 333:43	那咋了	(铁锤,妹妹,不好意思)
 335:42 - 339:37	对但主播给我拉黑了也不信能建雅阁	(栖息地,雅阁,那)
 339:43 - 341:05	急什么[dog]	(就,耗,feiday)
 343:53 - 345:14	好危险的缆车	(],[,晚安)
 346:12 - 346:22	建造种田找宝可梦[dog]	(找宝,建造,种田)
 346:47 - 347:10	流鼻涕了	(养成,创造,寒腿)
 349:06 - 350:02	藤藤蛇藤藤蛇藤藤蛇藤藤蛇藤藤蛇藤藤蛇	(藤藤蛇,！,播得)
 350:49 - 351:17	偷菜是吧	(偷菜,吧,是)
 352:29 - 352:37		()
 352:50 - 353:15	那咋了	(可爱,公的,虽然)
 353:28 - 354:07	主播也要卖电脑是吧	(电脑,台式,拿走)
 371:15 - 371:21		()




 371:32 - 372:06	要玻璃	(玻璃,要,沙子)
 372:26 - 374:01	乐[dog]	(捡回去,效率高,梯子)
 374:15 - 374:49		()
 374:56 - 375:26		(能,读取,ns)
 376:56 - 376:59		()
 378:31 - 380:20	抓到凤凰这个游戏是不是就通关了	(！,是不是,这个)
 380:24 - 382:17	哦，有点懂了，满足材料才可以遇精灵	(哈哈哈,三个,多)
 382:30 - 382:49	难绷	(绷,难)
 385:24 - 386:14	镜子能造	(新增,镜子,能造)
 386:59 - 387:42		()
 390:29 - 391:06		()
 391:24 - 391:45		()
 396:02 - 397:43	用火烧黏土	(黏土,粘土,火鸡)
 403:31 - 404:11		()
 407:31 - 408:55	这个游戏就是搜集吗	(相依为命,打造,能换)
 409:53 - 411:31	门也毛了	(效率,岩,时代)
 412:31 - 413:58	挖出一片天	(人类,都,噪音)
 414:22 - 417:04	挖金河田	(？,金河田,挖)
 417:39 - 419:16	每个玩偶对应的矿不一样	(玩偶,的,准星)
 419:28 - 419:39		(皮皮,铜,挖)
 422:56 - 426:47	昨天5点多另一个主播被牛和别的打破防了	(吗,？,了)
 427:47 - 428:32	昨天没有555，但之前有过555	(555,有过,但)
 429:25 - 429:55		()
 430:05 - 430:25	主播把我放出来吧我不劝你造雅阁了	(我,劝,水君)
 432:06 - 432:22	藤藤蛇不来这个游戏还完整吗[dog]	(完整,不来,藤藤蛇)
 433:51 - 434:07		()
 434:29 - 434:41	废纸搓	(搓,废纸,？)
 434:43 - 435:28	给海边那个垃圾袋	(回收,公厕,海边)




 436:30 - 436:35		()
 436:47 - 437:33	带绿帽子的工友	(工友,绿帽子,天亮)
 451:17 - 451:42	这不是奶龙	(沙瓦郎,奶龙,不是)
 453:53 - 454:07		()
 456:18 - 456:39		()
 458:03 - 459:40	也是商店	(商店,友好,再说)
 459:47 - 459:58		(携带,物,以前)
 461:01 - 462:23	这中心是金子做的吗	(藤藤蛇,一个,积木)
 462:49 - 463:10	雅樂[哇]	(雅樂,重建,雅阁)
 464:13 - 465:37	主播有得等了[哇]	(任务,进入,大楼)
 467:18 - 471:13	不还是得等着他[哇]	(^,・,气不气)
 473:31 - 473:36		()
 476:05 - 476:46	卡他卡他	(卡,他,风速)
 477:28 - 479:49	真的吗[dog]	(饼,💗,丨)
 480:44 - 481:49	我看有人说开着这个界面不会涨进度	(我,进度,涨)
 487:03 - 488:38	这不是你的训练家吗[dog]	(训练,交易,家)
 488:55 - 489:23	带交易的拉过来住	(拉过来,交易,带)
 489:45 - 490:47	让猫猫来	(喵,可以,来)
 492:42 - 492:56	给她看	(垃圾袋,她,行)
 493:49 - 494:09		()
 496:48 - 497:00	绕了一圈还是逃不了雅阁[dog]	(逃不了,绕,一圈)
 509:24 - 512:59	我都起来吃早饭了，还在播，真持久	(く,が,在)
 519:23 - 520:46	压力别人是吧	(🌈,吧,这是)
 526:43 - 526:48		()
 526:52 - 527:25	反正都调时间了，怕什么[dog]	(地笑,释怀,突然)
 529:13 - 530:22	水君是什么玩偶随机遇到的	(给造,去索,他家)
 533:19 - 533:48		()




 534:00 - 534:40	那咋了	(休息,累,上班)
 534:52 - 534:59	从哪毛的井盖就来卖了	(井盖,毛,从)
 537:17 - 537:55	你这是不是得电一下啊	(电,得,是不是)
 541:43 - 544:00	心理状态呢[花]	(呢,],[)
 545:43 - 547:15	@momo 这俩对比那还是这个好玩[dog]	(好玩,吗,花)
 547:27 - 547:59	大豫通宝	(通宝,大豫,？)
 548:05 - 550:02	ZA那是外包公司做的这个才是正统	(公司,的,吗)
 550:07 - 551:29	ns2独占	(独占,ns2,哇)
 551:38 - 551:41		()
 552:11 - 552:48		(没睡,呆,晚上)
 558:31 - 558:35		()
 558:47 - 559:42	巨大金珠台座四根随便什么的柱子	(四根,柱子,是)
 562:12 - 563:11	为什么这类拿着东西的宝可梦都爱说话前先对你来一下[dog]	(H,写工,工字钢)
 564:30 - 565:11		()
 573:22 - 573:56	这索财灵怎么还在这	(这索,财灵,怎么)
 576:21 - 576:28		()
 576:39 - 577:15	又把索财灵扔下了	(扔下,索,台座)
 577:45 - 580:03	说了，你没看	(ツ,ゴ,で)
 580:42 - 580:49		()
 581:06 - 588:10	这是啥游戏[哇]	(游戏,],[)
 589:25 - 591:49	不是  你还不知道带着人家过来是吧	(妙,还,])
 602:14 - 603:41	老板糊涂啊	(糊涂,老板,么)
 603:44 - 604:04		(走马灯)
 607:32 - 607:49		()
 608:05 - 608:32	@宇宙无敌大炮灰 睡觉时间在哪	(睡觉时间,饭后,吃口)
 610:47 - 611:42	差点看成主播尿闭了	(好,大法,尿闭)




 616:10 - 616:57	电源找crt要[dog]	(掉色,蛋盆裁,💣)
 623:48 - 624:41	随机的	(产物,由,垃圾堆)
 640:16 - 643:08	是不是还差一个，该召唤藤藤蛇了[dog]	(],[,比心)
