全场最高能：305:23	你带出去的宝可梦在原来地方的舒适度越高掉的舒适度就越多

其他高能：
 0:51 - 4:54	@クリーム松饼 我已经好久没买卡带了[dog]	(],[,比心)
 25:22 - 25:23		()
 29:03 - 30:04	老板是看不下去了	(💗,啵,老板)
 31:23 - 33:14	你这破音符会员的粉丝群呢 我要进群骂你	(你,时间,了)
 35:00 - 35:10	@有故事的鑫哥 你又来了	(鑫,哥,故事)
 40:05 - 40:10		()
 40:21 - 40:33		(💗,饼,捏)
 40:52 - 41:15	今天宝这么早	(点开,如何,提升)
 43:11 - 44:20	播这个游戏是被胖哥警告了不许走马灯了是吗	(？,了,是)
 50:08 - 51:52	那我明天看今天的回放，算不算帮主播时间回溯了	(时间,了,牛哇)
 52:00 - 52:05		()
 52:27 - 52:33	可以换	(换,可以)
 52:38 - 52:40		()
 52:46 - 53:20	你要多发几遍准会雅阁	(你,准,几遍)
 53:50 - 54:04	以后我就把你当主播了	(你,可别,当主播)
 54:43 - 55:50	空岛就有主播	(空岛,有,])
 57:25 - 57:57	什么时候召唤藤藤蛇[dog]	(啊,没锅,背)
 58:09 - 59:08	藤藤蛇不用造住处 主播脱下裤子就来了	(了,熬,主播)
 60:14 - 62:40	怪妙子没有留下来，不然主播早就天伦之乐不会在这播了	(],[,不会)
 63:53 - 65:34	终于有一款能让我卖了1买2的理由	(我要,马里奥,看)
 68:26 - 69:07	今晚只有这个	(的,造景,乱七八糟)
 73:33 - 74:13	点歌 大出殡	(比心,],[)
 74:18 - 75:19	今天不玩多人吗主播	(喵,了,今天)
 76:45 - 77:47	看来今天肝不完了	(能,铺,栖息地)




 81:13 - 84:23	他还问你贡品哪去了[dog]	(了,],[)
 84:33 - 84:48		()
 87:32 - 87:45		()
 92:35 - 94:38	给你三个石头怎么了[哇]	(],[,你)
 95:41 - 96:48	牛牛倒闭了	(饭,],[)
 96:57 - 97:02		()
 97:37 - 99:04	抗日去吧，这游戏你还得好几天玩	(奶龙,好,比心)
 99:22 - 99:46	慢慢玩吧	(喵,不去,玩吧)
 102:52 - 103:14	看他也不抓宝可梦 这是在玩什么	(没有,玩,的)
 106:59 - 108:14	这游戏人物吸东西的时候是大卫带 抄袭了良子	(百变,怪,人物)
 108:59 - 111:46	它按照满意的人算的 是加法不是减法 你多找点宝可梦来	(的,，,？)
 117:22 - 117:59	很无聊，说真的	(组是,开发,说真的)
 120:06 - 120:27	现在就每天玩这个了吗[捂脸]	(加分,每天,多造)
