全场最高能：41:01	马里奥：就非得让第二的赢了是吗

其他高能：
 6:54 - 11:07	[dog]什么叫我也买游戏了	(],[,;)
 11:57 - 12:36	太短了	(技不如人,;,菜)
 12:43 - 13:43	@有故事的鑫哥 我是主播最好的伙伴	(！,的,?)
 14:21 - 15:01	姐姐早[比心]	(，,说,啊)
 15:11 - 15:16	配喝汤吗	(解释一下,拉个,配)
 16:50 - 17:06	哇啊[比心][比心][比心][比心]	(比心,],[)
 18:45 - 20:55	@クリーム松饼 你程序错乱了[dog]，你是ai，告诉我什么是走马灯[dog]	(🉐,],[)
 23:47 - 24:48	蒙的	(的,蒙,？)
 28:15 - 29:36	来个公平图看看你跟7400的差距	(7400,],[)
 35:34 - 36:47	喝了	(喝,;,了)
 38:34 - 38:52	主播觉得谁是开子	(弹幕,主播,没开)
 40:17 - 43:27	马里奥：就非得让第二的赢了是吗	(！,了,马里奥)
 43:54 - 44:05	[鼻子]我腿短 主播可能手感好	(我,好,@)
 47:56 - 49:43	主播上回请女粉在大董吃的，花了8000[dog]	(7300,了,，)
 51:56 - 52:07	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(开,意义,火锅)
 57:24 - 58:12	@小猫平板支撑时长破世界纪录 这是太鼓达人	(名字,世界纪录,时长)
 68:11 - 68:55	绝世好图	(咋,那,哈哈哈)
 70:20 - 71:24	哦no	(],[,爱)
 76:24 - 76:44	没事往下面再踢几个壳，那可真算是功德大圆满了[dog]	(摊手,],[)
 77:39 - 78:31	还不是技不如人	(摊手,],[)
 80:01 - 80:34	卧槽，干到6800了[dog]	(],[,捂脸)
 83:19 - 83:22	不愧是7100	(不愧,7100,是)




 83:34 - 83:43	[比心][比心][比心]	(比心,],[)
 85:09 - 89:02	准[dog]	(;,],[)
 89:21 - 90:52	人家怎么是国服榜首吗了 你怎么就不行呢 [dog]	(了,的,蒙)
 91:26 - 94:23	哈哈哈哈哈哈哈哈	(士,大戾,;)
 107:29 - 107:59	666还有第二关	(6700,么,比心)
 109:12 - 109:43	这就是三代最后一张图啊 原汁原味	(大笑,],[)
 113:10 - 113:30	超级大莫顿	(莫顿,超级,大)
 113:44 - 117:31	你一说我想起来了 原来是这个故事	(？,🥦,;)
 125:12 - 125:41	看看人家不放弃的精神	(看看,了,起来)
 125:49 - 126:19	净跟人家学习差的比，你怎么不看看人家白胖	(你,胖哥,人家)
 127:15 - 127:48	那是八国联军抗日	(走马灯,赞,抗日)
 128:07 - 128:59	公式直播：戾气，走马灯，互动	(你,煮播,的)
 131:38 - 131:42	马造詹姆斯	(詹姆斯,马造)
 131:57 - 132:07	作者是不是藏了	(现实,藏,壳)
 136:17 - 137:34	主播发现学文救不了国人 就来打马里奥了	(，,打,你)
 138:42 - 139:21	这倒是提醒我了	(？,痒痒,雄蕊)
 147:18 - 147:30	乐[dog]	(],[,小桀有)
 148:39 - 150:13	不开车的玩上碰碰车了	(;,哈哈哈,开车)
 155:25 - 156:45	差点 可惜	(差点,;,可惜)
 159:38 - 159:53	哈哈哈哈哈 拒绝合影	(技不如人,拒绝,合影)
 160:10 - 160:16	多好听的名字	(好听,多一些,技巧)
 166:12 - 166:42	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(匕首,背图,，)




 166:44 - 167:08	但他是打泰拳的台球厅老板你怎么办[dog]	(打,选手,的)
 170:35 - 171:02	4月7号诸事不宜	(遥遥领先,7,号)
 171:05 - 171:15	你也就欺负欺负白名了	(欺负,赞,！)
 173:06 - 175:32	没毛病 分最低的赢了扣的多啊	(的,了,是)
 179:58 - 181:30	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,比心)
 181:40 - 182:43	[dog]那还有哪个藤藤蛇，我看被去水印的人也是藤藤蛇头像啊	(的,蒙,是)
