全场最高能：118:16	主播走马灯了

其他高能：
 7:38 - 8:08	简直悲哀	(悲哀,想不通,JPNMT82YG)
 9:56 - 12:48	技不如人这次	(技不如人,饼,找到)
 12:56 - 17:05	迷你给木：走马灯	(了,怎晚,你)
 18:17 - 21:09	人家问你20s怎么过的，你真吃阿	(吃,20,;)
 26:49 - 28:22	主播，我没钱了，我想吃四季民福，你能送我一个DR吗	(吃,一个,老板)
 29:44 - 31:17	666，炮台旁边都有墙，怎么顶	(炮台,，,顶)
 40:44 - 41:44	走马灯环节	(哇,了,不了)
 41:50 - 42:02	6900睡觉	(两,信号,跑步机)
 43:13 - 43:20	粉忠怎么没的主播有头绪没	(睡觉,没,头绪)
 43:58 - 44:19	以后会有丙忠吗[委屈]	(吗,没,一旦)
 44:27 - 45:49	绝望的小粉	(小粉,的,绝望)
 48:26 - 49:22	complete吧	(放弃,了,已经)
 49:29 - 49:40	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(祝大卖,主播,哪)
 55:16 - 56:20	前天看了一下就想看牛赢	(腿,看,])
 57:25 - 58:40	加油吧	(加油,吧,;)
 62:54 - 65:06	笑死我了	(蒙,],[)
 71:14 - 71:19	蒙的	(？,蒙,上身)
 71:22 - 71:49	蒙的	(蒙,的,非得)
 74:14 - 74:45	应该搞个藤挂那	(那,高低,ye)
 74:59 - 75:02		(卖人情,完事,快乐)
 77:23 - 78:16	哇，，，还有小栗旬	(么,？,💗)
 80:57 - 82:06	也就是对手不是胖哥了，刚刚那失误胖哥来早过了[dog]	(失误,公平,图)
 84:53 - 85:23	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(直播,主播,，)




 85:49 - 87:53	我怎么知道的	(;,的,？)
 88:11 - 93:02	减10	(，,了,胖哥)
 93:18 - 94:26	人家没杀 是你想多了	(没杀,谢谢,;)
 96:09 - 97:29	哈哈哈，技不如人	(✨,;,技不如人)
 100:21 - 101:54	哈哈哈，我就知道今天不可能7000的，是我想多了	(;,],[)
 115:03 - 116:28	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(✌,️,大戾)
 117:40 - 123:11	主播走马灯了	(;,了,])
 125:32 - 128:19	真☞走马灯	(哈哈哈,;,])
 128:41 - 130:20	雅阁了	(;,了,赢)
 133:28 - 133:43	没有isun救一下嘛	(揍,库库,一百分)
 138:38 - 139:33	峰回路转了	(加一,了,])
 140:06 - 140:43	父子局输给四千分了	(哈哈哈,父子,局)
 147:09 - 147:30	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(孩子,主播,666)
 150:00 - 150:04		(发,谢谢,赢)
 150:07 - 150:28	人家标题让你拿飞机头自己不拿，还是读图不如白胖	(拿,头,飞机)
 152:24 - 153:24	居然有题库的输了	(？,;,题库)
 159:01 - 160:34	流鼻涕的赢了	(？,;,卡)
 163:34 - 164:27	我靠，那我出三块，不是榜一了	(钵,盆满,满)
 165:13 - 165:26	主播我这一个月又给你开舰长又给你开会员是不是应该送我两局肉	(又,给,开)
 165:31 - 166:02	路易	(路易,],[)
 167:57 - 168:47	那胖哥怎么就八千了[dog]	(胖哥,了,8000)
 170:44 - 171:11	胖哥抗日多成功，七千分的都被打退了[哇]	(肯定,抗日,胖哥)




 179:54 - 180:36	马里奥叫Kazelink[dog]	(马里奥,主播,kazelink)
 188:23 - 189:09	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(电脑,卖,了)
 189:43 - 190:44	可惜了	(？,],[)
 194:34 - 195:28	你中间下去右边就进管子了[哇]	(了,],[)
 196:25 - 197:35	公平图也输了[dog]	(我,],[)
 205:36 - 206:18	我真为你感到悲哀[汤圆]	(咋,说明,那)
 206:22 - 206:39	孙子，有个天大的好消息，appstore苹果抽成从30%降到25%了	(了,，,不是)
 215:26 - 216:39	哇登顶	(！,;,哇)
 228:05 - 229:28	流口水的赢了	(裤子,了,蒙)
 229:47 - 231:06	@等你很久了 任天堂Switch2独占的超级马力欧赛车世界	(这,游戏,飞车)
 238:33 - 241:42	流口水的赢了	(！,了,的)
 250:18 - 251:30	主播主播，这5237是用自己人做的吗[哇]	(么,盖,💗)
