全场最高能：145:45	技不如人了

其他高能：
 7:19 - 7:51	算你过了 开始多人[比心][比心][比心]	(比心,算,过)
 9:17 - 14:23	主播跳了吧，过了这图也只有 4000 分	(了,💗,胖哥)
 15:23 - 16:15	我想当美神的皮卡丘，那样子就可以天天被按摩了	(了,都,的)
 17:09 - 17:46	你摸斧子是4000 怪不得你过不了 胖哥8000呢	(胖哥,你,过)
 19:28 - 21:35	把白胖视频去个水印发bili上吧 反正胖哥也雅阁你了	(胖哥,，,了)
 33:50 - 34:16	偷偷看胖哥视频了吧[dog]	([,],dog)
 38:07 - 38:37	不在b站直播了啊	(在,分数,这)
 40:46 - 42:51	主包能不能说下走马灯是什么意思	(啊啊啊,的,给)
 44:56 - 46:30	这个赞是你点的吗	(赞,[,])
 50:24 - 51:50	哇，大戾士回来了	(士,大戾,[)
 73:27 - 75:40	胖哥就能跳12格	(！,胖哥,捂脸)
 75:57 - 77:33	主播，我不会走马灯，看你直播会被打压吗	(！,[,])
 78:23 - 79:08	依旧技不如人	(！,LOSE,无敌)
 81:14 - 82:23	读图读图确实差点意思[捂脸]	(！,[,])
 82:46 - 84:09	[dog]嘴脸	(笑,孙,的)
 85:37 - 85:53	好好说话	(图点,哪种,几日)
 86:47 - 89:25	技不如人[爱]	(！,了,要)
 91:15 - 93:38	真技不如人了	(！,[,])
 95:03 - 95:48	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(！,6700,了)
 100:30 - 102:08	小蓝：凭什么啊	(！,小蓝,凭)
 104:39 - 104:56	主播都是醒了点好，输了点不好	(点,这,难上)
 104:59 - 105:44	现实世界也是由0和1组成的呀	(0,1,是)




 107:17 - 109:36	走马灯高手	(，,了,懂)
 110:44 - 111:05	又给白名了	(;,了,又)
 116:28 - 116:47	最近怎么那么爱上课	(?,班,胖哥开)
 123:25 - 123:30	[dog]	(失误,，,丙)
 124:32 - 125:46	好图	(！,图,公平)
 127:04 - 128:08	这马里奥是疯了，他要给人送	(送,;,疯)
 129:01 - 129:40	流鼻涕的赢了	(的,蒙,，)
 138:02 - 138:18	主播一贯喜欢带节奏	(一贯,节奏,带)
 140:57 - 142:05	不重来	(卡,300,重)
 142:38 - 148:05	技不如人了	(;,技不如人,你)
 157:42 - 157:56	恶心菜不如小粉该被抢[dog]	(技不如人,;,打工)
 168:18 - 169:00	破防了	(士,大戾,[)
 174:52 - 177:50	你怎么垫的那么准	(！,;,哈哈哈)
 194:28 - 195:44	笑死了这路易	(！,路易,哈哈哈)
 198:14 - 200:32	你先进的败者通道 直接摸了不听音乐他们汤也喝不着	(！,的,败者)
 202:41 - 203:32	你认错主播了	(了,的,认错)
 208:06 - 210:48	主播小号都6k8了 好厉害	(-,胖哥,，)
 212:28 - 214:31	主播在成都也是尤物了	(了,主播,成都)
 220:57 - 222:16	主播我教你一招，你把不续舰长和会员的拉黑毁号就行了	(走马灯,[,])
 223:48 - 225:15	为什么他们钥匙没用啊	(钥匙,为什么,他们)
 227:45 - 228:01	蒙的	(蒙,？,的)
 230:26 - 230:35	蒙的	(委屈,！,[)
 230:41 - 230:46	太会偷了	(太会,偷,了)
 235:21 - 237:20	10连胜不开舰长	(一号,连胜,皇帝)




 252:07 - 253:14	这么快就惦记上主播的1号了是吧[dog]	([,],dog)
 254:02 - 254:44	小粉笑死	(笑,？,小粉)
 257:20 - 259:19	路易在留汤那不是搞笑了	(哈哈哈,[,])
 261:00 - 261:40	换裤子	(裤子,换,了)
 263:21 - 264:20	092，又是这图	(？,092,了)
 265:15 - 266:39	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(钥匙,为什么,进来)
 268:06 - 269:05	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(啵,[,])
 280:38 - 281:19	赶紧赢，我也要睡了，喝多了	(！,难道说,今天)
 284:30 - 285:43	+3哈哈	(了,isun,;)
 286:34 - 287:58	好扇	(赢,;,了)
 292:34 - 295:10	牛车也玩不成了，打个团庆祝一下吧[dog]	(么,;,老板)
 304:50 - 306:46	哇，灯顶	(！,了,灯顶)
 310:13 - 310:24	我主要是用蘑菇给怼墙上了[捂脸]	(掉線,怼,墙上)
 315:10 - 315:23	笑死	(！,哈哈哈,？)
 320:22 - 320:50	淘汰好啊 排不到他们了	(寄,言出法随,经验)
 330:38 - 333:21	技不如人，怪上毛了	(？,了,哈哈哈哈)
 342:02 - 344:01	走马灯车队技不如人	(掉线,别,了)
 344:55 - 345:16	主播有福了	(有福,主播,了)
 346:09 - 346:43	特技动作有区别吗	(⚡,？,哈哈哈)
 351:14 - 354:31	这扔的可不是你啊[哇]	(扔,[,])
 356:37 - 357:01	等会儿胖哥就帮你用了	(比,影响,游戏卡)
 358:38 - 359:49	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 不行 这句 我怎么都第十六了 真是最佳	(哈哈哈,哈哈哈哈,星)




 363:52 - 364:26	第一名的马灯都看不见了 还在互害	(马灯,都,追不上)
 368:04 - 368:33	蓝龟被你吃完了没有了	(129,打中,了)
 368:46 - 369:53	灯顶[dog]	(！,亚洲,剧情)
 380:00 - 381:55	带两头牛都打不赢	(呜呜,不如,完)
 382:08 - 382:34		(合金,8818,手机)
 382:38 - 382:42		()
 384:13 - 384:56	不盯着孙子打估计分都很高了	(打,都,好几个)
 387:07 - 389:15	好吧[dog]	(噔,别人,好)
 389:32 - 390:45	还是主播sound	(开灯,sound,加纳)

