全场最高能：96:40	666还有第二关

其他高能：
 5:26 - 8:02	主播主播怎么不打多人了	(了,多,主播)
 8:37 - 9:13	胖哥来早过了[dog]	(暂停,又,])
 10:04 - 11:34	这是给胖哥伴奏呢 灯冷灯冷灯冷灯冷灯冷灯冷灯冷	(],[,冷灯)
 12:04 - 14:05	今晚不看了，明天有早八[dog]	(了,极限,主播)
 16:19 - 18:30	直播回放那个 不是封一下就整个没掉了的吗	(怎晚,孙,比心)
 31:18 - 31:53	一进来就在灯冷[dog]	(💗,捏,早)
 35:55 - 36:16	主播太有毅力了[委屈]	(毅力,太有,委屈)
 36:27 - 36:30	真的，肯定能过，牛车吧	(。,，,能过)
 36:35 - 36:48	不知道差在哪是最可怕的，还是问问胖哥吧	(都,胖哥,可怕)
 37:43 - 40:46	记得主播有个极限图干到第二天快中午了	(大力士,我要,看)
 47:05 - 47:33	孙玩了半天看到过旗杆吗	(旗杆,看到,了)
 48:06 - 48:28	@唉 这种图看视频没用[dog]	(图看,唉,没用)
 52:05 - 54:20	白胖来早过了，你还搁这灯冷灯冷	(冷灯,楞,噔)
 56:23 - 58:58	搜索走马灯	(666,],[)
 60:03 - 60:28		()
 60:43 - 60:45	有时候没砸着	(有时候,》,《)
 63:22 - 64:32	主播马造3有消息吗，想买马造2怕又出3了	(3,了,马造)
 70:17 - 70:25		()
 70:44 - 72:00	我告诉你 就是这样然后那样然后这样 就过了	(弹簧,然后,扔)
 82:20 - 90:06	到底谁是胖哥，主播的朋友吗	(胖哥,，,了)
 94:21 - 94:25	你认错主播了	(主播,认错,送灯牌)
 95:16 - 97:55	666还有第二关	(],[,;)
 98:04 - 100:05	主播主播，为什么我去胖哥直播间走马灯被雅阁了啊	(的,跳,蒙)




 104:20 - 105:07	曹森失败	(;,曹森,奖励)
 108:10 - 109:02	鸡王的直觉	(？,偷,;)
 111:39 - 112:52	松饼晚上好	(了,蒙,的)
 113:42 - 114:32	晚上好[比心][比心][比心]	(小孩,],[)
 115:11 - 115:37	我这张水关一发 你必破防	(蒙,必,一发)
 120:01 - 122:27	好图来了	(了,],[)
 123:46 - 124:18	能在老任偷个宝冠军的数据吗	(666,吗,地图)
 125:13 - 125:29	这图有意思	(有意思,这图,哈哈哈)
 126:00 - 126:14	这超级玛丽怎么这么难[捂脸] 是小霸王里的那款么	(拍,不,那款)
 135:35 - 135:36		(没见,怎么,过)
 136:09 - 136:32	@纸飞机 yhj，桀哥哥，也是技术观赏和作图一样可以的，不过就是太低调	(，,技术,的)
 136:39 - 138:01	@长沙王哥自驾租车 超级走马灯2爱牛	(我,是,这倒)
 138:17 - 138:33	太稳定了	(稳定,了,对)
 141:07 - 141:39	蒙的	(的,蒙,鸭)
 142:12 - 143:37	0人简单图，飞了	(评价,如何,，)
 151:19 - 152:11	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(哈哈哈,],[)
 154:15 - 154:59	蒙的	(蒙,的,;)
 165:35 - 165:48	胖过过这张图	(胖过,三段,张图)
 173:04 - 173:37	大哥我们是来看你通关的	(五贵,能教,雪花)
 174:12 - 174:17		()
 174:32 - 175:18	主播今天玩不玩对战了	(对战,做,？)
 175:40 - 176:22	用这个技巧做个图吧	(基本,做个,图)
 179:22 - 180:17	主播吃鸡爪吗	(鸡爪,！,吃)
 180:27 - 181:00	我举报了58同城但没啥用	(年,举报,手段)




 183:32 - 184:48	约了男妹妹0 洗澡发现是猛1管不管	(230,是,了)
 188:00 - 191:07	松饼 总督	(总督,松饼,饼)
 193:57 - 194:07	我一次都没排上[dog]	(),河田,()
 197:33 - 198:27	还真是，除了大蘑菇都赢了[dog]	(LOSE,第一把,大)
 204:01 - 204:54	好饼	(哈哈哈,好,饼)
 209:13 - 209:36	@zhi先生 原来是你劈的[dog]	(劈,⋯,輸掉)
 211:21 - 211:41	早[喝彩][喝彩]	(],[,喝彩)
 213:39 - 215:30	海南人找到了	(士,大戾,海南)
 218:01 - 219:25	我不打主播了，我但凡見到日本人我就打	(哈哈哈,哈哈哈哈,我)
 224:07 - 224:31	来两个蓝龟两个雷你就老实了	(第五名,两个,蓝龟)
 224:43 - 226:04	也找你了	(哈哈哈,了,你)
 226:57 - 228:43	搞得好像你全程手里拿东西了一样[dog]	(;,LOSE,用)
 238:26 - 240:08	像范小勤才会干的操作	(该,],[)
 246:57 - 248:56	感觉是盖欧卡的雷[花]	(哈哈哈哈,欧卡,盖)
 249:01 - 249:35	不是我打的雷啊[dog]	(],[,我)
 249:39 - 249:51		(粉丝,方向,反)
 250:26 - 250:43	老板大气[比心][比心][比心]	(比心,],[)
 250:49 - 251:06		(什么游戏,问号,？)
 251:08 - 251:25	主播别看sc，是恶评	(⠀,真压,恶评)
 253:42 - 254:45	我在想直播间10秒延迟，你喊打雷的时候是不是正好你状态正好结束[dog]	(正好,打雷,你)
 256:10 - 256:50	笑死	(笑,死,失误)
 256:59 - 260:40	车队内战	(],[,了)




 268:08 - 270:51	3打1里被打的是主播 望周知	(],[,第一)
 275:15 - 277:36	我卡了	(👻,了,])
 279:50 - 284:05	@用户493692969 奶油松饼bot是弹幕转发程序，转发b站弹幕的	(士,大戾,])
 284:57 - 285:42	松饼其实是主播连的豆包程序	(噔,是,连)
 286:12 - 287:07	其实直播画面是ai生成的，真实的主播早就在霓虹结婚生子了[爱]	(的,生子,结婚)
 287:27 - 288:04	打的就是精锐	(绝大部分,度日如年,精锐)
 290:59 - 292:16	蒙的	(！,666,🟦)
 299:35 - 300:29	你也没啦[哇]	(车,加纳,道具)
 305:46 - 305:55	那咋了	(笑,死,咋)
 310:12 - 313:01	你问我 那我只能赖手柄了啊	(你,失误,了)
 320:10 - 320:25	蒙的	(？,谦让,蒙德)
 320:59 - 324:34	這遊戲叫原神卡丁車：世界[哇]	(！,委屈,])
 324:41 - 325:01	什么时候出喷射战士	(战士,喷射,扣)
 331:30 - 331:51	马上来	(血馒头,马上,胖)
 333:07 - 334:37	走马灯车队怎么不发力啊	(！,牛哇,哇)
 342:37 - 344:16	再玩一把吃鸡续钻粉	(加纳,血馒头,吃)

