全场最高能：175:58	齿轮有两个你只吃了一个

其他高能：
 7:07 - 9:36	松饼来都试过去了 主播还在这里蒙[dog]	(怎晚,孙,了)
 13:01 - 15:05	这藏了吧	(;,藏,飞)
 15:23 - 16:28	还不飞	(;,。,？)
 17:17 - 17:37	@987654321 超级走马灯2爱牛	(走马灯,祝主播,987654321)
 17:50 - 19:27	[嘘]好人不认识我了	(],[,瞬移)
 20:06 - 20:19	@有故事的鑫哥 上转转	(转转,鑫,哥)
 23:02 - 24:18	[捂脸]刺激	(;,666,的)
 30:43 - 31:38	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(蒙,呆,])
 32:37 - 33:29	蒙的	(的,比心,蒙)
 35:56 - 38:48	我说实话，这图别说你胖哥了，就是松饼来了都随便过	(，,比心,了)
 40:27 - 41:51	走马灯对角线热熔胶还花呗去水印砍伐证上雅阁卖电脑是什么意思啊	(雅阁,主播,比心)
 42:07 - 42:14	哔哩的观众，你们为什么不来小抖看直播啊	(小抖,条件,400)
 46:10 - 46:41	那食人花管子里要是藏了就神作了	(捂脸,],[)
 46:50 - 47:24	贪了	(重来,贪,了)
 53:01 - 53:20	今天又没有受气挨骂环节吗[问号]	(],[,？)
 53:43 - 54:57	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(紫蝴蝶,憨,这)
 58:49 - 59:21	为什么不玩多人，是因为多人许可证到期了吗	(比心,],[)
 59:29 - 60:03	@唉 我原来3天1走，现在1天3走，为了走马灯，房都卖了	(我,，,天)
 64:55 - 65:00	胖哥来早就让爱牛帮他踩板栗了	(不,看多人,终于)
 65:13 - 65:31	这是怎么了	(哉,这里,这是)




 65:39 - 66:41	玩牛车就刷中立主播了	(不够,dog,了)
 70:33 - 72:37	可惜没终点杀	(我,],[)
 73:01 - 73:24	@クリーム松饼 刚才bot说饼饼晚会消息还会说明原因	(饼,晚会,原因)
 74:04 - 74:36	这么聪明[dog]	(聪明,瑕疵,孬)
 74:42 - 76:05	好厉害	(;,蒙,补给线)
 78:26 - 79:27	卧槽真nb	(;,蒙,的)
 82:21 - 82:50	这图做的有创意哎	(跑,破纪录,快)
 85:55 - 86:53	全部啊	(全部,69,不用)
 89:05 - 89:40	好图	(季,小麦,38)
 89:45 - 92:07	飞吧 算你过了	(;,飞,了)
 97:08 - 97:56	牛批	(;,666,38)
 108:58 - 109:40	那为什么不放可以钻带地下的扔扳手的海南人	(海南,人,可以)
 109:46 - 114:49	刚来就在走马灯啊	(走马灯,],[)
 115:31 - 117:01	金河田是小桀的梗吗，孙孙和小桀有恩怨吗[dog]	(是,的,卡)
 117:57 - 119:59	b站录播组底下都是走马灯的推荐[捂脸]	(],[,我)
 120:06 - 120:15	胖哥一年50万收入是有的吧[吃瓜]	(崩得,收入,万)
 120:30 - 125:14	这些视频已经像走马灯一样刻在主播记忆里了	(走马灯,了,])
 127:45 - 129:29	大家别被骗了，主播才是胖哥，不信可以去看主播超美丽3D视频	(胖哥,了,刷)
 145:51 - 146:30	那胖哥8000是9000的水平	(胖哥,那,8000)
 146:40 - 147:13	这么说我胖哥的8000得一万的含金量	(8000,胖哥,含金量)
 156:49 - 159:10	还不如像金河田一样不懂英文就不会掉下去了	(哈哈哈,向前,;)
 160:38 - 162:04	那你买了新的手柄，旧的手柄怎么处理	(流畅,手柄,的)




 164:33 - 165:41	坑壁图还选门	(的,送,选门)
 174:54 - 178:04	齿轮有两个你只吃了一个	(;,一个,少)
 179:56 - 180:46	走马灯的人（ ）	(套,补水,走马灯)
 180:58 - 181:55	所以 你才是走灯一等功臣	(猜,天眼,灯)
 182:00 - 182:12	这怎么不知道了[dog]	(知道,刺,怎么)
 186:31 - 188:16	写的是官能小说吗	(小说,？,写)
 188:28 - 188:34	白胖的诱惑 品如的衣服	(品如,诱惑,衣服)
 195:18 - 195:19	这图正常玩家，多少命才能过	(才能,正常,命)
 196:30 - 196:38	主播还不如小杰	(级别,专门,玩家)
 207:46 - 208:26	没事 到门口喊就行 喊两声主播就出来了	(啊啊啊,喊,门口)
 209:58 - 212:19	松饼趁主播不在马车已经上8000了[爱]	(h, ,])
 216:45 - 221:17	主播写的是不正经小说	(写,？,小说)
 226:34 - 227:57	又来一把	(士,大戾,亿)
 236:40 - 238:49	耶[哇]	(！,了,哇)
 247:56 - 251:10	[大哭][大哭]ztmex[大哭][大哭][大哭]	(！,？,大哭)
 257:56 - 259:18	加纳了	(加纳,],[)

