全场最高能：246:57	isun发力了

其他高能：
 3:15 - 5:21	[呆][鼻子]我懒啊 所以我点不了	(],[,哎)
 6:21 - 7:01	游戏结婚了吗[鼻子] 需要给别人也充点嘛	(又臭又长,],[)
 8:22 - 10:31	技不如人啊	(;,技不如人,💗)
 11:13 - 11:47	假仁假义[dog]	(委屈,假仁假义,])
 15:00 - 16:12	技不如人x2	(技不如人,;,吗)
 17:37 - 19:05	乐[dog]	(],[,_)
 19:12 - 19:38	蒙的	(蒙,的,;)
 24:11 - 24:30	马上就非得杀第一	(刺激,雷炸,留个)
 27:07 - 28:34	为什么每次卡你都在，是不是自己开[dog]	(开,卡,每次)
 30:11 - 33:00	走马灯吧	(！,了,的)
 34:03 - 41:17	问题来了，谁开的	(白胖,，,不如)
 42:28 - 43:45	开了	(;,？,蒙)
 54:09 - 56:31	技不如人[dog]	(;,技不如人,落后)
 62:46 - 62:59	老板大气💗💗💗	(老板,💗,暗廣)
 63:30 - 64:09	就因为小蓝说过请投掷就不给汤吗	(老板,糊涂,么)
 64:40 - 66:41	胖哥来就刷上了[dog]	(;,？,了)
 67:27 - 68:56	现在你不是最快的了[dog]	(技不如人,;,7500)
 69:32 - 69:40	孙孙  三年前买的oled昨天卖了 又入了ns2[dog]	(么,入,oled)
 70:38 - 72:11	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(啵,主播,💗)
 79:32 - 81:05	还被嘲讽了[dog]	(加油,吧,;)
 82:01 - 82:44	极限图来了	(人性,图,了)
 85:51 - 86:10	读图能力不如白胖，作图能力不如白胖，手速不如白胖，人气不如白胖，人品不如...	(不如,白胖,，)




 91:40 - 92:27	我喜欢在🐟的什么兔来着	(7000,胖哥,上)
 94:18 - 94:25	他有情报优势	(优势,情报,6900)
 94:29 - 94:52	你扔个蓝龟他必破防	(委屈,=,他)
 95:42 - 95:56	不是你垫的吗	(路易,速通,脉)
 99:01 - 99:16	完了真要7000了[dog]	(可进,真要,完)
 110:06 - 111:37	走马灯第二季开始了 原来有爱孙	(？,的,蒙)
 115:35 - 115:52	开了	(大戾,士,你)
 116:02 - 116:20	报警吧 看看北京网管管不管这当事	(拉黑,路易,还)
 118:19 - 119:19	假仁假义了	(了,肯德基,卡比)
 120:24 - 121:41	主播原谅胖哥了吗	(;,],[)
 122:45 - 122:58	那咋了	(咋,那,赢)
 128:54 - 129:21	马造3能开四人房间就好了，主播就能天天和粉丝同场竞技了	(我,能,给)
 129:24 - 129:49	主播我要睡了能不能别一惊一乍的，都要给我吓软了	(看,，,解答)
 131:04 - 131:45	你不是有DR的经验吗	(杀,第一,谢谢)
 131:53 - 132:28	胖哥纪晓岚是对的	(你,，,回应)
 137:06 - 137:35	什么情况才会想买马灯[dog]	(走马灯,按摩,马灯)
 138:32 - 139:01	为什么这图能生成这么多花，背景不是随机生成吗[dog]	(生成,666,背景)
 144:20 - 146:25	那上一杯也不理解网恋[dog]还找个国外的	(],[,网恋)
 150:24 - 150:37	今天是什么日子，好多直播间老嘉宾返场[花]	(返场,嘉宾,日子)
 157:27 - 158:20	超级打工仔	(哈哈哈,;,打工)
 159:28 - 160:27	该啊	(喝,好,别)
 161:42 - 162:42	他甚至还不说谢谢	(谢谢,;,好人)




 177:29 - 177:50	笑死，被马里奥骗到了	(哈哈哈,大戾,士)
 179:14 - 180:13	这车不会害了我吧	(],[,捂脸)
 180:36 - 180:58	小蓝赢了	(理智,不太,不上)
 182:01 - 183:07	主播不走马灯了，就开始生气了	(了,大戾,士)
 200:22 - 200:26	卡塔卡塔卡塔	(卡塔,走马灯)
 202:49 - 204:31	我知道谁开的了，马里奥路易奇诺比奥奇诺比珂里面其中一个人开的	(开,我,的)
 208:25 - 209:14	那咋了	(牛车,了,咋)
 209:42 - 210:21	开走lite	(。,哈哈,哈哈哈)
 213:27 - 215:04	这图多人无敌了	(;,了,这图)
 216:56 - 218:50	流鼻涕的赢了	(了,的,])
 223:17 - 223:46	想想胖哥会怎么做[dog]	(公孙瓒,公孫瓚,炸房)
 225:32 - 226:57	还不是小蓝赢[哇]	(技不如人,;,太好了)
 230:25 - 232:07	路易气的吧游戏机摔了	(路易,;,666)
 232:34 - 233:31	isun发力了[dog]	(蒙,的,？)
 236:13 - 236:22	小粉揍路易去了	(揍,起来,小粉)
 236:31 - 236:40	什么多人模式，这叫抗日模式	(模式,陪你走,得到)
 245:53 - 249:08	isun发力了	(isun,;,了)
 254:05 - 254:28	@クリーム松饼 饼饼我好困[委屈]	(委屈,呢,饼)
 258:52 - 260:33	isun给的高压训练真给主播训出来了[汤圆]	(！,哇,灯顶)
 269:52 - 270:22	偷555导弹是吧	(好,狙击,公益)
 270:38 - 271:16	这牛庆祝动作太嘚瑟了	(第四名,丢人,直播)
 279:34 - 280:48	他以为你有[dog]	(你,以为,哈哈哈)
 288:50 - 289:04	太远了	(太远,GG,了)




 289:21 - 289:34	GG，这把连尾灯都看不到	(尾灯,GG,看不到)
 290:15 - 291:56	我刚刚本来第三的，被555打下了[dog]	(的,淘汰,555)
 292:15 - 292:22		()
 292:41 - 293:09	这把没有分高的了，概率很高[dog]	(把,难,播进)
 298:32 - 299:52	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,凡凡)
 305:19 - 308:14	孙孙快找扩音器  妈妈怕	(了,委屈,龟壳)
 310:16 - 313:26	空中的时候尽力往下飞，还能早点出界了[dog]	(了,蘑菇,可惜)
 321:02 - 324:08	555加纳了	(],[,大戾)
 336:24 - 339:50	加纳[爱][爱]	(加纳,！,马车)

