全场最高能：82:35	有isun，稳了

其他高能：
 4:36 - 7:35	胖哥允许了吗，你就玩多人	(孙怎来,],[)
 11:19 - 12:10	高手不赢前8000把	(高手,前,不)
 15:32 - 17:20	我去搜了下，感觉这个白胖技术又好分数也高，直播也戾气轻，好像还是什么国内第一	(蒙,dog,的)
 20:34 - 21:04	主播没直播的时候都在胖哥直播间学技术呢	(？,LOSE,哈哈哈)
 21:18 - 24:42	主播，我马上12级牌子了，你能嘬我一下吗，我保证把手机放脸上[dog]	(],[,，)
 25:36 - 27:16	雅阁了	(！,],[)
 27:47 - 29:12	差一点孬	(;,可惜,鱼)
 30:13 - 30:29	技不如uu	(技,不如,！)
 30:47 - 30:48	@有故事的鑫哥 对洛丽塔不感兴趣[dog]	(不感兴趣,洛丽塔,鑫)
 37:51 - 39:10	为什么主播当第一的时候碰到的图就杀第一，落后了就不杀第一，难道是读图能力不行	(🤡,合影,，)
 46:37 - 48:18	雅阁了	(雅阁,;,了)
 48:34 - 49:55	斗地主[dog]	(],[,斗地主)
 54:34 - 55:09	耗到40秒然后放弃	(💗,放弃,捏)
 60:58 - 61:32	你为啥不拿条件	(条件,你,拿)
 67:05 - 67:16	望庐山瀑布	(技不如人,庐山,瀑布)
 69:22 - 69:41	重启not	(重启,分高,规定)
 74:06 - 74:48	雅阁了	(上面,雅阁,;)
 79:36 - 85:28	有isun，稳了	(;,],[)
 92:43 - 93:12	别开会员，这个叫松饼的会拉你进一个黑我家胖哥的群	(的,胖哥,别开)
 96:56 - 97:26	蒙的	(？,;,的)
 97:59 - 99:42	哥叫的太虚伪了，后面三个字才是真心话	(大笑,;,])




 102:22 - 102:52	@クリーム松饼 突然听到了熟悉的声音，死去的回忆开始攻击我了[dog]	(的,-,])
 107:41 - 109:28	等着 500 秒都够输好几把的了[dog]	(秒,],[)
 119:01 - 120:06	哈哈唉	(],[,大笑)
 120:43 - 120:52	@クリーム松饼 [dog]	(一对,6850,鸳鸯)
 121:53 - 122:09	@Miss. 圈圈🌸 这么刺激[dog]	(这么,私密,活动)
 133:45 - 136:32	假仁假义[汤圆]	(假仁假义,喝,你)
 136:45 - 137:11	怎么给过孬	(孬,不好,过)
 139:35 - 140:24	蒙的	(?,蒙,的)
 142:44 - 144:51	异地咋了，还有异国的呢	(异国,的,])
 146:30 - 147:23	喜欢主播的话可以送灯牌和礼物支持一下哦，开舰长会员可进粉丝群喵[比心]	(比心,],[)
 148:52 - 150:00	合影不亏	(技不如人,哈哈哈,;)
 150:04 - 150:08	主播大号8000	(大号,主播,八千)
 151:35 - 152:35	老板糊涂	(;,💗,这)
 153:32 - 153:37	LOSE	(🈚,️,ム)
 156:05 - 160:21	isun有点多啊	(],[,加油)
 161:16 - 161:42	然后一看人家做了100张	(],[,了)
 162:06 - 163:26	哈哈哈哈哈	(;,],[)
 167:37 - 170:11	主播你不也是日本人吗	(！,日本,人)
 171:29 - 172:17	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(胖哥,黑瘦,那)
 183:14 - 183:58	蒙的	(蒙,;,的)
 195:27 - 195:30	孙哥的大手还能控制黄金价格	(黄金价格,大手,孙哥)
 196:34 - 197:55	份额没变，不是实体的买完不也是买到同体积实体金吗	(实体,买,价格)




 199:28 - 203:04	主播你的意思是买一点黄金，再去蹲几年，出来就发财了吗	(的,，,流星)
 206:35 - 209:17	那为啥我看到中间的是加速	(是,加速,中间)
 210:42 - 211:10	小蓝要是挠一下 主播就去起点了	(哞,小蓝不冲,起点)
 217:56 - 219:27	@奶油松饼bot 你是机器人么	(￴,机器人,松饼)
 220:17 - 221:23	蒙的	(;,？,的)
 221:58 - 222:13	谁让我吃	(吃,高手,天天)
 222:27 - 223:00	就杀第一 那咋了	(了,加油,第一)
 223:45 - 224:13	牛逼[捂脸]	(哈哈哈,走马灯,挣得)
 228:44 - 230:00	纯纯技不如人[dog]	(技不如人,选手,胖哥)
 231:29 - 231:36	6	(6,LOSE)
 236:05 - 238:05	弹幕都是赞美胖哥，主播非得抹黑胖哥[dog]	(！,胖哥,主播)
 239:18 - 241:32	路易基叔叔怎么在幼儿园死了啊[大哭]	(捂脸,],[)
 243:54 - 244:53	你都害死她了，还不能开了[dog]	(开,了,你)
 249:32 - 251:16	哈哈进错了	(了,进错,哈哈)
 251:43 - 251:49	LOSE	(捂脸,LOSE,哈哈哈哈)
 253:50 - 254:42	爱吃蘑菇	(吃,蘑菇,胖哥)
 255:24 - 255:46	哪来的爱孙	(爱孙,？,哪来)
 259:49 - 261:03	果然技不如人	(？,守门,技不如人)
 263:14 - 264:13	为什么爱牛不来搞主播	(偷窥,],[)
 266:35 - 266:41	不如胖哥	(不如,胖哥)
 269:21 - 269:55	8000刷飞机，那得是6年前[dog]	(8000,樱,开)
