全场最高能：31:50	每次公平图都得死很多金河田

其他高能：
 4:17 - 5:00	一来就是技不如人	(主播,，,技不如人)
 6:04 - 6:46	@不昧因果 早💗💗💗	(💗,老师,比心)
 7:18 - 8:39	7000了	(了,💗,7000)
 10:23 - 11:54	我前天看还是6900呢，玩宝可梦上去的吗	(了,7000,上)
 12:41 - 13:50	@唉 乐[dog]	(💗,8000,666)
 15:26 - 16:46	蒙的	(666,的,蒙)
 16:51 - 18:17	主播什么是上的7000	(了,，,的)
 19:51 - 20:48	这可惜了	(~,汤,喝汤)
 21:03 - 21:43	@クリーム松饼 怕什么[dog]打过来我就投敌[dog]	(],[,打)
 25:49 - 26:16	怎么每次开都有你 是不是你开的	(开,的,谁)
 26:57 - 27:05	7000睡觉	(7000,睡觉,怎么)
 27:20 - 27:39	别来公平图了	(了,公平,分)
 30:33 - 32:46	每次公平图都得死很多金河田	(了,金河田,就)
 34:45 - 35:32	人人都可以成为爱牛	(选林克,工地,回去)
 36:03 - 38:07	主播这么有技术，你们在说他是蒙的，我就生气了啊	(;,的,蒙)
 40:03 - 41:03	不会真要7100吧该来点选的图了	(！,图,公平)
 42:28 - 43:38	哈哈哈 路易	(;,大戾,士)
 44:11 - 44:17	幽默小蓝	(幽默,小蓝)
 44:28 - 45:07	别人能过就能过不去是吧[dog]	(合影,开始,了)
 46:40 - 47:07	不愧是7000的，欺负白名手到擒来	(。,很爽,图多来)
 49:53 - 50:51	玩大老粗还玩失败了哈哈哈	(哈哈哈,;,？)
 53:55 - 54:04	鼓大包了	(了,鼓,大包)
 54:38 - 55:27	我也鼓大包了，和主播一样	(该,哈哈哈哈,第一)




 59:23 - 59:53	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(先生,白名,])
 61:44 - 63:13	这个赞是你点的吗	(的,;,蒙)
 67:33 - 68:43	这次真的是蒙的了	(;,？,蒙)
 69:28 - 70:18	技不如uujsq	(，,你好,双排)
 80:41 - 82:22	小粉肯定玩过那张图，不是主播能力问题[dog]	(;,，,孬)
 82:55 - 83:54	刚来就悲哀了	(悲哀,就,了)

