全场最高能：212:44	不过这任务确实恶心，xl的范围是241～

其他高能：
 0:00 - 1:50	@クリーム松饼 上班只是为了走马灯而准备的资金[dog]	(为了,走马灯,狐狸)
 5:35 - 7:53	什么灯	(灯,2,])
 8:27 - 10:05	@クリーム松饼 什么砍伐证[dog]	(砍伐,证,@)
 16:35 - 16:49		()
 17:32 - 17:42		()
 22:36 - 22:50		()
 24:31 - 25:05	主播怎么还在清理麻子	(清理,麻子,怎么)
 25:22 - 27:03	咖喱[哇]	(咖喱,想,])
 28:22 - 30:07	那咋了，人家就喜欢下垂的	(的,了,咋)
 31:50 - 33:51	你们写小说的都这样吗	(了,小说,？)
 34:12 - 34:24	点歌：大出殡	(出殡,点歌,长)
 40:57 - 42:00	这棺材脾气也是真好打了这么多次不还手[捂脸]	(不,],[)
 43:18 - 44:15	愤怒拳也要先挨打才高输出	(愤怒,输出,挨打)
 46:56 - 46:58		()
 51:27 - 51:57		()
 54:22 - 55:41	这种球在栏杆外面用十万伏特打就行了	(外面,栏杆,球)
 62:30 - 62:44	谁喜欢暴暴龙z	(z,暴暴龙,喜欢)
 63:18 - 63:29	别急 他还有篇故事	(篇,别急,故事)
 64:03 - 64:28		(费,版权,收到)
 66:24 - 68:19	这俩个刚买完 还有别的吗	(吗,别的,刚买)
 68:28 - 69:19		(瞎子,歧视,难不成)
 70:12 - 70:15		()
 71:29 - 72:12	很辣椒	(辣椒,很)
 73:41 - 74:13	没中 那桌	(抛物线,挡住,那桌)
 74:56 - 75:30		()
 76:32 - 77:43	震惊，日本主播在宝可梦游戏里为gszm放辣椒服务	(辣椒,服务,放)
 79:17 - 80:03	主播专门打小孩	(带坏,小学同学,专门)




 84:19 - 88:34	@未丨改丨名 早💗💗💗	(💗,早,拍拍)
 90:26 - 97:51	我为银河队做了那么多 他给我赶出来了 村里还没人为我说句话	(],[,了)
 98:04 - 99:18	就是这地方这个头目独角虫抓了之后还要给他[微笑]	(这个,],[)
 99:38 - 101:17	主播开播我睡觉，睡醒了主播还在播[dog]	(],[,了)
 102:17 - 102:40	踏踏开	(踏踏,开,nb)
 102:58 - 103:17	那你打多人又是什么意义，又灯不了顶	(又,！,打)
 105:18 - 105:50	他也有好几个任务	(造型,利亚,多美)
 106:03 - 106:42	她有好几个任务[dog]别走	(],[,我天)
 109:55 - 110:27	没有头目闪吗	(搜索,直接,没有)
 117:24 - 119:31	你看这不就有五个了	(比心,饼,💗)
 121:37 - 121:55		()
 127:04 - 128:33	我的弃世猴就给她改名成花宝鼻了[dog]	(你,啊,级)
 144:05 - 145:49	@昕月小雪儿🦋 宝可梦za	(！,宝可梦,在)
 146:49 - 147:16	永远的家	(千多米,家,永远)
 147:40 - 152:10	那金河田是主播率先研发的吗	(走马灯,主播,是)
 152:53 - 153:56	[撇嘴]主播这个借钱的活动还有吗	(朋友,吗,6000)
 159:05 - 159:17		()
 162:14 - 162:55		()
 168:08 - 171:22	他的意思是  在咖啡馆妇尽的美发沙龙	(咖啡馆,的,审美)
 175:31 - 176:25	我去，主包还没睡啊	(感叹号,迟到,主包)
 177:37 - 177:48		()
 180:08 - 180:15	笑死[dog]	(死,笑,dog)
 180:32 - 180:36		()
 185:41 - 186:42	没事，猴年也就后年了	(，,猴年,玩偶)




 197:28 - 199:25	是开播了还是还没下波，我看着入睡的，不会睡醒还在播吧	(的,了,还)
 200:07 - 200:57	这不就是xl吗[dog]	(xl,就是,这)
 202:25 - 206:23	晚上抓才有非头目xl，没记错的话	(刷,晚上,凳子)
 207:14 - 209:30	你那一百万的咖啡不就是在这喝的[dog]	(咖啡,的,南瓜)
 209:34 - 210:26	不是进化型	(型,为啥,进化)
 212:09 - 215:12	不过这任务确实恶心，xl的范围是241～	(抓,],[)
 218:01 - 218:18		()
 218:37 - 220:33	我知道的，主播想要闪大白胖南瓜[委屈]	(],[,！)
 222:43 - 224:10	@昆～ 我刷的时候不知道，硬是去宝可梦中心坐的椅子[dog]	(椅子,孙,的)
 230:51 - 233:08	旁边那个头目多大啊	(的,能,怎么)
 233:27 - 233:52	我意思你就看着那个头目的大小抓	(目的,头,意思)
 234:57 - 235:33	有携带物可以放生	(物,携带,放生)
 238:49 - 238:53		()
 239:25 - 240:30	XL体型大颗种南瓜精	(很多,能省,清楚)
