全场最高能：203:40	然后他进了你的门

其他高能：
 8:17 - 9:49	最喜欢看孙孙玩多人图了	(？,晚上,好)
 10:29 - 16:19	太准了	(了,💗,LOSE)
 17:19 - 17:40	你怎么知道终点在上面	(666,怎么,牛批)
 19:30 - 20:15	@唉 好好好[dog]	(日,💗,无汤)
 22:10 - 25:20	之屋恩 准	(。,准,[)
 25:35 - 25:59	技不如7079	(7079,70000,情绪)
 26:32 - 27:32	没有路易吉叔叔吗	(走马灯,哇,[)
 28:53 - 33:45	为什么是胖哥死了	(啊啊啊,[,])
 34:47 - 36:32	技不如人了	(技不如人,卡,了)
 43:25 - 43:53	[捂脸]	(;,蒙,666)
 45:28 - 45:38	[dog]百分之99真的吗	(99,全额,tv)
 47:56 - 48:22	把你当大傻春溜是吗	(的,！,好)
 49:02 - 49:05	乐	(乐)
 49:42 - 50:20	主播那时候榜一大哥送了500个福袋 然后反手还给主播送了5个超大丸星 大...	(主播,了,...)
 51:03 - 51:15	@芽儿大王 生日快乐💗💗💗	(💗,芽儿,大王)
 51:50 - 51:55	我的天呐，哪个干部经得起这种考验[委屈]	(考验,经得起,干部)
 55:24 - 55:37	走马灯	(走马灯,？)
 56:22 - 58:37	又在走马灯了	(走马灯,;,D)
 60:29 - 61:01	又是白名赢了 气不气	(哈哈哈,哈哈哈哈,捂脸)
 66:48 - 67:09	好坏[dog]	(豆包,好坏,国内)
 67:18 - 67:21		(老婆,圈圈,来)
 72:58 - 73:38	哈哈哈[捂脸]	(吼吼,哈哈哈,捂脸)
 74:22 - 75:32	雅阁现场	(雅阁,秒,阁)
 75:55 - 77:24	不对啊，这顶了开关不是也过不了吗，必须要有人帮忙顶啊	(了,要,管子)




 81:18 - 83:59	@欲_ 有，我都给他拉黑了，在走马灯事件事发之前拉黑的，都忘了啥原因了	(了,胖哥,[)
 89:51 - 89:59	多人的尽头是胖哥的背影	(尽头,多人,的)
 91:57 - 92:00	这都什么图	(二连,乐,什么)
 93:59 - 94:44	[捂脸]	(哈哈哈,[,])
 97:16 - 98:22	绝了这图	(哈哈哈,;,[)
 98:26 - 98:34	一晚上白打	(样子,苦,主播命)
 98:39 - 98:44	谁帮小蓝顶开关的	(7000,帮小蓝顶,两把)
 98:54 - 99:00	为什么这么安静，没有ztmex吗，换人了	(秋千,荡个,换人)
 99:13 - 100:16	倒闭了	(了,倒闭,铲)
 100:59 - 101:59	主播网络不好还去多人模式当卡比，实在不行去找我桀哥让他在小区给你开一免费WiFi	(卡比,倒闭,卡)
 102:40 - 103:50	这图玩了好多次了	(这图,了,爱)
 104:03 - 104:22	这个图不是以前马里奥挡了一整场车	(图,了,爱马)
 108:10 - 111:05	哈哈哈哈哈哈哈	(;,了,[)
 112:35 - 114:23	胖哥自重了	(胖哥,自重,蒙)
 115:54 - 118:02	林克 话不多的来了	(;,，,？)
