全场最高能：32:47	被走马灯了啊

其他高能：
 1:19 - 1:37	难	(比心,],[)
 1:50 - 3:15	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,比心)
 5:59 - 6:23	怎么还堵门这个	(测试,上,，)
 9:51 - 10:09	不拿状态感觉好一点	(moyu,杏子,一点)
 11:46 - 12:01	五百秒极限图	(极限,图,国足)
 14:14 - 15:21	这输了哈哈哈	(合影,;,])
 15:27 - 15:32	他们为什么要打起来	(老实,起来,他们)
 15:47 - 16:07	蒙的	(选,蒙,的)
 16:11 - 17:03	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(蒙,晦气,，)
 18:08 - 19:05	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(;,加油,])
 20:36 - 20:43	蒙的	(良心发现,礼貌,胜利)
 20:45 - 23:14	白胖：国内马造2综合第一，全领域顶林克：顶级高玩，但综合比白胖差一档	(，,综合,开播)
 26:07 - 27:25	蒙的	(的,蒙,;)
 28:51 - 31:03	狗熊来早过了，你还在这男左女右	(;,],[)
 32:15 - 35:06	被走马灯了啊	(;,],[)
 37:24 - 39:51	伏笔6999	(;,7000,了)
 45:26 - 45:43	感觉是被大脸砸死的	(;,的,蒙)
 47:01 - 50:25	又6999	(;,哈哈哈,6999)
 57:26 - 58:00	去请教胖哥吧	(吧,],[)
 59:00 - 60:30	雅阁[汤圆]	(;,算,？)
 61:25 - 61:57	可算蒙过了	(蒙,了,的)
 74:28 - 76:09	这才是紫蝴蝶	(不如,白胖,])
 86:43 - 89:54	死了啦，都是你害的	(的,极限,了)




 96:02 - 96:53	这不是全看运气吗，你运气差，十分钟二十分钟过不了	(吃,，,过)
 98:18 - 98:40	不行问下胖哥吧，直播吗，不寒碜	(运气,，,吧)
 98:59 - 101:22	主播过了也是不到3秒	(],[,吧)
 102:28 - 103:34	雅阁了	(雅阁,了,跳)
 106:46 - 107:06	算你过了	(过,播一晚,接近)
 108:10 - 109:48	蒙的	(蒙,的,？)
 116:39 - 116:52	作者自己玩系列	(、,对方,不看)
 121:52 - 122:08	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(的,],[)
 130:08 - 130:27	我还挺惊讶的[捂脸]突然就刷到了	(就,惊讶,LOL)
 130:34 - 131:05	@momo 他上次过的图一路踩海南人，我评价了一句你兄弟到哪都垫着你，就...	(看,说明,，)
 131:18 - 132:45	@洛胡 奶油松饼bot是弹幕转发程序，转发b站弹幕的，我发的弹幕隔壁也能看见	(！,弹幕,说话)
 133:37 - 134:37	还是雅阁好，我一句话没说，就是到他主页看了一眼就被拉黑了[dog]	(，,请,老)
