全场最高能：479:20	除非你有比马里奥派对还充足的线下游玩需求[花]否则这游戏不值[花]

其他高能：
 6:12 - 9:06	请问这是超级小孙的直播间吗	(@,💗,松饼)
 13:04 - 13:09		()
 13:16 - 15:22	@爱钓鱼的清华 这是任天堂Switch2独占的马力欧惊奇dlc	(@,],[)
 16:03 - 16:40	下面不是有一个人参观吗	(dlc,孙建个,参观)
 17:56 - 18:54	不是，蓝色的区域只能建房玩，其他区域可以匹配	(，,一起,啊)
 22:09 - 22:15	md点错了，主播能给我退九毛钱吗	(好快,毛钱,九)
 24:00 - 25:28	这不是主播最讨厌的探路图吗	(了,吧,加油)
 27:02 - 27:28	什么意思啊	(啊,蒙,不是)
 29:34 - 30:42	这东西值得dlc的钱吗	(比心,],[)
 31:03 - 33:12	去外面的世界有打boss	(？,你,选)
 33:35 - 33:40		(爹)
 37:59 - 39:36	还好没有ns2不受这气	(比心,[,])
 39:49 - 39:57	何意味	(玩买,意味,何)
 40:17 - 41:23	主播我记得还有双重徽章，你可以去看看在哪买[dog]	(dog,买,])
 45:03 - 45:17	@阳刚的灰兔®🐰 这是dlc	(看车,上升期,情绪)
 49:01 - 49:20	我的天呐太实惠了，我一定要劝身边人入坑[捂脸]	(要,不,我)
 66:54 - 67:16	什么时候出马造三带惊奇系统的	(造三带,出马,👊)
 68:00 - 68:21	埋好了等dlc是吧	(有,吧,埋好)
 70:05 - 72:59	@クリーム松饼 松饼 没本体能玩dlc吗 我ns还没卸游戏	(厉害,了,真)
 73:34 - 74:47	那咋了，胖哥来就能摸到	(摸,了,胖哥)
 74:57 - 75:38	胖哥就能	(爽快,超,质疑)
 76:30 - 78:45	你换个勋章不就能摸到了	(无聊,吧,就)




 79:17 - 81:08	就非得杀第一	(第一,],[)
 81:37 - 81:40	这图意义何在	(何在,意义,这图)
 93:16 - 93:38	就是都到69了有这时间	(都,白给,69)
 97:39 - 98:18	哇这个玩法太惊艳了👍👍👍	(👍,],[)
 102:29 - 103:10	我们能去打boss吗	(吧,悲哀,吗)
 103:49 - 104:33	哇主播发现了	(哈哈哈,哈哈,勇峰)
 104:38 - 104:54	就不能一次浇十朵吗	(哈哈哈,悲哀,咋)
 112:13 - 113:31	好无聊啊	(好,啊,无聊)
 113:38 - 114:05	主播这玩的不如胖哥	(充,的,啊)
 116:49 - 117:25	主播只能玩玩这些游戏了	(哈哈哈哈,好,关没)
 121:08 - 122:22	主播可以让我成为你的朋友吗[哇]	(。,吗,会员)
 125:12 - 125:15	虾	(虾,左上角)
 125:25 - 126:27	藏B	(藏,b,B)
