全场最高能：168:01	还有谢谢[汤圆]

其他高能：
 1:13 - 2:18	早早早[比心][比心]	(怎早,孙,比心)
 2:40 - 3:30	@クリーム松饼 饼饼早	(早,饼,💗)
 6:38 - 7:23	好图	(！,哈哈哈,再见)
 7:39 - 9:01	胖哥允许了吗，你就玩多人	(],[,;)
 10:15 - 11:25	乐[dog]	(],[,白眼)
 13:20 - 14:44	松饼刚刚还在吗，不知道跑哪偷懒去了[dog]	(的,],[)
 18:47 - 22:43	连汤都没 真为主播感到悲哀	(;,哈哈哈,])
 22:59 - 23:28	这次真是技不如人	(俯冲,我,悲哀)
 24:01 - 24:33	真感到悲哀	(马,整整齐齐,faydya)
 27:54 - 28:27	蒙的	(合作,一起,的)
 28:47 - 29:07	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(欺负,跃马扬鞭,暴)
 30:12 - 32:28	@クリーム松饼 主播是我的，我俩都多少年了，我叫妙子，你叫什么	(@,叫,，)
 32:33 - 33:27	后来改名叫做边际递增的金河田，现在你是举着咕咕鸡的八分熟	(哈哈哈,那边,是)
 41:21 - 43:08	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(？,;,，)
 43:26 - 44:07	不要对比	(卡,他,合影)
 46:53 - 47:31	又技不如人	(坠机,了,不好)
 48:41 - 52:54	主播能讲讲走马灯是什么吗	(主播,，,是)
 54:16 - 57:31	果然技不如人，7200来了	(，,技不如人,7200)
 58:00 - 58:10	1	(1)
 68:35 - 71:20	7300的来了	(了,7300,的)
 73:46 - 74:56	找到终点了[dog]	(技不如人,呜,你)
 76:36 - 78:28	技不如人[哇]	(技不如人,么,了)
 81:46 - 82:26	那咋了	(;,咋,了)




 83:23 - 86:14	哈哈哈 严谨	(士,大戾,？)
 92:48 - 94:30	哈哈哈哈哈哈哈	(;,哈哈哈,了)
 96:39 - 97:18	为什么是4000不是8000	(？,;,裤子)
 97:26 - 97:46	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(pb,;,图)
 99:00 - 99:16	小蓝生气了	(;,了,小蓝)
