全场最高能：255:44	再次被拿下[大哭]

其他高能：
 2:20 - 3:03	孙怎早	(怎早,孙,孙怎早)
 3:09 - 3:19	枣[比心][比心][比心]	(比心,],[)
 6:09 - 7:42	笑死我了	(],[,比心)
 9:18 - 10:26	那咋了，就抄	(抄,了,奥林匹克)
 18:33 - 24:05	他还得谢谢咱呢	(的,大肠,蒙)
 26:51 - 34:48	美丽的神你别看了	(],[,了)
 35:42 - 37:19	这个主意不错，主播身为京圈太子爷，游戏和NS2还有家庭会员经费就出了吧	(了,，,组织)
 37:32 - 40:48	不如ddj	(ddj,金河田,不如)
 42:47 - 42:54	补水套	(一把,分,套)
 44:41 - 46:01	7200 不失误你赢得了吗	(小号,失误,胖哥)
 46:10 - 47:33	原来你是这样的人啊	(的,蒙,次郎)
 48:13 - 49:18	这路易哈哈哈好人	(路易,;,哈哈哈哈)
 54:49 - 56:23	666为什么不猜路	(;,蒙,的)
 69:52 - 70:51	今天的互动环节好早	(士,大戾,互动)
 73:17 - 80:25	真 技不如人	(了,？,;)
 81:54 - 82:06	难怪人家7200	(7200,难怪,不愧)
 84:20 - 85:27	菜就多练	(;,],[)
 89:40 - 91:32	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(么,糊涂,老板)
 92:02 - 92:49	走马灯图	(合影,@,不好)
 92:54 - 93:04	奔迅合影	(点过,1v1,6946)
 94:26 - 94:59	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(微笑,],[)
 103:41 - 104:25	准啊	(;,7200,了)
 107:38 - 108:31	他还得谢谢你[捂脸][捂脸][捂脸]	(谢谢,还,他)




 108:33 - 108:42	如果有无敌星还会被抢钥匙和条件么	(抢,被,有)
 108:52 - 109:18	带着爱牛的白胖会被抢吗	(抢,着,牛)
 112:25 - 113:04	胖哥来早就过了 还会告诉你好玩不难	(666,;,牛哇)
 113:51 - 115:17	哈哈哈哈哈	(;,哈哈哈,？)
 118:30 - 119:46	技不如人[dog]	(技不如人,;,卡)
 122:16 - 124:48	极限合影	(卡,极限,;)
 125:48 - 126:01	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(还会,除了,练练)
 127:21 - 129:34	你自己垫了	(垫,;,了)
 134:11 - 135:07	7200是来狙击你的吗	(？,;,的)
 143:13 - 143:19	没错	(太对,没错,ztmex)
 156:24 - 156:50	偷m不认	(👑,^,悲哀)
 158:10 - 159:30	马里奥：黑暗啊	(马里奥,平房,跳)
 161:21 - 163:56	三个流鼻涕的[捂脸]	(赢,;,了)
 168:10 - 168:26	[捂脸]	(！,金蝉脱壳,。)
 172:48 - 174:01	悲哀[捂脸]	(蒙,666,郭敬明)
 174:13 - 174:15		(快来,4399,会员)
 174:49 - 175:22	出问题了吧	(出,问题,松饼)
 176:45 - 179:51	主播也是世界第一，跳图世界第一，走马灯世界第一	(第一,世界,你)
 182:01 - 182:43	合影	(合影,不亏,极限)
 188:08 - 188:51	饼饼我今天14.5吃了4块原味鸡[哇]	(了,饼,7000)
 189:44 - 192:19	为什么他们没用钥匙就进门了	(钥匙,手柄,为什么)
 196:27 - 198:12	还发个谢谢	(哈哈哈,士,大戾)
 198:52 - 199:12		(选对,真坏,委屈)




 200:42 - 201:22	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(～,],[)
 202:45 - 202:47		()
 204:01 - 204:07		()
 205:51 - 206:56	3分	(],[,3)
 209:34 - 209:44	又是500秒	(500,秒,哈哈)
 216:36 - 216:47	还牛车	(牛车,更新,啥)
 217:32 - 217:38	凉凉送给你	(送给,凉凉,你)
 218:16 - 219:26	你把你号给胖哥早8000了	(8000,把,奶奶)
 220:45 - 221:49	you lose	(不,弹簧,。)
 223:48 - 224:18	其实马里奥手速是最快的 他有筋膜枪	(捂脸,技不如人,])
 225:02 - 228:20	接的准啊	(;,了,])
 231:07 - 232:24	相当难受	(;,],[)
 233:46 - 234:57	技不如人选在哪	(了,],[)
 235:20 - 242:04	拿下了	(了,士,大戾)
 243:36 - 243:46	技术差距太大了	(水下,玩不来,璃)
 243:56 - 244:11	主播能教教我怎么改哔哩的id吗，我也愚人节改不回去了 [哇]	(],[,连胜)
 244:39 - 245:16	还敢黑你胖哥吗	(胖哥,7200,了)
 247:30 - 248:20	这下真是技不如人了	(7300,;,垫)
 251:42 - 253:48	技不如人依旧	(;,10,连胜)
 255:31 - 257:22	再次被拿下[大哭]	(拿下,LOSE,])
 285:22 - 286:41	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(士,大戾,了)

