全场最高能：89:47	7400走了7300来了

其他高能：
 4:39 - 6:19	小孙家乡的樱花开了	(怎早,孙,💗)
 6:31 - 6:54	小粉是自己人吗	(比心,小粉,])
 10:13 - 12:03	B站上好像就一个蓝音BuBuLine7000分➕了	(记忆,？,鱼)
 13:31 - 17:51	1分666	(了,1,])
 21:01 - 21:58	胖哥就八千了[花]	(;,菜,合影)
 24:16 - 26:18	这是真蒙的	(？,;,哈哈哈)
 26:31 - 27:46	这真技不如人了	(技不如人,],[)
 32:13 - 33:55	7000了，睡觉	(喝彩,],[)
 37:13 - 41:01	好在哪	(;,好,了)
 47:37 - 48:23	@别问，问就是有病 奶油松饼bot是弹幕转发程序，转发b站弹幕的	(开,转发,有点)
 49:35 - 51:04	主播这把高端局你输了不怪你，只能说技不如人	(万一,了,;)
 57:01 - 57:31	真为这游戏 为主播 感到悲哀	(这图,悲哀,;)
 57:59 - 59:06	可能是说，太好了你输了	(太好了,你,了)
 60:36 - 62:06	不刘汤和等一个有缘人我都能接受，我最讨厌的就是等所有人	(;,胖哥,的)
 62:21 - 63:22	技术主播666	(666,牛,;)
 68:22 - 70:46	你刚才说胖哥了	(;,胖哥,，)
 72:59 - 74:02	主播把7300拉黑了吧	(7300,;,大哥)
 89:32 - 91:22	7400走了7300来了	(;,干嘛,7400)
 93:03 - 97:45	你自己都吓叫唤了还说不是蒙的	(;,了,？)
 103:13 - 104:02	好好好[dog]	(;,哈哈哈,你)
 104:16 - 104:26	糊涂啊，小粉死了仇恨不就到你身上了	(不,;,就是)
 111:44 - 113:33	看吧技不如人	(技不如人,千本,樱)




 115:53 - 116:30	技不如人说不会打	(技不如人,公平,不中用)
 117:09 - 117:12	公平图输了也没啥好说的了	(了,也,技术水准)
 121:20 - 123:00	这不耳膜都给你嘬出来了	(？,么,了)
 131:48 - 136:14	主播穿的上阿玛的衣服吗[dog]	(了,的,穿)
 143:41 - 144:52	我好奇，松饼你是人么	(是,，,松饼)
 152:24 - 153:34	隔壁女主播跳舞都快甩飞了我也不看，就专门来喷你	(女主播,深夜,看)
 154:10 - 154:57	我花了9块钱就给松饼挤出榜了[哇]	(@,技不如人,对抗)
 155:20 - 155:51	主播为什么开始玩多人了	(],[,脱单)
 169:38 - 171:02	鸡王啊	(？,;,?)
 174:23 - 175:10	坏了	(么,蒙,？)
 177:04 - 177:42	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(7300,;,不愧)
 183:58 - 184:22	有合影	(💗,合影,])
 189:28 - 190:01	这把是赢不了了	(了,。,要)
 191:37 - 192:06	蒙的	(蒙,藏,的)
 200:55 - 201:05	阴间图	(好晕,阴间,LOSE)
 203:11 - 203:16	群里都是胖哥的粉丝	(送灯,群里,粉丝)
 203:17 - 205:28	真吃降压药了啊😦😦 主播气性这么大啊  再也不气你了宝宝	(最后,了,])
 206:54 - 208:27	悲哀啊	(了,],[)
 218:44 - 220:54	主播怎么不说话  是麦咬烂了吗	(？,;,了)
 228:25 - 228:58	笑死了	(了,雷,金币)
 236:50 - 237:15	非得往后丢，遭报应了	(停下来,握詩,詩人)
 238:14 - 240:48	哇，灯顶	(！,哇,的)
 244:06 - 246:04	车队互保是吧，这就走你的马灯	(的,兄弟,，)




 260:10 - 260:37	这波放得好	(好,了,走马灯)
 260:50 - 261:01	这也能第三[dog]	(不住,把握,追)
 261:11 - 261:34	这游戏最忌讳的就是放弃	(灯哥,21,爷爷)
 261:38 - 261:46	被俩大蘑菇碾压了	(惨,第四,碾压)
 262:26 - 262:37	这老任还不加新赛道组合 这几个都看腻了	(看腻,赛道,不加)
 262:56 - 263:14	大世界已经定了大多的路	(大多,定,路)
 268:50 - 268:59	怎么没主包玩古惑狼赛车[摊手][摊手][摊手]	(摊手,],[)
 269:23 - 269:34	坏了	(委屈,],[)
 269:51 - 272:48	没会员了	(],[,会员)
 274:19 - 274:54	你终于想起来你欠我500万日元了	(！,欠,我)
 280:02 - 281:33	干得好	(士,大戾,了)
 291:25 - 292:06	兰龟啊[委屈]	(！,登顶,委屈)
 292:15 - 292:27	马蹬都看不到	(九千,要充,打中)
 295:30 - 296:48	加纳[爱][爱]	(加纳,哈哈哈,])

