全场最高能：122:15	你是路易

其他高能：
 1:46 - 1:58	早[比心][比心][比心]	(比心,[,])
 4:46 - 5:59	刚来 请问是走程序还是直接走马灯	(;,了,太有)
 6:06 - 6:58	这车	(技不如人,没喝,清楚)
 10:21 - 12:02	这图  单人都很难 多人再怎么也过不去吧	(踩,关系,路易)
 16:22 - 18:42	我也没兴趣啊，那不都是跟着去凑热闹	(💗,@,出去)
 19:45 - 20:01	每日戾气积累速度边际递增[dog]	(积累,递增,边际)
 20:47 - 26:36	主播，你卖的电脑真好，8000块钱就买了个电源	(，,[,])
 27:14 - 28:19	你不等怎么知道他抢你	(等,;,蒙)
 29:16 - 32:13	这把看清楚了，是路易开的	(的,，,开)
 34:10 - 34:41	7300十连胜严父是你跨步过去的坎	(7300,;,[)
 36:31 - 37:59	公平图都不是强图了[dog]	(公平,;,技不如人)
 42:30 - 43:37	互动了	(大戾,士,[)
 47:21 - 48:49	完了	(？,;,了)
 55:12 - 55:26	日本人网速	(666,哈哈哈,孙举)
 56:58 - 58:27	光速变脸	(变脸,;,了)
 58:54 - 60:06	蒙的	(的,妹妹,放弃)
 62:11 - 67:14	主播我有热熔胶的问题，我可以问你吗	(我,，,])
 67:16 - 68:10	主播是毛腿	(腿,我,腿毛)
 70:09 - 71:06	预言家刀了	(?,;,了)
 88:16 - 89:16	这就是7300的理解	(;,7300,理解)
 91:12 - 91:40	也只有孕期图才能赢7300了[dog]	(了,赢,蒙)
 93:29 - 94:21	7300	(7300,;,不愧)
 96:29 - 98:21	严父稳定发挥	(7300,;,严父)
 99:11 - 102:03	唉，技不如人	(7300,;,了)




 102:33 - 103:05	战术断网躲7300，没想到来了个7400	(不能,你,针对)
 116:03 - 116:46	技不如人就怪图	(加油,吧,10)
 117:18 - 118:47	7300是蒙的	(大戾,士,依旧)
 120:32 - 120:33		(骗,被,7300)
 121:02 - 121:06	卖手柄的	(追梦,手速图,手柄)
 121:38 - 123:13	你是路易	(是,你,？)
 124:39 - 124:58	前边都这样了，你还敢进捕鼠笼	(捕鼠,笼,哈哈哈)
 134:33 - 136:03	没钻进去 技不如人 流鼻涕 7300牙都笑掉了	(;,不准,飞)
 138:31 - 142:10	拿下了	(了,[,])
 143:53 - 143:56		()
 144:12 - 144:36	那个都是句号的是不是死了🐴	([,],句号)
 145:03 - 145:08	句号说了句拿状态都打不过，主播就开始互动	(主播,存活,拍)
 145:16 - 145:58	主播的狂怒咆哮并没有让胖哥得到应有的惩罚，反而让自己蒙受不白之冤[dog]	(让,了,主播)
 150:45 - 151:34	倒闭了	(🍅,🤡,👌)
 153:06 - 154:52	馒头还没吃完就放出来了	(。,@,德芙)
 160:19 - 160:44	拉牛啦	(666,蒙,的)
 161:40 - 162:02	这么极限	(极限,蓟县,吧)
 163:42 - 164:46	赢了就不孬是吧[傲娇]	(;,蒙,[)
 165:52 - 166:12	@クリーム松饼 看热闹不嫌事大是吧[dog]	(@,ム,ー)
 167:36 - 167:52	六千多分竞争就这么激烈了，可想而知胖哥的八千含金量有多高了	(路易,？,呢)
 175:26 - 176:16	极限喝汤	(极限,的,可以)
 177:52 - 179:54	那你用热熔胶粘好啊，这样就下不来了	([,],？)
 181:28 - 181:31		()




 185:43 - 186:19	不食嗟来之食	(骨气,有,;)
 186:26 - 186:51	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(不,有,;)
 189:38 - 191:35	666和麦麦组队	(！,的,;)
 193:45 - 194:49	Joe fayday杀第三	(黄,名字,maimai)
 196:25 - 196:29	那多少分是红名字啊	(分是,红,名字)
 196:55 - 198:05	我可喜欢他的络腮胡了[dog]	(胖哥,[,])
 200:15 - 200:58	主播差点换尿不湿了	(;,有,进门)
 201:03 - 201:16	胖哥来直接成功了	(成功,胖哥,延迟)
 205:35 - 206:17	你能喝着汤	(手机,[,])
 211:55 - 212:04	来点难得图啊，这竞速图也太简单了	(，,来,图)
 213:54 - 214:52	流鼻涕的赢了	(;,反转,了)
 215:36 - 217:16	胖哥流鼻涕就8000了 你流脓都上不去7000[比心][比心][比心]	(胖哥,实力,那)
 218:10 - 219:46	胖哥原谅主播了吗	([,],胖哥)
 219:51 - 219:59	还是太爱胖哥了天天看胖哥录像[委屈]	(胖哥,太爱,录像)
 237:20 - 237:33	你认错对手了	(堕,善,之心)
 239:13 - 240:16	CJ小杰是不是卖东西把自己名声卖臭了[dog]俺以前可喜欢看他了已经俩年...	(哈哈哈,了,;)
 241:39 - 242:07	以前不是在海鲜那边的么，好久没看都忘了有你这号人了[dog]	(你,[,])
 245:05 - 245:24	要7000了	(7000,赛点,作业)
 246:33 - 248:54	7000了	(！,了,的)
 261:24 - 262:21	舒服了	(了,舒服,哈哈哈)
 271:50 - 274:49	流鼻涕的赢了	(！,了,？)
