全场最高能：185:19	ztmex 里在干什么

其他高能：
 3:14 - 5:47	@クリーム松饼 这种要改日期了喔[dog]	(💗,@,;)
 8:36 - 10:55	全死了	(怎来,孙,比心)
 17:11 - 18:46	今天也是世界劈劈劈日，主播等着吧	(比心,],[)
 20:26 - 21:31	一直做图 任天堂服务器压力越来越大 马上就倒闭了	(倒闭,的,了)
 22:41 - 23:54	主播看了银河田电影吗	(严父,的,银河)
 25:03 - 27:17	银河田电影八分熟如是评价:我看完之后完全理解了影评人为啥要给低分，是我我...	(我,了,马里奥)
 27:50 - 30:03	怎么突然走马灯起来了	(走马灯,7400,技不如人)
 33:15 - 34:11	马里奥遇到官方恶意毒图，能靠金河田过关，主播可以吗	(主播,，,+)
 35:55 - 38:42	走马灯还在走	(？,主播,的)
 40:23 - 41:43	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(，,了,你)
 41:51 - 43:38	蒙的+9	(的,蒙,，)
 59:05 - 59:41	7300的从容	(从容,7300,受惊)
 60:01 - 61:42	胖哥来了就知道要走上面	(;,输咯,林克要)
 68:41 - 69:19	牛逼	(蒙,;,的)
 75:51 - 78:17	唉，林克，我也不想骂你了，我们已经习惯了这种失望的感觉了，你永远都证明不...	(了,小蓝,加油)
 80:41 - 82:34	笑死我了	(;,了,哈哈哈哈)
 83:27 - 84:47	那你还留汤	(？,666,汤)
 85:53 - 87:34	技不如人[dog]	(;,你,捂脸)
 90:33 - 91:35	又不是你过了	(过,！,了)
 93:32 - 94:19	7000睡觉	(睡觉,7000,准备)
 94:26 - 95:53	7000体验卡要到期了，又要回到该有的69档	(假仁假义,，,7000)




 98:57 - 102:41	技不如人了	(;,技不如人,了)
 106:14 - 108:56	赶紧的，快没时间了	(了,，,？)
 109:49 - 110:43	原来主播是日本人，我还以为是北京人了	(人,主播,是)
 112:39 - 115:23	主播主播，走马灯之后还有新节目么	(;,了,])
 120:39 - 122:19	肯定是故意恶心你的啊	(;,故意,的)
 129:54 - 130:25	好刺激[捂脸]	(;,666,裤子)
 134:28 - 134:31		(白给,开)
 136:52 - 138:49	现在知道马里奥为什么不进去了	(;,吼吼,了)
 149:24 - 150:32	松饼这个月去北京有点勉强，你要来浙江可以寻我，我下个月在杭州呆个一两年	(鱼,去,浙江)
 151:42 - 152:35	4人局里面有三个人组排，请问这是哪位主播	(豆汁,酒,二锅头)
 155:49 - 158:06	不存在的 你已经预告了 有人热车了	(了,牛车,，)
 166:23 - 166:48	喜欢走人后面[dog]	(LOSE,中午,缺)
 173:36 - 174:52	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(没,了,，)
 181:49 - 182:01	@海 我从8200掉下来的[dog]	(哈哈哈哈,8200,日墙)
 184:44 - 186:38	ztmex 里在干什么	(？,！,;)
 194:27 - 194:31	陈先生指使的	(指使,陈先生,的)
 195:32 - 195:49	纯LOVE sun	(LOVE,sun,纯)
 196:05 - 196:59	看多了你都能记住	(努力,再,])
 197:20 - 197:33	zmd车队[哇]	(素来,之争,柿子)
 203:48 - 204:22	现在知道胖哥好了 早干嘛去了	(哈哈哈,胖哥,闪电)
 204:33 - 204:35	为什么他有两个一样的道具	(道具,两个,一样)




 207:33 - 211:06	你做的好呀	(的,555,])
 220:02 - 223:19	你的视角镖中了吗，主播视角一下没中，全躲了[dog]	(编码,打,了)
 225:18 - 226:58	打不过9000，跑了是对的	(奔,了,哈哈哈)
 227:27 - 227:38	哦哦 是太长了哇  我以为你说太短了	(哦,太短,太长)
 232:04 - 233:14	身体健康 加纳	(加纳,？,哈哈哈哈)

