全场最高能：83:41	一起雅阁呗

其他高能：
 6:57 - 7:24	蒙的	(孙怎早,绝望,陆毅)
 7:36 - 7:40	合影成功	(真准,管子,成功)
 8:33 - 11:35	@直树哥哥 今天第一张图就是重复的了	(❎,戾,非得)
 12:01 - 13:23	7040睡觉睡不了了啊	(技不如人,💗,刚)
 14:00 - 15:04	哈哈哈哈句的好	(;,打工仔,好)
 16:39 - 19:50	作者打自己的图打输了说是	(],[,的)
 20:31 - 22:04	辛苦了	(辛苦,了,;)
 24:04 - 26:08	马登工装把广告费给你了吗 天天马灯	(💗,假仁假义,杀)
 27:18 - 29:29	@有故事的鑫哥 你想得美[dog]娶松饼得了还想打主播主意	(哈哈哈,👽,了)
 29:35 - 31:36	可惜了	(了,sc,机会)
 33:00 - 33:55	玩这个游戏就是没意思，说实话不如去看link的直播，不笑的有玉玉症了[捂脸]	(~,不笑,的)
 36:34 - 36:38	名白赢预定	(着急,掉下去,预定)
 37:10 - 38:24	雅阁了	(;,送,了)
 43:22 - 44:31	胖哥来早过了	(蒙,？,;)
 45:56 - 46:02	为什么不让他踩	(踩,不让,还是)
 46:54 - 47:32	不吃旗子	(旗子,不吃,？)
 48:11 - 48:14	为何不敢[dog]	(为何,不敢,dog)
 52:59 - 53:25	还是在意分，不在意分就直接退了	(~,退,-)
 54:51 - 55:05	好耶	(猫,;,是)
 64:54 - 65:58	就差个雅乐了 这图	(;,了,路易)
 67:39 - 70:02	这是被人卡图了，图应该给个好吧	(士,大戾,了)
 77:28 - 81:15	每次卡都有一个叫卡泽林克的人，我想不用多说了	(士,大戾,的)
 82:53 - 86:49	一起雅阁呗	(;,isun,的)
 90:34 - 91:23	哈哈哈哈哈哈哈	(;,打工,哪个)




 92:48 - 94:30	这是暗广，你的人	(;,好人,哈哈哈)
 107:26 - 108:15	全是海南人那肯定是白的赢了呀，你说什么呢	(赢,的,白)
 111:32 - 112:02	哈哈哈哈哈	(;,技不如人,图)
 119:12 - 120:27	金河田又是什么梗，太久没来了[dog]	(金河田,助理,])
 126:23 - 126:33	现在硬盘内存都翻了三倍了	(现在,三倍,硬盘)
 127:08 - 129:16	现在后悔没买就天天在这卖电脑了	(了,我,买)
 134:44 - 135:19	小孩会看你的直播吗	(下海,的,上海)
 138:39 - 138:53	你认错主播了	(认错,boss,碎片)
 141:24 - 143:40	那是你认错主播了	(卖,主播,金河田)
 144:34 - 144:49	菜[哇]	(哈哈哈,菜,哈哈)
 148:37 - 149:22	我帮你卡分最高的	(哈哈哈哈,？,走马灯)
 153:56 - 154:19	没绷住这个头像	(？,666,哈哈哈)
 157:15 - 158:07	都怪你 本来日抗的好好的 结果被你一放我害羞的没手感了	(你,被,的)
 159:53 - 160:27	哞哞	(电源,哞,7050)
 166:06 - 167:10	主播是没胖哥白啊	(最高,登顶,了)
 177:47 - 178:52	你要是金蘑菇他们就打雷了[dog]	(你,金,了)
 184:44 - 185:38	主播 你在看我视频后我灵感大发 新做了个视频 还请你欣赏一下	(？,尾流,我)
 186:18 - 187:20	那你不开心了吗[dog]	(了,],[)
 191:04 - 192:07	能别随机到胖哥图了吗 怪晦气的	(！,模仿,飞车)
 197:06 - 197:26	孙不领先全局就不会有蓝龟	(555,有,啊)
 197:45 - 198:03	好像蓝龟也少了 我刚那局从第三圈开始领跑一个蓝龟都没	(也,蓝龟,@)
 201:26 - 203:13	这局都来了[捂脸]	(！,了,蓝龟)




 210:19 - 213:25	好好好	(金龟子,],[)
 214:56 - 215:27	主播浑身都是蘑菇🍄‍🟫	(门票,🟫,‍)
 217:23 - 219:11	主播主播，你后面的5237是用自己人做的吗[哇]	(],[,大桥)
 221:09 - 223:10	没有isun灯顶就是这么轻松	(！,了,灯顶)
 223:40 - 224:44	都来了[爱]	(狠狠,孙孙,他们)
 228:19 - 228:22		()
 233:18 - 234:42	林克糊了[大哭]	(！,link,飞车)
 246:01 - 246:24	恭喜房管可以撑地了	(恭喜,后面,在)
 248:35 - 249:00	白用哈哈	(友好,水,手忙脚乱)
 252:45 - 253:55	哈哈哈哈啊哈	(哈哈哈哈,dog,专打)
 254:25 - 254:48	打箱子出来个绿龟壳我没看到	(龟壳,旁边,躺)
 255:01 - 255:38	不是惠普吗	(不是,惠普,一把)
 258:35 - 259:05	猩猩怎么你了	(你,猩猩,厉不)
 259:52 - 260:11	不是惠普电脑	(惠普,电脑,不是)
 262:06 - 262:30	我24，没人比我早了	(我,没人,24)
 263:20 - 266:36	登顶了	(！,了,isun)
 270:48 - 271:41	isun帮你吃蓝龟	(蓝龟,胖哥鈿,三体)
 275:26 - 276:28	别人搓的火，给你说了有蘑菇不用上那墙[dog]	(了,，,雅典娜)
 283:58 - 286:01	好兄弟有墙一起日	(哈哈哈,日,了)
 288:33 - 289:22	刚刚主播在日墙我把他推出去笑死我了	(666,，,把)
 293:12 - 294:03	怎么变成二舅了	(二舅,士,大戾)
 294:18 - 294:22		()
 296:39 - 297:58	加纳[亲亲][亲亲][亲亲]	(加纳,哈哈哈,])

