全场最高能：126:13	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈

其他高能：
 3:10 - 4:29	竟然是开车的赢了	(开车,💗,@)
 7:15 - 8:48	@有故事的鑫哥 昨晚直播没看吗，主播一堆isun送分给他	(🚫,@,💗)
 9:38 - 10:32	流口水的赢了	(！,么,的)
 13:19 - 14:36	小粉聪明	(！,人家,聪明)
 15:52 - 16:54	技不如人孬	(！,7400,技不如人)
 18:59 - 21:04	偷赢了	(！,;,？)
 21:34 - 25:21	马里奥流星	(捂脸,公平,])
 25:31 - 26:10	主播为什么光掉分不说词儿啊[dog]	(高汤,小蓝,喝)
 29:16 - 29:46	主播你来到了不属于自己的分段	(啊,谢谢,自己)
 29:54 - 30:28	饼饼 我说孙孙过少爷生活 被无视了	(无视,饼,会)
 30:44 - 30:54	niedlich这2天不在，主播猛猛上分[委屈][委屈]	(委屈,天荒地老,猛猛)
 33:10 - 34:50	怎么都留汤ztmex	(？,吃,，)
 36:09 - 39:00	走马灯图	(？,了,电源)
 41:24 - 42:32	犹豫了，卖两次状态你就比他快了	(加油,吧,了)
 43:34 - 45:07	ex在哪技不如人	(技不如人,;,，)
 47:13 - 48:26	小粉:ztmex	(小粉,;,？)
 52:45 - 53:18	胖哥来肯定就有机会[dog]	(机会,10,-)
 54:44 - 55:17	绿色流星	(流星,绿色,路易)
 60:02 - 60:33	哪有1-1不进管子的	(1,-,低手)
 62:52 - 63:32	蒙的[哇]	(蒙,饭,的)
 64:38 - 65:28	蒙的	(;,蒙,的)
 76:51 - 80:37	这图输了-10	(;,！,了)
 81:28 - 84:14	雅阁了	(雅阁,;,技不如人)
 86:45 - 89:46	你也就嘲讽没机器的了	(了,],[)




 92:44 - 92:58	蒙的	(蒙,的,1)
 102:55 - 105:58	燃尽了哈哈哈	(;,了,路易)
 107:19 - 108:06	怎么全是玩过的图 没活人造图了吗	(？,的,，)
 109:03 - 110:28	马里奥没⭐	(马里奥,;,没)
 113:49 - 114:00	蒙的	(？,;,蒙)
 115:45 - 118:12	7400的笑尿了	(7400,白胖,不如)
 120:47 - 121:11	那咋了	(送,技不如人,犯法)
 122:54 - 123:18	看了半天 就你喜欢留汤	(！,别人,10)
 124:45 - 125:18	大戾士	(大戾,LOSE,士)
 125:34 - 127:41	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	(],[,哈哈哈)
 144:54 - 145:21	主播的五百观众好假啊	(姗姗来迟,讲话,假)
 145:38 - 145:47	少爷生活 一天就播2个小时	(真人,有没有,就播)
 152:38 - 154:21	技不如人了	(完,了,])
 164:22 - 167:14	走马灯车队包揽前六[哇]	(老公,么,ztmex)
 175:06 - 176:40	抽道具技不如人	(ztmex,不如,技)
 177:06 - 177:15		()
 179:10 - 179:16	爱牛还能一个堵俩呢	(堵俩,合理,爱牛)
 179:23 - 179:53	以前不如金蘑菇的地方也只有部分地段强过金蘑菇了	(了,金,蘑菇)
 185:12 - 186:09	ztmex有点强啊 一路领跑	(ztmex,领跑,LOSE)
 194:36 - 196:47	不说蓝龟闪电了，两圈连个红龟都没[委屈]	(！,了,都)
 198:43 - 199:15	这pjb游戏撞到电线杆子不但不减速还能加速飞起来，这合理吗	(这,我,讨论)
 205:08 - 208:26	技不如人啊	(松饼,],[)
 212:06 - 213:05	又回成都了	(],[,我)




 213:13 - 215:10	就见不得别人好[dog]	(],[,哈哈哈)
 223:24 - 224:44	主播为什么不吃道具，但是吃热熔蕉啊	(道具,不吃,吃)
 232:43 - 236:01	牛哇 把对手都打退了 [哇]	(亲亲,],[)
 254:39 - 255:51	我看卖的卡带都是1代版本，王国之泪都有2版本了	(🍾,版本,卡带)
